frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 23:51:06.349672000 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","74.125.170.59","6","66","eth:ethertype:ip:tcp",,
"2","May 25, 2022 23:51:06.669735800 Pacific Daylight Time","0.320063800","0.320063800","172.17.0.2","74.125.170.59","6","66","eth:ethertype:ip:tcp",,
"3","May 25, 2022 23:51:06.989719900 Pacific Daylight Time","0.640047900","0.319984100","172.17.0.2","173.194.8.42","6","66","eth:ethertype:ip:tcp",,
"4","May 25, 2022 23:51:06.989727400 Pacific Daylight Time","0.640055400","0.000007500","172.17.0.2","173.194.8.42","6","66","eth:ethertype:ip:tcp",,
"5","May 25, 2022 23:51:07.097750800 Pacific Daylight Time","0.748078800","0.108023400","172.17.0.2","142.250.189.3","17","145","eth:ethertype:ip:udp:data","103",
"6","May 25, 2022 23:51:07.126516900 Pacific Daylight Time","0.776844900","0.028766100","172.17.0.2","142.251.40.54","17","119","eth:ethertype:ip:udp:data","77",
"7","May 25, 2022 23:51:07.128010000 Pacific Daylight Time","0.778338000","0.001493100","172.17.0.2","142.250.72.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls:tls",,"quic"
"8","May 25, 2022 23:51:07.128680300 Pacific Daylight Time","0.779008300","0.000670300","172.17.0.2","142.250.188.238","17","1167","eth:ethertype:ip:udp:data","1125",
"9","May 25, 2022 23:51:07.128882800 Pacific Daylight Time","0.779210800","0.000202500","172.17.0.2","142.250.188.238","17","487","eth:ethertype:ip:udp:data","445",
"10","May 25, 2022 23:51:07.129064100 Pacific Daylight Time","0.779392100","0.000181300","172.17.0.2","142.250.188.238","17","815","eth:ethertype:ip:udp:data","773",
"11","May 25, 2022 23:51:07.140583500 Pacific Daylight Time","0.790911500","0.011519400","172.17.0.2","142.251.40.54","17","206","eth:ethertype:ip:udp:data","164",
"12","May 25, 2022 23:51:07.156569200 Pacific Daylight Time","0.806897200","0.015985700","172.17.0.2","142.250.188.238","17","1037","eth:ethertype:ip:udp:data","995",
"13","May 25, 2022 23:51:07.176079700 Pacific Daylight Time","0.826407700","0.019510500","142.250.189.3","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"14","May 25, 2022 23:51:07.176081600 Pacific Daylight Time","0.826409600","0.000001900","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 25, 2022 23:51:07.176082800 Pacific Daylight Time","0.826410800","0.000001200","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 25, 2022 23:51:07.176083800 Pacific Daylight Time","0.826411800","0.000001000","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 25, 2022 23:51:07.176148400 Pacific Daylight Time","0.826476400","0.000064600","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 25, 2022 23:51:07.176149700 Pacific Daylight Time","0.826477700","0.000001300","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 25, 2022 23:51:07.176150800 Pacific Daylight Time","0.826478800","0.000001100","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 25, 2022 23:51:07.176151700 Pacific Daylight Time","0.826479700","0.000000900","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 25, 2022 23:51:07.176152800 Pacific Daylight Time","0.826480800","0.000001100","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 25, 2022 23:51:07.176153700 Pacific Daylight Time","0.826481700","0.000000900","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 25, 2022 23:51:07.176242300 Pacific Daylight Time","0.826570300","0.000088600","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 25, 2022 23:51:07.176243800 Pacific Daylight Time","0.826571800","0.000001500","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 25, 2022 23:51:07.176262500 Pacific Daylight Time","0.826590500","0.000018700","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"26","May 25, 2022 23:51:07.176293200 Pacific Daylight Time","0.826621200","0.000030700","142.250.189.3","172.17.0.2","17","1207","eth:ethertype:ip:udp:data","1165",
"27","May 25, 2022 23:51:07.176294700 Pacific Daylight Time","0.826622700","0.000001500","142.251.40.54","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"28","May 25, 2022 23:51:07.176339500 Pacific Daylight Time","0.826667500","0.000044800","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"29","May 25, 2022 23:51:07.176386200 Pacific Daylight Time","0.826714200","0.000046700","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"30","May 25, 2022 23:51:07.176396300 Pacific Daylight Time","0.826724300","0.000010100","142.250.188.238","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"31","May 25, 2022 23:51:07.176426100 Pacific Daylight Time","0.826754100","0.000029800","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"32","May 25, 2022 23:51:07.176497100 Pacific Daylight Time","0.826825100","0.000071000","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"33","May 25, 2022 23:51:07.176587700 Pacific Daylight Time","0.826915700","0.000090600","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"34","May 25, 2022 23:51:07.176645400 Pacific Daylight Time","0.826973400","0.000057700","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"35","May 25, 2022 23:51:07.176702500 Pacific Daylight Time","0.827030500","0.000057100","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"36","May 25, 2022 23:51:07.185764300 Pacific Daylight Time","0.836092300","0.009061800","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic:tls",,"quic"
"37","May 25, 2022 23:51:07.185766300 Pacific Daylight Time","0.836094300","0.000002000","142.251.40.54","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
