frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 22:22:10.993427100 PDT","0.000000000","0.000000000","173.194.167.73","172.17.0.2","17","96","eth:ethertype:ip:udp:data","54"
"2","May 24, 2022 22:22:10.993428300 PDT","0.000001200","0.000001200","173.194.167.73","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"3","May 24, 2022 22:22:10.993428900 PDT","0.000001800","0.000000600","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"4","May 24, 2022 22:22:10.993429600 PDT","0.000002500","0.000000700","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"5","May 24, 2022 22:22:10.993430200 PDT","0.000003100","0.000000600","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"6","May 24, 2022 22:22:10.993430900 PDT","0.000003800","0.000000700","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"7","May 24, 2022 22:22:10.993431600 PDT","0.000004500","0.000000700","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"8","May 24, 2022 22:22:10.993432200 PDT","0.000005100","0.000000600","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"9","May 24, 2022 22:22:10.993437800 PDT","0.000010700","0.000005600","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"10","May 24, 2022 22:22:10.993438500 PDT","0.000011400","0.000000700","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"11","May 24, 2022 22:22:10.993536400 PDT","0.000109300","0.000097900","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"12","May 24, 2022 22:22:10.993537300 PDT","0.000110200","0.000000900","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"13","May 24, 2022 22:22:10.993640100 PDT","0.000213000","0.000102800","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"14","May 24, 2022 22:22:10.993641000 PDT","0.000213900","0.000000900","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"15","May 24, 2022 22:22:10.993648300 PDT","0.000221200","0.000007300","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"16","May 24, 2022 22:22:10.993776000 PDT","0.000348900","0.000127700","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"17","May 24, 2022 22:22:10.993854300 PDT","0.000427200","0.000078300","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"18","May 24, 2022 22:22:10.993855500 PDT","0.000428400","0.000001200","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"19","May 24, 2022 22:22:10.993860100 PDT","0.000433000","0.000004600","172.17.0.2","173.194.167.73","17","78","eth:ethertype:ip:udp:data","36"
"20","May 24, 2022 22:22:10.993862900 PDT","0.000435800","0.000002800","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"21","May 24, 2022 22:22:10.993979800 PDT","0.000552700","0.000116900","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"22","May 24, 2022 22:22:10.993980900 PDT","0.000553800","0.000001100","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"23","May 24, 2022 22:22:10.993989500 PDT","0.000562400","0.000008600","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"24","May 24, 2022 22:22:10.993993100 PDT","0.000566000","0.000003600","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"25","May 24, 2022 22:22:10.994121200 PDT","0.000694100","0.000128100","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"26","May 24, 2022 22:22:10.994122100 PDT","0.000695000","0.000000900","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"27","May 24, 2022 22:22:10.994122800 PDT","0.000695700","0.000000700","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"28","May 24, 2022 22:22:10.994123400 PDT","0.000696300","0.000000600","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"29","May 24, 2022 22:22:10.994130400 PDT","0.000703300","0.000007000","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"30","May 24, 2022 22:22:10.994157800 PDT","0.000730700","0.000027400","172.17.0.2","173.194.167.73","17","75","eth:ethertype:ip:udp:data","33"
"31","May 24, 2022 22:22:10.994168600 PDT","0.000741500","0.000010800","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"32","May 24, 2022 22:22:10.994169400 PDT","0.000742300","0.000000800","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"33","May 24, 2022 22:22:10.994173600 PDT","0.000746500","0.000004200","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"34","May 24, 2022 22:22:10.994278200 PDT","0.000851100","0.000104600","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"35","May 24, 2022 22:22:10.994376700 PDT","0.000949600","0.000098500","172.17.0.2","173.194.167.73","17","75","eth:ethertype:ip:udp:data","33"
"36","May 24, 2022 22:22:10.994393300 PDT","0.000966200","0.000016600","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"37","May 24, 2022 22:22:10.994394100 PDT","0.000967000","0.000000800","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"38","May 24, 2022 22:22:10.994468200 PDT","0.001041100","0.000074100","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"39","May 24, 2022 22:22:10.994469500 PDT","0.001042400","0.000001300","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"40","May 24, 2022 22:22:10.994472500 PDT","0.001045400","0.000003000","173.194.167.73","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
