frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 18:40:19.350558600 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","142.250.72.174","17","785","eth:ethertype:ip:udp:data","743",
"2","May 27, 2022 18:40:19.383399000 Pacific Daylight Time","0.032840400","0.032840400","142.250.72.174","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"3","May 27, 2022 18:40:19.387946200 Pacific Daylight Time","0.037387600","0.004547200","172.17.0.2","142.250.72.174","17","75","eth:ethertype:ip:udp:data","33",
"4","May 27, 2022 18:40:19.400164600 Pacific Daylight Time","0.049606000","0.012218400","142.250.72.174","172.17.0.2","17","114","eth:ethertype:ip:udp:data","72",
"5","May 27, 2022 18:40:19.400469900 Pacific Daylight Time","0.049911300","0.000305300","172.17.0.2","142.250.72.174","17","78","eth:ethertype:ip:udp:data","36",
"6","May 27, 2022 18:40:19.400642000 Pacific Daylight Time","0.050083400","0.000172100","142.250.72.174","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"7","May 27, 2022 18:40:19.406157600 Pacific Daylight Time","0.055599000","0.005515600","172.17.0.2","142.250.72.174","17","75","eth:ethertype:ip:udp:data","33",
"8","May 27, 2022 18:40:19.421021500 Pacific Daylight Time","0.070462900","0.014863900","142.250.72.174","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"9","May 27, 2022 18:40:19.426380400 Pacific Daylight Time","0.075821800","0.005358900","172.17.0.2","142.250.72.174","17","1000","eth:ethertype:ip:udp:data","958",
"10","May 27, 2022 18:40:19.426847200 Pacific Daylight Time","0.076288600","0.000466800","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls:tls:tls",,"quic"
"11","May 27, 2022 18:40:19.427201700 Pacific Daylight Time","0.076643100","0.000354500","172.17.0.2","142.250.72.174","17","1007","eth:ethertype:ip:udp:data","965",
"12","May 27, 2022 18:40:19.443812200 Pacific Daylight Time","0.093253600","0.016610500","172.17.0.2","142.250.72.174","17","932","eth:ethertype:ip:udp:data","890",
"13","May 27, 2022 18:40:19.444818000 Pacific Daylight Time","0.094259400","0.001005800","142.250.72.174","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"14","May 27, 2022 18:40:19.444819100 Pacific Daylight Time","0.094260500","0.000001100","142.250.72.174","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"15","May 27, 2022 18:40:19.444819700 Pacific Daylight Time","0.094261100","0.000000600","142.250.72.174","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"16","May 27, 2022 18:40:19.449272800 Pacific Daylight Time","0.098714200","0.004453100","172.17.0.2","142.250.72.174","17","75","eth:ethertype:ip:udp:data","33",
"17","May 27, 2022 18:40:19.459915700 Pacific Daylight Time","0.109357100","0.010642900","142.250.72.174","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"18","May 27, 2022 18:40:19.464295300 Pacific Daylight Time","0.113736700","0.004379600","172.17.0.2","142.250.72.174","17","75","eth:ethertype:ip:udp:data","33",
"19","May 27, 2022 18:40:19.464906300 Pacific Daylight Time","0.114347700","0.000611000","142.250.217.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic:tls",,"quic"
"20","May 27, 2022 18:40:19.466411500 Pacific Daylight Time","0.115852900","0.001505200","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"21","May 27, 2022 18:40:19.471763200 Pacific Daylight Time","0.121204600","0.005351700","142.250.217.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"22","May 27, 2022 18:40:19.471764300 Pacific Daylight Time","0.121205700","0.000001100","142.250.217.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"23","May 27, 2022 18:40:19.471954900 Pacific Daylight Time","0.121396300","0.000190600","172.17.0.2","142.250.217.129","17","83","eth:ethertype:ip:udp:quic",,"quic"
"24","May 27, 2022 18:40:19.474482400 Pacific Daylight Time","0.123923800","0.002527500","142.250.72.174","172.17.0.2","17","239","eth:ethertype:ip:udp:data","197",
"25","May 27, 2022 18:40:19.474483400 Pacific Daylight Time","0.123924800","0.000001000","142.250.72.174","172.17.0.2","17","131","eth:ethertype:ip:udp:data","89",
"26","May 27, 2022 18:40:19.474721000 Pacific Daylight Time","0.124162400","0.000237600","172.17.0.2","142.250.72.174","17","78","eth:ethertype:ip:udp:data","36",
"27","May 27, 2022 18:40:19.474830800 Pacific Daylight Time","0.124272200","0.000109800","172.17.0.2","142.250.72.174","17","78","eth:ethertype:ip:udp:data","36",
"28","May 27, 2022 18:40:19.475052300 Pacific Daylight Time","0.124493700","0.000221500","142.250.72.174","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"29","May 27, 2022 18:40:19.475053400 Pacific Daylight Time","0.124494800","0.000001100","142.250.72.174","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"30","May 27, 2022 18:40:19.481155000 Pacific Daylight Time","0.130596400","0.006101600","172.17.0.2","142.250.72.174","17","75","eth:ethertype:ip:udp:data","33",
"31","May 27, 2022 18:40:19.489439500 Pacific Daylight Time","0.138880900","0.008284500","142.250.72.174","172.17.0.2","17","85","eth:ethertype:ip:udp:data","43",
"32","May 27, 2022 18:40:19.489440500 Pacific Daylight Time","0.138881900","0.000001000","142.250.72.174","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"33","May 27, 2022 18:40:19.489673300 Pacific Daylight Time","0.139114700","0.000232800","172.17.0.2","142.250.72.174","17","78","eth:ethertype:ip:udp:data","36",
"34","May 27, 2022 18:40:19.493936500 Pacific Daylight Time","0.143377900","0.004263200","172.17.0.2","142.250.72.174","17","75","eth:ethertype:ip:udp:data","33",
"35","May 27, 2022 18:40:19.497729300 Pacific Daylight Time","0.147170700","0.003792800","142.250.72.174","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"36","May 27, 2022 18:40:19.505529600 Pacific Daylight Time","0.154971000","0.007800300","142.250.217.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"37","May 27, 2022 18:40:19.505530700 Pacific Daylight Time","0.154972100","0.000001100","142.250.217.129","172.17.0.2","17","648","eth:ethertype:ip:udp:quic",,"quic"
"38","May 27, 2022 18:40:19.506244900 Pacific Daylight Time","0.155686300","0.000714200","172.17.0.2","142.250.217.129","17","205","eth:ethertype:ip:udp:quic",,"quic"
"39","May 27, 2022 18:40:19.506390000 Pacific Daylight Time","0.155831400","0.000145100","172.17.0.2","142.250.217.129","17","460","eth:ethertype:ip:udp:quic",,"quic"
"40","May 27, 2022 18:40:19.512397700 Pacific Daylight Time","0.161839100","0.006007700","142.250.72.174","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"41","May 27, 2022 18:40:19.513379700 Pacific Daylight Time","0.162821100","0.000982000","172.17.0.2","142.251.40.35","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls:tls:tls",,"quic"
"42","May 27, 2022 18:40:19.517445600 Pacific Daylight Time","0.166887000","0.004065900","172.17.0.2","142.250.72.174","17","1287","eth:ethertype:ip:udp:data","1245",
"43","May 27, 2022 18:40:19.517521900 Pacific Daylight Time","0.166963300","0.000076300","172.17.0.2","142.250.72.174","17","1175","eth:ethertype:ip:udp:data","1133",
"44","May 27, 2022 18:40:19.536379100 Pacific Daylight Time","0.185820500","0.018857200","172.17.0.2","173.194.8.138","17","1038","eth:ethertype:ip:udp:data","996",
"45","May 27, 2022 18:40:19.538237600 Pacific Daylight Time","0.187679000","0.001858500","142.250.217.129","172.17.0.2","17","665","eth:ethertype:ip:udp:quic",,"quic"
"46","May 27, 2022 18:40:19.538238600 Pacific Daylight Time","0.187680000","0.000001000","142.250.217.129","172.17.0.2","17","135","eth:ethertype:ip:udp:quic",,"quic"
"47","May 27, 2022 18:40:19.538445800 Pacific Daylight Time","0.187887200","0.000207200","172.17.0.2","142.250.217.129","17","75","eth:ethertype:ip:udp:quic",,"quic"
"48","May 27, 2022 18:40:19.538813700 Pacific Daylight Time","0.188255100","0.000367900","142.250.217.129","172.17.0.2","17","67","eth:ethertype:ip:udp:quic",,"quic"
"49","May 27, 2022 18:40:19.538815300 Pacific Daylight Time","0.188256700","0.000001600","142.250.217.129","172.17.0.2","17","67","eth:ethertype:ip:udp:quic",,"quic"
"50","May 27, 2022 18:40:19.539209600 Pacific Daylight Time","0.188651000","0.000394300","142.250.217.129","172.17.0.2","17","1288","eth:ethertype:ip:udp:quic",,"quic"
"51","May 27, 2022 18:40:19.539334000 Pacific Daylight Time","0.188775400","0.000124400","142.250.217.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"52","May 27, 2022 18:40:19.539335600 Pacific Daylight Time","0.188777000","0.000001600","142.250.217.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"53","May 27, 2022 18:40:19.539336300 Pacific Daylight Time","0.188777700","0.000000700","142.250.217.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"54","May 27, 2022 18:40:19.539336900 Pacific Daylight Time","0.188778300","0.000000600","142.250.217.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
