frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 19:16:55.202647900 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.166.171","6","66","eth:ethertype:ip:tcp",,
"2","May 27, 2022 19:16:55.202655300 Pacific Daylight Time","0.000007400","0.000007400","172.17.0.2","173.194.166.171","6","66","eth:ethertype:ip:tcp",,
"3","May 27, 2022 19:16:55.522686600 Pacific Daylight Time","0.320038700","0.320031300","172.17.0.2","173.194.8.40","6","66","eth:ethertype:ip:tcp",,
"4","May 27, 2022 19:16:55.786373400 Pacific Daylight Time","0.583725500","0.263686800","172.17.0.2","142.250.217.131","17","144","eth:ethertype:ip:udp:data","102",
"5","May 27, 2022 19:16:55.811569800 Pacific Daylight Time","0.608921900","0.025196400","172.17.0.2","142.251.40.54","17","118","eth:ethertype:ip:udp:data","76",
"6","May 27, 2022 19:16:55.814293100 Pacific Daylight Time","0.611645200","0.002723300","172.17.0.2","172.217.14.97","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls",,"quic"
"7","May 27, 2022 19:16:55.814786600 Pacific Daylight Time","0.612138700","0.000493500","172.17.0.2","172.20.176.1","17","78","eth:ethertype:ip:udp:dns",,
"8","May 27, 2022 19:16:55.815625200 Pacific Daylight Time","0.612977300","0.000838600","172.17.0.2","172.20.176.1","17","85","eth:ethertype:ip:udp:dns",,
"9","May 27, 2022 19:16:55.815787300 Pacific Daylight Time","0.613139400","0.000162100","172.17.0.2","142.250.188.238","17","997","eth:ethertype:ip:udp:data","955",
"10","May 27, 2022 19:16:55.815971300 Pacific Daylight Time","0.613323400","0.000184000","172.17.0.2","142.250.188.238","17","480","eth:ethertype:ip:udp:data","438",
"11","May 27, 2022 19:16:55.816188000 Pacific Daylight Time","0.613540100","0.000216700","172.17.0.2","142.250.188.238","17","809","eth:ethertype:ip:udp:data","767",
"12","May 27, 2022 19:16:55.816412800 Pacific Daylight Time","0.613764900","0.000224800","172.17.0.2","142.250.72.226","17","737","eth:ethertype:ip:udp:data","695",
"13","May 27, 2022 19:16:55.818830900 Pacific Daylight Time","0.616183000","0.002418100","142.250.217.131","172.17.0.2","17","187","eth:ethertype:ip:udp:data","145",
"14","May 27, 2022 19:16:55.819000200 Pacific Daylight Time","0.616352300","0.000169300","172.17.0.2","142.250.217.131","17","77","eth:ethertype:ip:udp:data","35",
"15","May 27, 2022 19:16:55.819599200 Pacific Daylight Time","0.616951300","0.000599000","142.250.217.131","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"16","May 27, 2022 19:16:55.819600400 Pacific Daylight Time","0.616952500","0.000001200","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 27, 2022 19:16:55.819601100 Pacific Daylight Time","0.616953200","0.000000700","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 27, 2022 19:16:55.819601700 Pacific Daylight Time","0.616953800","0.000000600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 27, 2022 19:16:55.819602400 Pacific Daylight Time","0.616954500","0.000000700","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 27, 2022 19:16:55.819603000 Pacific Daylight Time","0.616955100","0.000000600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 27, 2022 19:16:55.819603700 Pacific Daylight Time","0.616955800","0.000000700","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 27, 2022 19:16:55.819604300 Pacific Daylight Time","0.616956400","0.000000600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 27, 2022 19:16:55.819608900 Pacific Daylight Time","0.616961000","0.000004600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 27, 2022 19:16:55.819609500 Pacific Daylight Time","0.616961600","0.000000600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 27, 2022 19:16:55.819676100 Pacific Daylight Time","0.617028200","0.000066600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 27, 2022 19:16:55.820179900 Pacific Daylight Time","0.617532000","0.000503800","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"27","May 27, 2022 19:16:55.820238700 Pacific Daylight Time","0.617590800","0.000058800","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"28","May 27, 2022 19:16:55.820277400 Pacific Daylight Time","0.617629500","0.000038700","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"29","May 27, 2022 19:16:55.820315300 Pacific Daylight Time","0.617667400","0.000037900","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"30","May 27, 2022 19:16:55.820352400 Pacific Daylight Time","0.617704500","0.000037100","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"31","May 27, 2022 19:16:55.829891300 Pacific Daylight Time","0.627243400","0.009538900","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
