frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 28, 2022 17:08:53.906051200 Pacific Daylight Time","0.000000000","0.000000000",,,,"42","eth:ethertype:arp",,
"2","May 28, 2022 17:08:53.906068800 Pacific Daylight Time","0.000017600","0.000017600",,,,"42","eth:ethertype:arp",,
"3","May 28, 2022 17:08:54.415583900 Pacific Daylight Time","0.509532700","0.509515100","172.17.0.2","142.250.68.3","17","389","eth:ethertype:ip:udp:data","347",
"4","May 28, 2022 17:08:54.431454000 Pacific Daylight Time","0.525402800","0.015870100","172.17.0.2","142.250.68.110","17","1252","eth:ethertype:ip:udp:data","1210",
"5","May 28, 2022 17:08:54.432444100 Pacific Daylight Time","0.526392900","0.000990100","172.17.0.2","142.250.68.110","17","511","eth:ethertype:ip:udp:data","469",
"6","May 28, 2022 17:08:54.436167800 Pacific Daylight Time","0.530116600","0.003723700","172.17.0.2","142.250.68.110","17","841","eth:ethertype:ip:udp:data","799",
"7","May 28, 2022 17:08:54.443636000 Pacific Daylight Time","0.537584800","0.007468200","172.17.0.2","142.250.217.150","17","390","eth:ethertype:ip:udp:data","348",
"8","May 28, 2022 17:08:54.445483900 Pacific Daylight Time","0.539432700","0.001847900","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls",,"quic"
"9","May 28, 2022 17:08:54.446061500 Pacific Daylight Time","0.540010300","0.000577600","172.17.0.2","172.20.176.1","17","78","eth:ethertype:ip:udp:dns",,
"10","May 28, 2022 17:08:54.446268800 Pacific Daylight Time","0.540217600","0.000207300","172.17.0.2","172.20.176.1","17","85","eth:ethertype:ip:udp:dns",,
"11","May 28, 2022 17:08:54.446619800 Pacific Daylight Time","0.540568600","0.000351000","172.17.0.2","172.217.14.98","17","737","eth:ethertype:ip:udp:data","695",
"12","May 28, 2022 17:08:54.456847000 Pacific Daylight Time","0.550795800","0.010227200","172.17.0.2","142.250.217.150","17","207","eth:ethertype:ip:udp:data","165",
"13","May 28, 2022 17:08:54.466795200 Pacific Daylight Time","0.560744000","0.009948200","142.250.68.3","172.17.0.2","17","623","eth:ethertype:ip:udp:data","581",
"14","May 28, 2022 17:08:54.467006700 Pacific Daylight Time","0.560955500","0.000211500","172.17.0.2","142.250.68.3","17","77","eth:ethertype:ip:udp:data","35",
"15","May 28, 2022 17:08:54.468323300 Pacific Daylight Time","0.562272100","0.001316600","142.250.68.3","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"16","May 28, 2022 17:08:54.468324300 Pacific Daylight Time","0.562273100","0.000001000","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 28, 2022 17:08:54.468325000 Pacific Daylight Time","0.562273800","0.000000700","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 28, 2022 17:08:54.468325600 Pacific Daylight Time","0.562274400","0.000000600","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 28, 2022 17:08:54.468326300 Pacific Daylight Time","0.562275100","0.000000700","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 28, 2022 17:08:54.468326900 Pacific Daylight Time","0.562275700","0.000000600","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 28, 2022 17:08:54.468327600 Pacific Daylight Time","0.562276400","0.000000700","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 28, 2022 17:08:54.468328200 Pacific Daylight Time","0.562277000","0.000000600","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 28, 2022 17:08:54.468332700 Pacific Daylight Time","0.562281500","0.000004500","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 28, 2022 17:08:54.468333300 Pacific Daylight Time","0.562282100","0.000000600","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 28, 2022 17:08:54.468442200 Pacific Daylight Time","0.562391000","0.000108900","172.17.0.2","142.250.68.3","17","75","eth:ethertype:ip:udp:data","33",
"26","May 28, 2022 17:08:54.468494000 Pacific Daylight Time","0.562442800","0.000051800","172.17.0.2","142.250.68.3","17","75","eth:ethertype:ip:udp:data","33",
"27","May 28, 2022 17:08:54.468532300 Pacific Daylight Time","0.562481100","0.000038300","172.17.0.2","142.250.68.3","17","75","eth:ethertype:ip:udp:data","33",
