frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 20:03:20.725488500 Pacific Daylight Time","0.000000000","0.000000000","74.125.157.105","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"2","May 25, 2022 20:03:20.725489600 Pacific Daylight Time","0.000001100","0.000001100","74.125.157.105","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"3","May 25, 2022 20:03:20.725490300 Pacific Daylight Time","0.000001800","0.000000700","74.125.157.105","172.17.0.2","17","98","eth:ethertype:ip:udp:data","56",
"4","May 25, 2022 20:03:20.725490900 Pacific Daylight Time","0.000002400","0.000000600","74.125.157.105","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"5","May 25, 2022 20:03:20.725491600 Pacific Daylight Time","0.000003100","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 25, 2022 20:03:20.725492200 Pacific Daylight Time","0.000003700","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 25, 2022 20:03:20.725492900 Pacific Daylight Time","0.000004400","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 25, 2022 20:03:20.725493500 Pacific Daylight Time","0.000005000","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 25, 2022 20:03:20.725498100 Pacific Daylight Time","0.000009600","0.000004600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 25, 2022 20:03:20.725498800 Pacific Daylight Time","0.000010300","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 25, 2022 20:03:20.725588400 Pacific Daylight Time","0.000099900","0.000089600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 25, 2022 20:03:20.725589300 Pacific Daylight Time","0.000100800","0.000000900","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 25, 2022 20:03:20.725590000 Pacific Daylight Time","0.000101500","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 25, 2022 20:03:20.725672400 Pacific Daylight Time","0.000183900","0.000082400","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 25, 2022 20:03:20.725673300 Pacific Daylight Time","0.000184800","0.000000900","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 25, 2022 20:03:20.725674000 Pacific Daylight Time","0.000185500","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 25, 2022 20:03:20.725912100 Pacific Daylight Time","0.000423600","0.000238100","172.17.0.2","74.125.157.105","17","78","eth:ethertype:ip:udp:data","36",
"18","May 25, 2022 20:03:20.726154500 Pacific Daylight Time","0.000666000","0.000242400","172.17.0.2","74.125.157.105","17","75","eth:ethertype:ip:udp:data","33",
