frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 22:26:20.843189600 PDT","0.000000000","0.000000000","172.17.0.2","173.194.12.134","17","75","eth:ethertype:ip:udp:data","33"
"2","May 24, 2022 22:26:20.843547100 PDT","0.000357500","0.000357500","172.17.0.2","173.194.12.134","17","75","eth:ethertype:ip:udp:data","33"
"3","May 24, 2022 22:26:20.844572100 PDT","0.001382500","0.001025000","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"4","May 24, 2022 22:26:20.844573100 PDT","0.001383500","0.000001000","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"5","May 24, 2022 22:26:20.844573800 PDT","0.001384200","0.000000700","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"6","May 24, 2022 22:26:20.844574500 PDT","0.001384900","0.000000700","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"7","May 24, 2022 22:26:20.847315200 PDT","0.004125600","0.002740700","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"8","May 24, 2022 22:26:20.847382200 PDT","0.004192600","0.000067000","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"9","May 24, 2022 22:26:20.847383300 PDT","0.004193700","0.000001100","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"10","May 24, 2022 22:26:20.847384000 PDT","0.004194400","0.000000700","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"11","May 24, 2022 22:26:20.849340000 PDT","0.006150400","0.001956000","172.17.0.2","173.194.12.134","17","76","eth:ethertype:ip:udp:data","34"
"12","May 24, 2022 22:26:20.861724200 PDT","0.018534600","0.012384200","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"13","May 24, 2022 22:26:20.861725800 PDT","0.018536200","0.000001600","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"14","May 24, 2022 22:26:20.861726400 PDT","0.018536800","0.000000600","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"15","May 24, 2022 22:26:20.861727200 PDT","0.018537600","0.000000800","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"16","May 24, 2022 22:26:20.861727900 PDT","0.018538300","0.000000700","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"17","May 24, 2022 22:26:20.861728500 PDT","0.018538900","0.000000600","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"18","May 24, 2022 22:26:20.861729100 PDT","0.018539500","0.000000600","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"19","May 24, 2022 22:26:20.861729700 PDT","0.018540100","0.000000600","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"20","May 24, 2022 22:26:20.861748300 PDT","0.018558700","0.000018600","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"21","May 24, 2022 22:26:20.861748900 PDT","0.018559300","0.000000600","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"22","May 24, 2022 22:26:20.861974200 PDT","0.018784600","0.000225300","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"23","May 24, 2022 22:26:20.861975300 PDT","0.018785700","0.000001100","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"24","May 24, 2022 22:26:20.861975900 PDT","0.018786300","0.000000600","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"25","May 24, 2022 22:26:20.861976700 PDT","0.018787100","0.000000800","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"26","May 24, 2022 22:26:20.861977300 PDT","0.018787700","0.000000600","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"27","May 24, 2022 22:26:20.861978000 PDT","0.018788400","0.000000700","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"28","May 24, 2022 22:26:20.862057800 PDT","0.018868200","0.000079800","173.194.12.134","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
