frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 23:02:42.321571400 PDT","0.000000000","0.000000000","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"2","May 24, 2022 23:02:42.321572600 PDT","0.000001200","0.000001200","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"3","May 24, 2022 23:02:42.321573200 PDT","0.000001800","0.000000600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"4","May 24, 2022 23:02:42.321573900 PDT","0.000002500","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"5","May 24, 2022 23:02:42.321574700 PDT","0.000003300","0.000000800","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"6","May 24, 2022 23:02:42.321575400 PDT","0.000004000","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"7","May 24, 2022 23:02:42.321576000 PDT","0.000004600","0.000000600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"8","May 24, 2022 23:02:42.321576700 PDT","0.000005300","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"9","May 24, 2022 23:02:42.321583400 PDT","0.000012000","0.000006700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"10","May 24, 2022 23:02:42.321584200 PDT","0.000012800","0.000000800","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"11","May 24, 2022 23:02:42.321584800 PDT","0.000013400","0.000000600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"12","May 24, 2022 23:02:42.321673400 PDT","0.000102000","0.000088600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"13","May 24, 2022 23:02:42.321674400 PDT","0.000103000","0.000001000","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"14","May 24, 2022 23:02:42.321675000 PDT","0.000103600","0.000000600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"15","May 24, 2022 23:02:42.321675800 PDT","0.000104400","0.000000800","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"16","May 24, 2022 23:02:42.321676400 PDT","0.000105000","0.000000600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"17","May 24, 2022 23:02:42.321839800 PDT","0.000268400","0.000163400","172.17.0.2","173.194.12.135","17","76","eth:ethertype:ip:udp:data","34"
"18","May 24, 2022 23:02:42.321901200 PDT","0.000329800","0.000061400","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"19","May 24, 2022 23:02:42.321903100 PDT","0.000331700","0.000001900","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"20","May 24, 2022 23:02:42.321903900 PDT","0.000332500","0.000000800","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"21","May 24, 2022 23:02:42.321904800 PDT","0.000333400","0.000000900","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"22","May 24, 2022 23:02:42.321905800 PDT","0.000334400","0.000001000","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"23","May 24, 2022 23:02:42.321906900 PDT","0.000335500","0.000001100","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"24","May 24, 2022 23:02:42.321908000 PDT","0.000336600","0.000001100","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"25","May 24, 2022 23:02:42.321908900 PDT","0.000337500","0.000000900","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"26","May 24, 2022 23:02:42.321917800 PDT","0.000346400","0.000008900","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"27","May 24, 2022 23:02:42.321918800 PDT","0.000347400","0.000001000","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"28","May 24, 2022 23:02:42.321919800 PDT","0.000348400","0.000001000","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"29","May 24, 2022 23:02:42.321938300 PDT","0.000366900","0.000018500","172.17.0.2","173.194.12.135","17","76","eth:ethertype:ip:udp:data","34"
"30","May 24, 2022 23:02:42.321990200 PDT","0.000418800","0.000051900","172.17.0.2","173.194.12.135","17","76","eth:ethertype:ip:udp:data","34"
"31","May 24, 2022 23:02:42.321996000 PDT","0.000424600","0.000005800","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"32","May 24, 2022 23:02:42.321997800 PDT","0.000426400","0.000001800","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"33","May 24, 2022 23:02:42.322037600 PDT","0.000466200","0.000039800","172.17.0.2","173.194.12.135","17","76","eth:ethertype:ip:udp:data","34"
"34","May 24, 2022 23:02:42.322063700 PDT","0.000492300","0.000026100","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"35","May 24, 2022 23:02:42.322065700 PDT","0.000494300","0.000002000","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"36","May 24, 2022 23:02:42.322066700 PDT","0.000495300","0.000001000","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"37","May 24, 2022 23:02:42.322067700 PDT","0.000496300","0.000001000","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"38","May 24, 2022 23:02:42.322080800 PDT","0.000509400","0.000013100","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"39","May 24, 2022 23:02:42.322081700 PDT","0.000510300","0.000000900","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
