frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 19:53:58.228848800 Pacific Daylight Time","0.000000000","0.000000000","74.125.157.137","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"2","May 25, 2022 19:53:58.319532800 Pacific Daylight Time","0.090684000","0.090684000","74.125.157.137","172.17.0.2","17","85","eth:ethertype:ip:udp:data","43",
"3","May 25, 2022 19:53:58.319752000 Pacific Daylight Time","0.090903200","0.000219200","172.17.0.2","74.125.157.137","17","78","eth:ethertype:ip:udp:data","36",
"4","May 25, 2022 19:53:58.320530600 Pacific Daylight Time","0.091681800","0.000778600","74.125.157.137","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"5","May 25, 2022 19:53:58.320603100 Pacific Daylight Time","0.091754300","0.000072500","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 25, 2022 19:53:58.320604100 Pacific Daylight Time","0.091755300","0.000001000","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 25, 2022 19:53:58.320608900 Pacific Daylight Time","0.091760100","0.000004800","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 25, 2022 19:53:58.320639700 Pacific Daylight Time","0.091790900","0.000030800","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 25, 2022 19:53:58.320640600 Pacific Daylight Time","0.091791800","0.000000900","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 25, 2022 19:53:58.320641300 Pacific Daylight Time","0.091792500","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 25, 2022 19:53:58.320646900 Pacific Daylight Time","0.091798100","0.000005600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 25, 2022 19:53:58.320647600 Pacific Daylight Time","0.091798800","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 25, 2022 19:53:58.320753700 Pacific Daylight Time","0.091904900","0.000106100","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 25, 2022 19:53:58.320754900 Pacific Daylight Time","0.091906100","0.000001200","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 25, 2022 19:53:58.320771000 Pacific Daylight Time","0.091922200","0.000016100","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 25, 2022 19:53:58.320771700 Pacific Daylight Time","0.091922900","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 25, 2022 19:53:58.321168400 Pacific Daylight Time","0.092319600","0.000396700","172.17.0.2","74.125.157.137","17","75","eth:ethertype:ip:udp:data","33",
"18","May 25, 2022 19:53:58.324289500 Pacific Daylight Time","0.095440700","0.003121100","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 25, 2022 19:53:58.324290600 Pacific Daylight Time","0.095441800","0.000001100","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 25, 2022 19:53:58.324291300 Pacific Daylight Time","0.095442500","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 25, 2022 19:53:58.324292000 Pacific Daylight Time","0.095443200","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 25, 2022 19:53:58.324978300 Pacific Daylight Time","0.096129500","0.000686300","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 25, 2022 19:53:58.324979300 Pacific Daylight Time","0.096130500","0.000001000","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 25, 2022 19:53:58.324979900 Pacific Daylight Time","0.096131100","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 25, 2022 19:53:58.324980600 Pacific Daylight Time","0.096131800","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 25, 2022 19:53:58.325153200 Pacific Daylight Time","0.096304400","0.000172600","172.17.0.2","74.125.157.137","17","75","eth:ethertype:ip:udp:data","33",
"27","May 25, 2022 19:53:58.327895400 Pacific Daylight Time","0.099046600","0.002742200","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 25, 2022 19:53:58.327896300 Pacific Daylight Time","0.099047500","0.000000900","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"29","May 25, 2022 19:53:58.327896900 Pacific Daylight Time","0.099048100","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 25, 2022 19:53:58.327897500 Pacific Daylight Time","0.099048700","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
