frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 18:49:27.084488000 Pacific Daylight Time","0.000000000","0.000000000","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"2","May 27, 2022 18:49:27.084489100 Pacific Daylight Time","0.000001100","0.000001100","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"3","May 27, 2022 18:49:27.084489700 Pacific Daylight Time","0.000001700","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"4","May 27, 2022 18:49:27.084490400 Pacific Daylight Time","0.000002400","0.000000700","74.125.157.137","172.17.0.2","17","451","eth:ethertype:ip:udp:data","409",
"5","May 27, 2022 18:49:27.094146700 Pacific Daylight Time","0.009658700","0.009656300","172.17.0.2","74.125.157.137","17","81","eth:ethertype:ip:udp:data","39",
"6","May 27, 2022 18:49:27.150546200 Pacific Daylight Time","0.066058200","0.056399500","74.125.157.137","172.17.0.2","17","74","eth:ethertype:ip:udp:data","32",
"7","May 27, 2022 18:49:27.150547300 Pacific Daylight Time","0.066059300","0.000001100","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 27, 2022 18:49:27.150547900 Pacific Daylight Time","0.066059900","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 27, 2022 18:49:27.150794100 Pacific Daylight Time","0.066306100","0.000246200","172.17.0.2","74.125.157.137","17","82","eth:ethertype:ip:udp:data","40",
"10","May 27, 2022 18:49:27.150876000 Pacific Daylight Time","0.066388000","0.000081900","172.17.0.2","74.125.157.137","17","82","eth:ethertype:ip:udp:data","40",
"11","May 27, 2022 18:49:27.150903400 Pacific Daylight Time","0.066415400","0.000027400","172.17.0.2","74.125.157.137","17","82","eth:ethertype:ip:udp:data","40",
"12","May 27, 2022 18:49:27.168201800 Pacific Daylight Time","0.083713800","0.017298400","172.17.0.2","74.125.157.137","17","75","eth:ethertype:ip:udp:data","33",
"13","May 27, 2022 18:49:27.197547300 Pacific Daylight Time","0.113059300","0.029345500","74.125.157.137","172.17.0.2","17","1285","eth:ethertype:ip:udp:data","1243",
"14","May 27, 2022 18:49:27.197749100 Pacific Daylight Time","0.113261100","0.000201800","172.17.0.2","74.125.157.137","17","82","eth:ethertype:ip:udp:data","40",
"15","May 27, 2022 18:49:27.201263900 Pacific Daylight Time","0.116775900","0.003514800","172.17.0.2","74.125.157.137","17","973","eth:ethertype:ip:udp:data","931",
"16","May 27, 2022 18:49:27.215524400 Pacific Daylight Time","0.131036400","0.014260500","74.125.157.137","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"17","May 27, 2022 18:49:27.252518100 Pacific Daylight Time","0.168030100","0.036993700","74.125.157.137","172.17.0.2","17","73","eth:ethertype:ip:udp:data","31",
"18","May 27, 2022 18:49:27.253165100 Pacific Daylight Time","0.168677100","0.000647000","74.125.157.137","172.17.0.2","17","85","eth:ethertype:ip:udp:data","43",
"19","May 27, 2022 18:49:27.253368700 Pacific Daylight Time","0.168880700","0.000203600","172.17.0.2","74.125.157.137","17","78","eth:ethertype:ip:udp:data","36",
"20","May 27, 2022 18:49:27.254229900 Pacific Daylight Time","0.169741900","0.000861200","74.125.157.137","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"21","May 27, 2022 18:49:27.254230900 Pacific Daylight Time","0.169742900","0.000001000","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 27, 2022 18:49:27.254283600 Pacific Daylight Time","0.169795600","0.000052700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 27, 2022 18:49:27.254284500 Pacific Daylight Time","0.169796500","0.000000900","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 27, 2022 18:49:27.254324900 Pacific Daylight Time","0.169836900","0.000040400","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 27, 2022 18:49:27.254374000 Pacific Daylight Time","0.169886000","0.000049100","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 27, 2022 18:49:27.254374900 Pacific Daylight Time","0.169886900","0.000000900","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 27, 2022 18:49:27.254379300 Pacific Daylight Time","0.169891300","0.000004400","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 27, 2022 18:49:27.254414300 Pacific Daylight Time","0.169926300","0.000035000","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"29","May 27, 2022 18:49:27.254415200 Pacific Daylight Time","0.169927200","0.000000900","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 27, 2022 18:49:27.254559100 Pacific Daylight Time","0.170071100","0.000143900","172.17.0.2","74.125.157.137","17","75","eth:ethertype:ip:udp:data","33",
"31","May 27, 2022 18:49:27.254559600 Pacific Daylight Time","0.170071600","0.000000500","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"32","May 27, 2022 18:49:27.255339300 Pacific Daylight Time","0.170851300","0.000779700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"33","May 27, 2022 18:49:27.255340500 Pacific Daylight Time","0.170852500","0.000001200","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"34","May 27, 2022 18:49:27.255341100 Pacific Daylight Time","0.170853100","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"35","May 27, 2022 18:49:27.255341800 Pacific Daylight Time","0.170853800","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"36","May 27, 2022 18:49:27.255342400 Pacific Daylight Time","0.170854400","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"37","May 27, 2022 18:49:27.255343000 Pacific Daylight Time","0.170855000","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"38","May 27, 2022 18:49:27.255343600 Pacific Daylight Time","0.170855600","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"39","May 27, 2022 18:49:27.255344300 Pacific Daylight Time","0.170856300","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"40","May 27, 2022 18:49:27.255347700 Pacific Daylight Time","0.170859700","0.000003400","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"41","May 27, 2022 18:49:27.255609000 Pacific Daylight Time","0.171121000","0.000261300","172.17.0.2","74.125.157.137","17","75","eth:ethertype:ip:udp:data","33",
"42","May 27, 2022 18:49:27.257006400 Pacific Daylight Time","0.172518400","0.001397400","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"43","May 27, 2022 18:49:27.257007700 Pacific Daylight Time","0.172519700","0.000001300","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"44","May 27, 2022 18:49:27.257008400 Pacific Daylight Time","0.172520400","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"45","May 27, 2022 18:49:27.257009000 Pacific Daylight Time","0.172521000","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"46","May 27, 2022 18:49:27.257009700 Pacific Daylight Time","0.172521700","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"47","May 27, 2022 18:49:27.257010400 Pacific Daylight Time","0.172522400","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"48","May 27, 2022 18:49:27.257011300 Pacific Daylight Time","0.172523300","0.000000900","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"49","May 27, 2022 18:49:27.257012100 Pacific Daylight Time","0.172524100","0.000000800","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"50","May 27, 2022 18:49:27.257017600 Pacific Daylight Time","0.172529600","0.000005500","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"51","May 27, 2022 18:49:27.258349500 Pacific Daylight Time","0.173861500","0.001331900","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"52","May 27, 2022 18:49:27.258350600 Pacific Daylight Time","0.173862600","0.000001100","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"53","May 27, 2022 18:49:27.258351200 Pacific Daylight Time","0.173863200","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"54","May 27, 2022 18:49:27.258351900 Pacific Daylight Time","0.173863900","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"55","May 27, 2022 18:49:27.258352500 Pacific Daylight Time","0.173864500","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"56","May 27, 2022 18:49:27.258353100 Pacific Daylight Time","0.173865100","0.000000600","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"57","May 27, 2022 18:49:27.258353800 Pacific Daylight Time","0.173865800","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"58","May 27, 2022 18:49:27.258354500 Pacific Daylight Time","0.173866500","0.000000700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"59","May 27, 2022 18:49:27.258362200 Pacific Daylight Time","0.173874200","0.000007700","74.125.157.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
