frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 28, 2022 17:04:34.190498800 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","74.125.157.70","17","75","eth:ethertype:ip:udp:data","33",
"2","May 28, 2022 17:04:34.202064900 Pacific Daylight Time","0.011566100","0.011566100","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"3","May 28, 2022 17:04:34.202065900 Pacific Daylight Time","0.011567100","0.000001000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"4","May 28, 2022 17:04:34.202066600 Pacific Daylight Time","0.011567800","0.000000700","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"5","May 28, 2022 17:04:34.202067200 Pacific Daylight Time","0.011568400","0.000000600","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 28, 2022 17:04:34.202067800 Pacific Daylight Time","0.011569000","0.000000600","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 28, 2022 17:04:34.202069000 Pacific Daylight Time","0.011570200","0.000001200","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 28, 2022 17:04:34.202069600 Pacific Daylight Time","0.011570800","0.000000600","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 28, 2022 17:04:34.202111600 Pacific Daylight Time","0.011612800","0.000042000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 28, 2022 17:04:34.202112500 Pacific Daylight Time","0.011613700","0.000000900","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 28, 2022 17:04:34.202113500 Pacific Daylight Time","0.011614700","0.000001000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 28, 2022 17:04:34.202252700 Pacific Daylight Time","0.011753900","0.000139200","172.17.0.2","74.125.157.70","17","76","eth:ethertype:ip:udp:data","34",
"13","May 28, 2022 17:04:34.202313400 Pacific Daylight Time","0.011814600","0.000060700","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 28, 2022 17:04:34.202314600 Pacific Daylight Time","0.011815800","0.000001200","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 28, 2022 17:04:34.202315600 Pacific Daylight Time","0.011816800","0.000001000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 28, 2022 17:04:34.202316500 Pacific Daylight Time","0.011817700","0.000000900","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 28, 2022 17:04:34.202317400 Pacific Daylight Time","0.011818600","0.000000900","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 28, 2022 17:04:34.202318700 Pacific Daylight Time","0.011819900","0.000001300","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 28, 2022 17:04:34.202351200 Pacific Daylight Time","0.011852400","0.000032500","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 28, 2022 17:04:34.202358500 Pacific Daylight Time","0.011859700","0.000007300","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 28, 2022 17:04:34.202394000 Pacific Daylight Time","0.011895200","0.000035500","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 28, 2022 17:04:34.202401500 Pacific Daylight Time","0.011902700","0.000007500","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 28, 2022 17:04:34.202406800 Pacific Daylight Time","0.011908000","0.000005300","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 28, 2022 17:04:34.202452700 Pacific Daylight Time","0.011953900","0.000045900","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 28, 2022 17:04:34.202453600 Pacific Daylight Time","0.011954800","0.000000900","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 28, 2022 17:04:34.202454200 Pacific Daylight Time","0.011955400","0.000000600","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 28, 2022 17:04:34.202455000 Pacific Daylight Time","0.011956200","0.000000800","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 28, 2022 17:04:34.202460900 Pacific Daylight Time","0.011962100","0.000005900","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"29","May 28, 2022 17:04:34.202463700 Pacific Daylight Time","0.011964900","0.000002800","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 28, 2022 17:04:34.202500300 Pacific Daylight Time","0.012001500","0.000036600","172.17.0.2","74.125.157.70","17","76","eth:ethertype:ip:udp:data","34",
"31","May 28, 2022 17:04:34.202531400 Pacific Daylight Time","0.012032600","0.000031100","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"32","May 28, 2022 17:04:34.202532600 Pacific Daylight Time","0.012033800","0.000001200","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"33","May 28, 2022 17:04:34.202587900 Pacific Daylight Time","0.012089100","0.000055300","172.17.0.2","74.125.157.70","17","76","eth:ethertype:ip:udp:data","34",
"34","May 28, 2022 17:04:34.202684200 Pacific Daylight Time","0.012185400","0.000096300","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"35","May 28, 2022 17:04:34.202685600 Pacific Daylight Time","0.012186800","0.000001400","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"36","May 28, 2022 17:04:34.202686600 Pacific Daylight Time","0.012187800","0.000001000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"37","May 28, 2022 17:04:34.202687600 Pacific Daylight Time","0.012188800","0.000001000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"38","May 28, 2022 17:04:34.202688500 Pacific Daylight Time","0.012189700","0.000000900","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"39","May 28, 2022 17:04:34.202689600 Pacific Daylight Time","0.012190800","0.000001100","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"40","May 28, 2022 17:04:34.202690600 Pacific Daylight Time","0.012191800","0.000001000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"41","May 28, 2022 17:04:34.202709400 Pacific Daylight Time","0.012210600","0.000018800","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"42","May 28, 2022 17:04:34.202710600 Pacific Daylight Time","0.012211800","0.000001200","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"43","May 28, 2022 17:04:34.202711400 Pacific Daylight Time","0.012212600","0.000000800","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"44","May 28, 2022 17:04:34.202719500 Pacific Daylight Time","0.012220700","0.000008100","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"45","May 28, 2022 17:04:34.202723700 Pacific Daylight Time","0.012224900","0.000004200","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"46","May 28, 2022 17:04:34.202740400 Pacific Daylight Time","0.012241600","0.000016700","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"47","May 28, 2022 17:04:34.202762500 Pacific Daylight Time","0.012263700","0.000022100","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"48","May 28, 2022 17:04:34.202763300 Pacific Daylight Time","0.012264500","0.000000800","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"49","May 28, 2022 17:04:34.202768500 Pacific Daylight Time","0.012269700","0.000005200","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"50","May 28, 2022 17:04:34.202780400 Pacific Daylight Time","0.012281600","0.000011900","172.17.0.2","74.125.157.70","17","76","eth:ethertype:ip:udp:data","34",
"51","May 28, 2022 17:04:34.202868100 Pacific Daylight Time","0.012369300","0.000087700","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"52","May 28, 2022 17:04:34.202869300 Pacific Daylight Time","0.012370500","0.000001200","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"53","May 28, 2022 17:04:34.202870300 Pacific Daylight Time","0.012371500","0.000001000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"54","May 28, 2022 17:04:34.202889900 Pacific Daylight Time","0.012391100","0.000019600","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"55","May 28, 2022 17:04:34.202893900 Pacific Daylight Time","0.012395100","0.000004000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"56","May 28, 2022 17:04:34.202960900 Pacific Daylight Time","0.012462100","0.000067000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"57","May 28, 2022 17:04:34.202962100 Pacific Daylight Time","0.012463300","0.000001200","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
