frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 19:53:45.626518400 Pacific Daylight Time","0.000000000","0.000000000","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"2","May 27, 2022 19:53:45.630387300 Pacific Daylight Time","0.003868900","0.003868900","172.17.0.2","74.125.157.70","17","1031","eth:ethertype:ip:udp:data","989",
"3","May 27, 2022 19:53:45.661190700 Pacific Daylight Time","0.034672300","0.030803400","74.125.157.70","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"4","May 27, 2022 19:53:45.662110800 Pacific Daylight Time","0.035592400","0.000920100","74.125.157.70","172.17.0.2","17","96","eth:ethertype:ip:udp:data","54",
"5","May 27, 2022 19:53:45.662357400 Pacific Daylight Time","0.035839000","0.000246600","172.17.0.2","74.125.157.70","17","78","eth:ethertype:ip:udp:data","36",
"6","May 27, 2022 19:53:45.662929300 Pacific Daylight Time","0.036410900","0.000571900","74.125.157.70","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"7","May 27, 2022 19:53:45.662930500 Pacific Daylight Time","0.036412100","0.000001200","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 27, 2022 19:53:45.662931200 Pacific Daylight Time","0.036412800","0.000000700","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 27, 2022 19:53:45.662931900 Pacific Daylight Time","0.036413500","0.000000700","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 27, 2022 19:53:45.664755200 Pacific Daylight Time","0.038236800","0.001823300","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 27, 2022 19:53:45.664756100 Pacific Daylight Time","0.038237700","0.000000900","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 19:53:45.664756800 Pacific Daylight Time","0.038238400","0.000000700","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 27, 2022 19:53:45.664757400 Pacific Daylight Time","0.038239000","0.000000600","74.125.157.70","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
