frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 23:11:34.081659500 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","74.125.157.102","17","1044","eth:ethertype:ip:udp:data","1002",
"2","May 25, 2022 23:11:34.132497600 Pacific Daylight Time","0.050838100","0.050838100","74.125.157.102","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"3","May 25, 2022 23:11:34.133036800 Pacific Daylight Time","0.051377300","0.000539200","74.125.157.102","172.17.0.2","17","85","eth:ethertype:ip:udp:data","43",
"4","May 25, 2022 23:11:34.133301300 Pacific Daylight Time","0.051641800","0.000264500","74.125.157.102","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"5","May 25, 2022 23:11:34.133315400 Pacific Daylight Time","0.051655900","0.000014100","172.17.0.2","74.125.157.102","17","78","eth:ethertype:ip:udp:data","36",
"6","May 25, 2022 23:11:34.133629600 Pacific Daylight Time","0.051970100","0.000314200","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 25, 2022 23:11:34.133630700 Pacific Daylight Time","0.051971200","0.000001100","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 25, 2022 23:11:34.145391900 Pacific Daylight Time","0.063732400","0.011761200","172.17.0.2","74.125.157.102","17","75","eth:ethertype:ip:udp:data","33",
"9","May 25, 2022 23:11:34.153034200 Pacific Daylight Time","0.071374700","0.007642300","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 25, 2022 23:11:34.153035300 Pacific Daylight Time","0.071375800","0.000001100","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 25, 2022 23:11:34.153036000 Pacific Daylight Time","0.071376500","0.000000700","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 25, 2022 23:11:34.153036700 Pacific Daylight Time","0.071377200","0.000000700","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 25, 2022 23:11:34.153037300 Pacific Daylight Time","0.071377800","0.000000600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 25, 2022 23:11:34.153038000 Pacific Daylight Time","0.071378500","0.000000700","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 25, 2022 23:11:34.153038700 Pacific Daylight Time","0.071379200","0.000000700","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 25, 2022 23:11:34.153039300 Pacific Daylight Time","0.071379800","0.000000600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 25, 2022 23:11:34.153045900 Pacific Daylight Time","0.071386400","0.000006600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 25, 2022 23:11:34.153046600 Pacific Daylight Time","0.071387100","0.000000700","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 25, 2022 23:11:34.153047200 Pacific Daylight Time","0.071387700","0.000000600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
