frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 22:59:41.933009400 PDT","0.000000000","0.000000000","172.17.0.2","173.194.8.201","6","66","eth:ethertype:ip:tcp",
"2","May 24, 2022 22:59:41.933015900 PDT","0.000006500","0.000006500","172.17.0.2","173.194.8.201","6","66","eth:ethertype:ip:tcp",
"3","May 24, 2022 22:59:42.253115400 PDT","0.320106000","0.320099500","172.17.0.2","74.125.157.102","6","66","eth:ethertype:ip:tcp",
"4","May 24, 2022 22:59:42.444920800 PDT","0.511911400","0.191805400","172.17.0.2","172.217.14.99","17","144","eth:ethertype:ip:udp:data","102"
"5","May 24, 2022 22:59:42.470388600 PDT","0.537379200","0.025467800","172.17.0.2","142.250.217.150","17","118","eth:ethertype:ip:udp:data","76"
"6","May 24, 2022 22:59:42.473059500 PDT","0.540050100","0.002670900","172.17.0.2","142.251.40.33","17","1292","eth:ethertype:ip:udp:data","1250"
"7","May 24, 2022 22:59:42.473586500 PDT","0.540577100","0.000527000","172.17.0.2","172.20.176.1","17","78","eth:ethertype:ip:udp:dns",
"8","May 24, 2022 22:59:42.474439300 PDT","0.541429900","0.000852800","172.17.0.2","172.20.176.1","17","85","eth:ethertype:ip:udp:dns",
"9","May 24, 2022 22:59:42.474682600 PDT","0.541673200","0.000243300","172.17.0.2","142.250.72.238","17","1092","eth:ethertype:ip:udp:data","1050"
"10","May 24, 2022 22:59:42.474896300 PDT","0.541886900","0.000213700","172.17.0.2","142.250.72.238","17","486","eth:ethertype:ip:udp:data","444"
"11","May 24, 2022 22:59:42.475090200 PDT","0.542080800","0.000193900","172.17.0.2","142.250.72.238","17","821","eth:ethertype:ip:udp:data","779"
"12","May 24, 2022 22:59:42.475301500 PDT","0.542292100","0.000211300","172.17.0.2","142.250.217.130","17","738","eth:ethertype:ip:udp:data","696"
"13","May 24, 2022 22:59:42.484757500 PDT","0.551748100","0.009456000","172.17.0.2","142.250.217.150","17","207","eth:ethertype:ip:udp:data","165"
"14","May 24, 2022 22:59:42.497939500 PDT","0.564930100","0.013182000","172.217.14.99","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"15","May 24, 2022 22:59:42.498220600 PDT","0.565211200","0.000281100","172.217.14.99","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"16","May 24, 2022 22:59:42.498347400 PDT","0.565338000","0.000126800","172.17.0.2","172.217.14.99","17","77","eth:ethertype:ip:udp:data","35"
"17","May 24, 2022 22:59:42.498680700 PDT","0.565671300","0.000333300","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"18","May 24, 2022 22:59:42.498681600 PDT","0.565672200","0.000000900","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"19","May 24, 2022 22:59:42.498682200 PDT","0.565672800","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"20","May 24, 2022 22:59:42.498682800 PDT","0.565673400","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
