frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 23:25:39.376345400 Pacific Daylight Time","0.000000000","0.000000000","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"2","May 25, 2022 23:25:39.376346800 Pacific Daylight Time","0.000001400","0.000001400","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"3","May 25, 2022 23:25:39.377001400 Pacific Daylight Time","0.000656000","0.000654600","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"4","May 25, 2022 23:25:39.377003100 Pacific Daylight Time","0.000657700","0.000001700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"5","May 25, 2022 23:25:39.377003800 Pacific Daylight Time","0.000658400","0.000000700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 25, 2022 23:25:39.377113600 Pacific Daylight Time","0.000768200","0.000109800","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 25, 2022 23:25:39.377115000 Pacific Daylight Time","0.000769600","0.000001400","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 25, 2022 23:25:39.377222800 Pacific Daylight Time","0.000877400","0.000107800","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 25, 2022 23:25:39.377223700 Pacific Daylight Time","0.000878300","0.000000900","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 25, 2022 23:25:39.377224400 Pacific Daylight Time","0.000879000","0.000000700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 25, 2022 23:25:39.377386100 Pacific Daylight Time","0.001040700","0.000161700","172.17.0.2","74.125.157.103","17","76","eth:ethertype:ip:udp:data","34",
"12","May 25, 2022 23:25:39.378808100 Pacific Daylight Time","0.002462700","0.001422000","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 25, 2022 23:25:39.378810300 Pacific Daylight Time","0.002464900","0.000002200","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 25, 2022 23:25:39.378811400 Pacific Daylight Time","0.002466000","0.000001100","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 25, 2022 23:25:39.378812000 Pacific Daylight Time","0.002466600","0.000000600","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 25, 2022 23:25:39.378812700 Pacific Daylight Time","0.002467300","0.000000700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 25, 2022 23:25:39.378911400 Pacific Daylight Time","0.002566000","0.000098700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 25, 2022 23:25:39.378912400 Pacific Daylight Time","0.002567000","0.000001000","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 25, 2022 23:25:39.378913100 Pacific Daylight Time","0.002567700","0.000000700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 25, 2022 23:25:39.378913900 Pacific Daylight Time","0.002568500","0.000000800","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 25, 2022 23:25:39.378914600 Pacific Daylight Time","0.002569200","0.000000700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 25, 2022 23:25:39.379107900 Pacific Daylight Time","0.002762500","0.000193300","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 25, 2022 23:25:39.379109400 Pacific Daylight Time","0.002764000","0.000001500","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 25, 2022 23:25:39.379110100 Pacific Daylight Time","0.002764700","0.000000700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 25, 2022 23:25:39.379110800 Pacific Daylight Time","0.002765400","0.000000700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 25, 2022 23:25:39.379111500 Pacific Daylight Time","0.002766100","0.000000700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 25, 2022 23:25:39.379112200 Pacific Daylight Time","0.002766800","0.000000700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 25, 2022 23:25:39.379185500 Pacific Daylight Time","0.002840100","0.000073300","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"29","May 25, 2022 23:25:39.379277900 Pacific Daylight Time","0.002932500","0.000092400","172.17.0.2","74.125.157.103","17","76","eth:ethertype:ip:udp:data","34",
"30","May 25, 2022 23:25:39.379516500 Pacific Daylight Time","0.003171100","0.000238600","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"31","May 25, 2022 23:25:39.379517500 Pacific Daylight Time","0.003172100","0.000001000","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"32","May 25, 2022 23:25:39.379518100 Pacific Daylight Time","0.003172700","0.000000600","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"33","May 25, 2022 23:25:39.379518800 Pacific Daylight Time","0.003173400","0.000000700","74.125.157.103","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
