frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 26, 2022 00:03:39.459755500 Pacific Daylight Time","0.000000000","0.000000000","74.125.170.58","172.17.0.2","17","85","eth:ethertype:ip:udp:data","43",
"2","May 26, 2022 00:03:39.459846700 Pacific Daylight Time","0.000091200","0.000091200","74.125.170.58","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"3","May 26, 2022 00:03:39.460056400 Pacific Daylight Time","0.000300900","0.000209700","172.17.0.2","74.125.170.58","17","78","eth:ethertype:ip:udp:data","36",
"4","May 26, 2022 00:03:39.460821500 Pacific Daylight Time","0.001066000","0.000765100","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"5","May 26, 2022 00:03:39.460822700 Pacific Daylight Time","0.001067200","0.000001200","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 26, 2022 00:03:39.460823400 Pacific Daylight Time","0.001067900","0.000000700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 26, 2022 00:03:39.460824000 Pacific Daylight Time","0.001068500","0.000000600","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 26, 2022 00:03:39.460824600 Pacific Daylight Time","0.001069100","0.000000600","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 26, 2022 00:03:39.460825300 Pacific Daylight Time","0.001069800","0.000000700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 26, 2022 00:03:39.463631000 Pacific Daylight Time","0.003875500","0.002805700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 26, 2022 00:03:39.463632300 Pacific Daylight Time","0.003876800","0.000001300","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 26, 2022 00:03:39.463633000 Pacific Daylight Time","0.003877500","0.000000700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 26, 2022 00:03:39.463725000 Pacific Daylight Time","0.003969500","0.000092000","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 26, 2022 00:03:39.463726100 Pacific Daylight Time","0.003970600","0.000001100","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 26, 2022 00:03:39.463854500 Pacific Daylight Time","0.004099000","0.000128400","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 26, 2022 00:03:39.463855400 Pacific Daylight Time","0.004099900","0.000000900","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 26, 2022 00:03:39.463856100 Pacific Daylight Time","0.004100600","0.000000700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 26, 2022 00:03:39.463856700 Pacific Daylight Time","0.004101200","0.000000600","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 26, 2022 00:03:39.463857400 Pacific Daylight Time","0.004101900","0.000000700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 26, 2022 00:03:39.463988100 Pacific Daylight Time","0.004232600","0.000130700","172.17.0.2","74.125.170.58","17","75","eth:ethertype:ip:udp:data","33",
"21","May 26, 2022 00:03:39.465639600 Pacific Daylight Time","0.005884100","0.001651500","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 26, 2022 00:03:39.465640900 Pacific Daylight Time","0.005885400","0.000001300","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 26, 2022 00:03:39.465641500 Pacific Daylight Time","0.005886000","0.000000600","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 26, 2022 00:03:39.465642200 Pacific Daylight Time","0.005886700","0.000000700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 26, 2022 00:03:39.465642900 Pacific Daylight Time","0.005887400","0.000000700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 26, 2022 00:03:39.465643600 Pacific Daylight Time","0.005888100","0.000000700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 26, 2022 00:03:39.465644300 Pacific Daylight Time","0.005888800","0.000000700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 26, 2022 00:03:39.465644900 Pacific Daylight Time","0.005889400","0.000000600","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"29","May 26, 2022 00:03:39.465651700 Pacific Daylight Time","0.005896200","0.000006800","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 26, 2022 00:03:39.465652400 Pacific Daylight Time","0.005896900","0.000000700","74.125.170.58","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
