frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 18:48:58.002465800 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.166.171","6","66","eth:ethertype:ip:tcp",,
"2","May 27, 2022 18:48:58.002473800 Pacific Daylight Time","0.000008000","0.000008000","172.17.0.2","173.194.166.171","6","66","eth:ethertype:ip:tcp",,
"3","May 27, 2022 18:48:58.187445100 Pacific Daylight Time","0.184979300","0.184971300","172.17.0.2","142.250.68.118","17","118","eth:ethertype:ip:udp:data","76",
"4","May 27, 2022 18:48:58.190145700 Pacific Daylight Time","0.187679900","0.002700600","172.17.0.2","172.20.176.1","17","78","eth:ethertype:ip:udp:dns",,
"5","May 27, 2022 18:48:58.190800900 Pacific Daylight Time","0.188335100","0.000655200","172.17.0.2","172.20.176.1","17","85","eth:ethertype:ip:udp:dns",,
"6","May 27, 2022 18:48:58.191018700 Pacific Daylight Time","0.188552900","0.000217800","172.17.0.2","142.250.217.142","17","1183","eth:ethertype:ip:udp:data","1141",
"7","May 27, 2022 18:48:58.191214700 Pacific Daylight Time","0.188748900","0.000196000","172.17.0.2","142.250.217.142","17","487","eth:ethertype:ip:udp:data","445",
"8","May 27, 2022 18:48:58.191352200 Pacific Daylight Time","0.188886400","0.000137500","172.17.0.2","142.250.217.142","17","810","eth:ethertype:ip:udp:data","768",
"9","May 27, 2022 18:48:58.191457700 Pacific Daylight Time","0.188991900","0.000105500","172.17.0.2","142.250.72.162","17","737","eth:ethertype:ip:udp:data","695",
"10","May 27, 2022 18:48:58.201307000 Pacific Daylight Time","0.198841200","0.009849300","172.17.0.2","142.250.68.118","17","206","eth:ethertype:ip:udp:data","164",
"11","May 27, 2022 18:48:58.209634300 Pacific Daylight Time","0.207168500","0.008327300","142.250.72.162","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"12","May 27, 2022 18:48:58.217757100 Pacific Daylight Time","0.215291300","0.008122800","142.250.68.118","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"13","May 27, 2022 18:48:58.230070000 Pacific Daylight Time","0.227604200","0.012312900","172.20.176.1","172.17.0.2","17","170","eth:ethertype:ip:udp:dns",,
"14","May 27, 2022 18:48:58.230372600 Pacific Daylight Time","0.227906800","0.000302600","172.17.0.2","142.251.40.38","6","74","eth:ethertype:ip:tcp",,
"15","May 27, 2022 18:48:58.234458400 Pacific Daylight Time","0.231992600","0.004085800","142.250.68.118","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"16","May 27, 2022 18:48:58.234662000 Pacific Daylight Time","0.232196200","0.000203600","172.17.0.2","142.250.68.118","17","75","eth:ethertype:ip:udp:data","33",
"17","May 27, 2022 18:48:58.235974500 Pacific Daylight Time","0.233508700","0.001312500","172.17.0.2","142.250.72.162","17","75","eth:ethertype:ip:udp:data","33",
"18","May 27, 2022 18:48:58.237720800 Pacific Daylight Time","0.235255000","0.001746300","142.250.72.162","172.17.0.2","17","159","eth:ethertype:ip:udp:data","117",
"19","May 27, 2022 18:48:58.237722300 Pacific Daylight Time","0.235256500","0.000001500","142.250.72.162","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"20","May 27, 2022 18:48:58.238020300 Pacific Daylight Time","0.235554500","0.000298000","172.17.0.2","142.250.72.162","17","77","eth:ethertype:ip:udp:data","35",
"21","May 27, 2022 18:48:58.239809200 Pacific Daylight Time","0.237343400","0.001788900","142.250.217.142","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"22","May 27, 2022 18:48:58.239811000 Pacific Daylight Time","0.237345200","0.000001800","142.250.217.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"23","May 27, 2022 18:48:58.240674400 Pacific Daylight Time","0.238208600","0.000863400","142.250.217.142","172.17.0.2","17","72","eth:ethertype:ip:udp:data","30",
"24","May 27, 2022 18:48:58.244323600 Pacific Daylight Time","0.241857800","0.003649200","142.250.68.118","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"25","May 27, 2022 18:48:58.244324700 Pacific Daylight Time","0.241858900","0.000001100","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 27, 2022 18:48:58.244325400 Pacific Daylight Time","0.241859600","0.000000700","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 27, 2022 18:48:58.244326000 Pacific Daylight Time","0.241860200","0.000000600","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 27, 2022 18:48:58.244326600 Pacific Daylight Time","0.241860800","0.000000600","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"29","May 27, 2022 18:48:58.244327300 Pacific Daylight Time","0.241861500","0.000000700","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 27, 2022 18:48:58.244327900 Pacific Daylight Time","0.241862100","0.000000600","142.250.68.118","172.17.0.2","17","205","eth:ethertype:ip:udp:data","163",
"31","May 27, 2022 18:48:58.244572700 Pacific Daylight Time","0.242106900","0.000244800","172.17.0.2","142.250.68.118","17","77","eth:ethertype:ip:udp:data","35",
"32","May 27, 2022 18:48:58.244647700 Pacific Daylight Time","0.242181900","0.000075000","172.17.0.2","142.250.68.118","17","75","eth:ethertype:ip:udp:data","33",
"33","May 27, 2022 18:48:58.244687000 Pacific Daylight Time","0.242221200","0.000039300","172.17.0.2","142.250.68.118","17","75","eth:ethertype:ip:udp:data","33",
"34","May 27, 2022 18:48:58.244746100 Pacific Daylight Time","0.242280300","0.000059100","172.17.0.2","142.250.68.118","17","75","eth:ethertype:ip:udp:data","33",
"35","May 27, 2022 18:48:58.251571400 Pacific Daylight Time","0.249105600","0.006825300","172.17.0.2","142.250.217.142","17","76","eth:ethertype:ip:udp:data","34",
"36","May 27, 2022 18:48:58.263790900 Pacific Daylight Time","0.261325100","0.012219500","172.17.0.2","142.250.72.162","17","75","eth:ethertype:ip:udp:data","33",
"37","May 27, 2022 18:48:58.274930300 Pacific Daylight Time","0.272464500","0.011139400","142.250.72.162","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"38","May 27, 2022 18:48:58.274931200 Pacific Daylight Time","0.272465400","0.000000900","142.250.217.142","172.17.0.2","17","266","eth:ethertype:ip:udp:data","224",
"39","May 27, 2022 18:48:58.274932300 Pacific Daylight Time","0.272466500","0.000001100","142.250.217.142","172.17.0.2","17","85","eth:ethertype:ip:udp:data","43",
"40","May 27, 2022 18:48:58.274933000 Pacific Daylight Time","0.272467200","0.000000700","142.250.217.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"41","May 27, 2022 18:48:58.274933600 Pacific Daylight Time","0.272467800","0.000000600","142.250.217.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"42","May 27, 2022 18:48:58.275041200 Pacific Daylight Time","0.272575400","0.000107600","172.17.0.2","142.250.72.162","17","75","eth:ethertype:ip:udp:data","33",
"43","May 27, 2022 18:48:58.275217300 Pacific Daylight Time","0.272751500","0.000176100","172.17.0.2","142.250.217.142","17","79","eth:ethertype:ip:udp:data","37",
"44","May 27, 2022 18:48:58.275376400 Pacific Daylight Time","0.272910600","0.000159100","172.17.0.2","142.250.217.142","17","79","eth:ethertype:ip:udp:data","37",
"45","May 27, 2022 18:48:58.279260600 Pacific Daylight Time","0.276794800","0.003884200","142.251.40.38","172.17.0.2","6","74","eth:ethertype:ip:tcp",,
"46","May 27, 2022 18:48:58.279333900 Pacific Daylight Time","0.276868100","0.000073300","172.17.0.2","142.251.40.38","6","66","eth:ethertype:ip:tcp",,
"47","May 27, 2022 18:48:58.279547700 Pacific Daylight Time","0.277081900","0.000213800","172.17.0.2","142.251.40.38","6","583","eth:ethertype:ip:tcp:tls",,
"48","May 27, 2022 18:48:58.287212700 Pacific Daylight Time","0.284746900","0.007665000","142.250.217.142","172.17.0.2","17","121","eth:ethertype:ip:udp:data","79",
"49","May 27, 2022 18:48:58.287213800 Pacific Daylight Time","0.284748000","0.000001100","142.250.217.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"50","May 27, 2022 18:48:58.287272800 Pacific Daylight Time","0.284807000","0.000059000","172.17.0.2","142.250.217.142","17","76","eth:ethertype:ip:udp:data","34",
"51","May 27, 2022 18:48:58.287514800 Pacific Daylight Time","0.285049000","0.000242000","172.17.0.2","142.250.217.142","17","79","eth:ethertype:ip:udp:data","37",
"52","May 27, 2022 18:48:58.295203200 Pacific Daylight Time","0.292737400","0.007688400","172.17.0.2","142.250.72.162","17","75","eth:ethertype:ip:udp:data","33",
"53","May 27, 2022 18:48:58.299741300 Pacific Daylight Time","0.297275500","0.004538100","172.17.0.2","142.250.217.142","17","76","eth:ethertype:ip:udp:data","34",
"54","May 27, 2022 18:48:58.304697900 Pacific Daylight Time","0.302232100","0.004956600","142.250.72.162","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"55","May 27, 2022 18:48:58.306095200 Pacific Daylight Time","0.303629400","0.001397300","172.20.176.1","172.17.0.2","17","126","eth:ethertype:ip:udp:dns",,
"56","May 27, 2022 18:48:58.306610500 Pacific Daylight Time","0.304144700","0.000515300","172.17.0.2","142.250.189.2","6","826","eth:ethertype:ip:tcp:tls",,
"57","May 27, 2022 18:48:58.306654300 Pacific Daylight Time","0.304188500","0.000043800","172.17.0.2","142.250.189.2","6","740","eth:ethertype:ip:tcp:tls",,
"58","May 27, 2022 18:48:58.310922300 Pacific Daylight Time","0.308456500","0.004268000","142.250.72.162","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"59","May 27, 2022 18:48:58.311076000 Pacific Daylight Time","0.308610200","0.000153700","172.17.0.2","142.250.72.162","17","77","eth:ethertype:ip:udp:data","35",
"60","May 27, 2022 18:48:58.320482100 Pacific Daylight Time","0.318016300","0.009406100","142.250.72.162","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"61","May 27, 2022 18:48:58.320503500 Pacific Daylight Time","0.318037700","0.000021400","142.251.40.38","172.17.0.2","6","66","eth:ethertype:ip:tcp",,
"62","May 27, 2022 18:48:58.320505000 Pacific Daylight Time","0.318039200","0.000001500","142.251.40.38","172.17.0.2","6","2902","eth:ethertype:ip:tcp:tls",,
"63","May 27, 2022 18:48:58.320536400 Pacific Daylight Time","0.318070600","0.000031400","172.17.0.2","142.251.40.38","6","66","eth:ethertype:ip:tcp",,
"64","May 27, 2022 18:48:58.320505700 Pacific Daylight Time","0.318039900","-0.000030700","142.251.40.38","172.17.0.2","6","1910","eth:ethertype:ip:tcp:tls",,
"65","May 27, 2022 18:48:58.320540300 Pacific Daylight Time","0.318074500","0.000034600","172.17.0.2","142.251.40.38","6","66","eth:ethertype:ip:tcp",,
"66","May 27, 2022 18:48:58.321189100 Pacific Daylight Time","0.318723300","0.000648800","142.250.68.118","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"67","May 27, 2022 18:48:58.323745100 Pacific Daylight Time","0.321279300","0.002556000","172.17.0.2","142.251.40.38","6","140","eth:ethertype:ip:tcp:tls",,
"68","May 27, 2022 18:48:58.323920900 Pacific Daylight Time","0.321455100","0.000175800","172.17.0.2","142.251.40.38","6","158","eth:ethertype:ip:tcp:tls",,
"69","May 27, 2022 18:48:58.324049100 Pacific Daylight Time","0.321583300","0.000128200","172.17.0.2","142.251.40.38","6","682","eth:ethertype:ip:tcp:tls",,
"70","May 27, 2022 18:48:58.328893800 Pacific Daylight Time","0.326428000","0.004844700","142.250.68.118","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"71","May 27, 2022 18:48:58.328895300 Pacific Daylight Time","0.326429500","0.000001500","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"72","May 27, 2022 18:48:58.328895900 Pacific Daylight Time","0.326430100","0.000000600","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"73","May 27, 2022 18:48:58.328896500 Pacific Daylight Time","0.326430700","0.000000600","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"74","May 27, 2022 18:48:58.328897200 Pacific Daylight Time","0.326431400","0.000000700","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"75","May 27, 2022 18:48:58.329051700 Pacific Daylight Time","0.326585900","0.000154500","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"76","May 27, 2022 18:48:58.329052600 Pacific Daylight Time","0.326586800","0.000000900","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"77","May 27, 2022 18:48:58.329053300 Pacific Daylight Time","0.326587500","0.000000700","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"78","May 27, 2022 18:48:58.329053900 Pacific Daylight Time","0.326588100","0.000000600","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"79","May 27, 2022 18:48:58.329054600 Pacific Daylight Time","0.326588800","0.000000700","142.250.68.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"80","May 27, 2022 18:48:58.329055200 Pacific Daylight Time","0.326589400","0.000000600","142.250.68.118","172.17.0.2","17","1083","eth:ethertype:ip:udp:data","1041",
"81","May 27, 2022 18:48:58.329088700 Pacific Daylight Time","0.326622900","0.000033500","142.250.68.118","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"82","May 27, 2022 18:48:58.329193500 Pacific Daylight Time","0.326727700","0.000104800","172.17.0.2","142.250.68.118","17","78","eth:ethertype:ip:udp:data","36",
"83","May 27, 2022 18:48:58.329267100 Pacific Daylight Time","0.326801300","0.000073600","172.17.0.2","142.250.68.118","17","75","eth:ethertype:ip:udp:data","33",
"84","May 27, 2022 18:48:58.329305600 Pacific Daylight Time","0.326839800","0.000038500","172.17.0.2","142.250.68.118","17","75","eth:ethertype:ip:udp:data","33",
"85","May 27, 2022 18:48:58.329343100 Pacific Daylight Time","0.326877300","0.000037500","172.17.0.2","142.250.68.118","17","75","eth:ethertype:ip:udp:data","33",
"86","May 27, 2022 18:48:58.329378700 Pacific Daylight Time","0.326912900","0.000035600","172.17.0.2","142.250.68.118","17","75","eth:ethertype:ip:udp:data","33",
"87","May 27, 2022 18:48:58.329414100 Pacific Daylight Time","0.326948300","0.000035400","172.17.0.2","142.250.68.118","17","75","eth:ethertype:ip:udp:data","33",
"88","May 27, 2022 18:48:58.344607400 Pacific Daylight Time","0.342141600","0.015193300","142.251.40.38","172.17.0.2","6","66","eth:ethertype:ip:tcp",,
"89","May 27, 2022 18:48:58.344609300 Pacific Daylight Time","0.342143500","0.000001900","142.251.40.38","172.17.0.2","6","982","eth:ethertype:ip:tcp:tls",,
"90","May 27, 2022 18:48:58.344637300 Pacific Daylight Time","0.342171500","0.000028000","172.17.0.2","142.251.40.38","6","66","eth:ethertype:ip:tcp",,
"91","May 27, 2022 18:48:58.344748900 Pacific Daylight Time","0.342283100","0.000111600","142.251.40.38","172.17.0.2","6","97","eth:ethertype:ip:tcp:tls",,
"92","May 27, 2022 18:48:58.344754800 Pacific Daylight Time","0.342289000","0.000005900","172.17.0.2","142.251.40.38","6","66","eth:ethertype:ip:tcp",,
"93","May 27, 2022 18:48:58.344810000 Pacific Daylight Time","0.342344200","0.000055200","142.250.189.2","172.17.0.2","6","66","eth:ethertype:ip:tcp",,
"94","May 27, 2022 18:48:58.344949200 Pacific Daylight Time","0.342483400","0.000139200","172.17.0.2","142.251.40.38","6","97","eth:ethertype:ip:tcp:tls",,
"95","May 27, 2022 18:48:58.355468400 Pacific Daylight Time","0.353002600","0.010519200","172.17.0.2","142.250.68.118","17","75","eth:ethertype:ip:udp:data","33",
"96","May 27, 2022 18:48:58.356006300 Pacific Daylight Time","0.353540500","0.000537900","142.250.217.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"97","May 27, 2022 18:48:58.376253400 Pacific Daylight Time","0.373787600","0.020247100","142.251.40.38","172.17.0.2","6","933","eth:ethertype:ip:tcp:tls",,
"98","May 27, 2022 18:48:58.376267700 Pacific Daylight Time","0.373801900","0.000014300","172.17.0.2","142.251.40.38","6","66","eth:ethertype:ip:tcp",,
"99","May 27, 2022 18:48:58.377050900 Pacific Daylight Time","0.374585100","0.000783200","172.17.0.2","142.251.40.38","6","101","eth:ethertype:ip:tcp:tls",,
"100","May 27, 2022 18:48:58.377953500 Pacific Daylight Time","0.375487700","0.000902600","142.250.189.2","172.17.0.2","6","254","eth:ethertype:ip:tcp:tls",,
"101","May 27, 2022 18:48:58.377955800 Pacific Daylight Time","0.375490000","0.000002300","142.250.189.2","172.17.0.2","6","139","eth:ethertype:ip:tcp:tls",,
"102","May 27, 2022 18:48:58.377980200 Pacific Daylight Time","0.375514400","0.000024400","142.250.189.2","172.17.0.2","6","97","eth:ethertype:ip:tcp:tls",,
"103","May 27, 2022 18:48:58.377981600 Pacific Daylight Time","0.375515800","0.000001400","142.250.189.2","172.17.0.2","6","105","eth:ethertype:ip:tcp:tls",,
