frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 20:12:35.540090700 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","74.125.157.137","6","66","eth:ethertype:ip:tcp",,
"2","May 25, 2022 20:12:35.860205800 Pacific Daylight Time","0.320115100","0.320115100","172.17.0.2","74.125.157.137","6","66","eth:ethertype:ip:tcp",,
"3","May 25, 2022 20:12:36.884778100 Pacific Daylight Time","1.344687400","1.024572300","172.17.0.2","142.250.72.131","17","144","eth:ethertype:ip:udp:data","102",
"4","May 25, 2022 20:12:36.910214800 Pacific Daylight Time","1.370124100","0.025436700","172.17.0.2","142.250.68.22","17","119","eth:ethertype:ip:udp:data","77",
"5","May 25, 2022 20:12:36.911495800 Pacific Daylight Time","1.371405100","0.001281000","172.17.0.2","142.250.72.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls",,"quic"
"6","May 25, 2022 20:12:36.912365300 Pacific Daylight Time","1.372274600","0.000869500","172.17.0.2","142.250.176.14","17","1190","eth:ethertype:ip:udp:data","1148",
"7","May 25, 2022 20:12:36.912616500 Pacific Daylight Time","1.372525800","0.000251200","172.17.0.2","142.250.176.14","17","482","eth:ethertype:ip:udp:data","440",
"8","May 25, 2022 20:12:36.912852400 Pacific Daylight Time","1.372761700","0.000235900","172.17.0.2","142.250.176.14","17","813","eth:ethertype:ip:udp:data","771",
"9","May 25, 2022 20:12:36.923341900 Pacific Daylight Time","1.383251200","0.010489500","172.17.0.2","142.250.68.22","17","206","eth:ethertype:ip:udp:data","164",
"10","May 25, 2022 20:12:36.935825400 Pacific Daylight Time","1.395734700","0.012483500","142.250.176.14","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"11","May 25, 2022 20:12:36.935826500 Pacific Daylight Time","1.395735800","0.000001100","142.250.176.14","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"12","May 25, 2022 20:12:36.936983600 Pacific Daylight Time","1.396892900","0.001157100","172.17.0.2","142.250.176.14","17","1051","eth:ethertype:ip:udp:data","1009",
