frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 22:36:00.973181800 PDT","0.000000000","0.000000000","172.17.0.2","173.194.167.138","6","66","eth:ethertype:ip:tcp",
"2","May 24, 2022 22:36:00.973188500 PDT","0.000006700","0.000006700","172.17.0.2","173.194.167.138","6","66","eth:ethertype:ip:tcp",
"3","May 24, 2022 22:36:00.973190100 PDT","0.000008300","0.000001600","172.17.0.2","173.194.8.38","6","66","eth:ethertype:ip:tcp",
"4","May 24, 2022 22:36:01.549132500 PDT","0.575950700","0.575942400","172.17.0.2","142.250.68.54","17","478","eth:ethertype:ip:udp:data","436"
"5","May 24, 2022 22:36:01.695500500 PDT","0.722318700","0.146368000","142.250.68.54","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"6","May 24, 2022 22:36:01.696054600 PDT","0.722872800","0.000554100","142.250.68.54","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"7","May 24, 2022 22:36:01.696055500 PDT","0.722873700","0.000000900","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"8","May 24, 2022 22:36:01.696056100 PDT","0.722874300","0.000000600","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"9","May 24, 2022 22:36:01.696056700 PDT","0.722874900","0.000000600","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"10","May 24, 2022 22:36:01.696057300 PDT","0.722875500","0.000000600","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"11","May 24, 2022 22:36:01.696058000 PDT","0.722876200","0.000000700","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"12","May 24, 2022 22:36:01.696058600 PDT","0.722876800","0.000000600","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"13","May 24, 2022 22:36:01.696059200 PDT","0.722877400","0.000000600","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"14","May 24, 2022 22:36:01.696064300 PDT","0.722882500","0.000005100","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"15","May 24, 2022 22:36:01.696065000 PDT","0.722883200","0.000000700","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"16","May 24, 2022 22:36:01.696154100 PDT","0.722972300","0.000089100","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"17","May 24, 2022 22:36:01.696158000 PDT","0.722976200","0.000003900","142.250.68.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"18","May 24, 2022 22:36:01.696185300 PDT","0.723003500","0.000027300","142.250.68.54","172.17.0.2","17","1127","eth:ethertype:ip:udp:data","1085"
"19","May 24, 2022 22:36:01.696277900 PDT","0.723096100","0.000092600","172.17.0.2","142.250.68.54","17","77","eth:ethertype:ip:udp:data","35"
"20","May 24, 2022 22:36:01.696333700 PDT","0.723151900","0.000055800","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33"
"21","May 24, 2022 22:36:01.696367400 PDT","0.723185600","0.000033700","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33"
"22","May 24, 2022 22:36:01.696399500 PDT","0.723217700","0.000032100","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33"
"23","May 24, 2022 22:36:01.696437900 PDT","0.723256100","0.000038400","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33"
"24","May 24, 2022 22:36:01.696470700 PDT","0.723288900","0.000032800","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33"
"25","May 24, 2022 22:36:01.696504400 PDT","0.723322600","0.000033700","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33"
"26","May 24, 2022 22:36:01.724596300 PDT","0.751414500","0.028091900","142.250.68.54","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"27","May 24, 2022 22:36:01.724780200 PDT","0.751598400","0.000183900","172.17.0.2","142.250.68.54","17","75","eth:ethertype:ip:udp:data","33"
"28","May 24, 2022 22:36:01.752246200 PDT","0.779064400","0.027466000","142.250.68.54","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"29","May 24, 2022 22:36:01.896554500 PDT","0.923372700","0.144308300","172.17.0.2","142.250.68.110","17","769","eth:ethertype:ip:udp:data","727"
