frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 26, 2022 00:12:35.730053900 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","74.125.157.135","17","83","eth:ethertype:ip:udp:data","41",
"2","May 26, 2022 00:12:35.735628600 Pacific Daylight Time","0.005574700","0.005574700","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"3","May 26, 2022 00:12:35.740688900 Pacific Daylight Time","0.010635000","0.005060300","172.17.0.2","74.125.157.135","17","84","eth:ethertype:ip:udp:data","42",
"4","May 26, 2022 00:12:35.746627700 Pacific Daylight Time","0.016573800","0.005938800","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"5","May 26, 2022 00:12:35.746883200 Pacific Daylight Time","0.016829300","0.000255500","74.125.157.135","172.17.0.2","17","74","eth:ethertype:ip:udp:data","32",
"6","May 26, 2022 00:12:35.750571500 Pacific Daylight Time","0.020517600","0.003688300","172.17.0.2","74.125.157.135","17","1026","eth:ethertype:ip:udp:data","984",
"7","May 26, 2022 00:12:35.766160200 Pacific Daylight Time","0.036106300","0.015588700","74.125.157.135","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"8","May 26, 2022 00:12:35.767057500 Pacific Daylight Time","0.037003600","0.000897300","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 26, 2022 00:12:35.767058600 Pacific Daylight Time","0.037004700","0.000001100","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 26, 2022 00:12:35.767059200 Pacific Daylight Time","0.037005300","0.000000600","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 26, 2022 00:12:35.767059800 Pacific Daylight Time","0.037005900","0.000000600","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 26, 2022 00:12:35.767060400 Pacific Daylight Time","0.037006500","0.000000600","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 26, 2022 00:12:35.767061000 Pacific Daylight Time","0.037007100","0.000000600","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 26, 2022 00:12:35.767344200 Pacific Daylight Time","0.037290300","0.000283200","172.17.0.2","74.125.157.135","17","78","eth:ethertype:ip:udp:data","36",
"15","May 26, 2022 00:12:35.771629700 Pacific Daylight Time","0.041575800","0.004285500","172.17.0.2","74.125.157.135","17","75","eth:ethertype:ip:udp:data","33",
"16","May 26, 2022 00:12:35.786282800 Pacific Daylight Time","0.056228900","0.014653100","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 26, 2022 00:12:35.786284100 Pacific Daylight Time","0.056230200","0.000001300","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 26, 2022 00:12:35.786284800 Pacific Daylight Time","0.056230900","0.000000700","74.125.157.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
