frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 23:00:53.378946500 PDT","0.000000000","0.000000000","172.17.0.2","172.217.14.99","17","144","eth:ethertype:ip:udp:data","102"
"2","May 24, 2022 23:00:53.404095000 PDT","0.025148500","0.025148500","172.17.0.2","142.250.217.150","17","119","eth:ethertype:ip:udp:data","77"
"3","May 24, 2022 23:00:53.405459800 PDT","0.026513300","0.001364800","172.17.0.2","142.251.40.33","17","1292","eth:ethertype:ip:udp:data","1250"
"4","May 24, 2022 23:00:53.406012000 PDT","0.027065500","0.000552200","172.17.0.2","142.250.72.238","17","1032","eth:ethertype:ip:udp:data","990"
"5","May 24, 2022 23:00:53.406206500 PDT","0.027260000","0.000194500","172.17.0.2","142.250.72.238","17","488","eth:ethertype:ip:udp:data","446"
"6","May 24, 2022 23:00:53.406354200 PDT","0.027407700","0.000147700","172.17.0.2","142.250.72.238","17","818","eth:ethertype:ip:udp:data","776"
"7","May 24, 2022 23:00:53.428675700 PDT","0.049729200","0.022321500","172.217.14.99","172.17.0.2","17","187","eth:ethertype:ip:udp:data","145"
"8","May 24, 2022 23:00:53.429424400 PDT","0.050477900","0.000748700","172.17.0.2","142.250.72.238","17","1037","eth:ethertype:ip:udp:data","995"
"9","May 24, 2022 23:00:53.429568700 PDT","0.050622200","0.000144300","172.17.0.2","172.217.14.99","17","77","eth:ethertype:ip:udp:data","35"
"10","May 24, 2022 23:00:53.429715300 PDT","0.050768800","0.000146600","172.217.14.99","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"11","May 24, 2022 23:00:53.429863400 PDT","0.050916900","0.000148100","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"12","May 24, 2022 23:00:53.429864400 PDT","0.050917900","0.000001000","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"13","May 24, 2022 23:00:53.429869600 PDT","0.050923100","0.000005200","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"14","May 24, 2022 23:00:53.429967400 PDT","0.051020900","0.000097800","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"15","May 24, 2022 23:00:53.430011800 PDT","0.051065300","0.000044400","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"16","May 24, 2022 23:00:53.430012700 PDT","0.051066200","0.000000900","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"17","May 24, 2022 23:00:53.430013300 PDT","0.051066800","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"18","May 24, 2022 23:00:53.430021200 PDT","0.051074700","0.000007900","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"19","May 24, 2022 23:00:53.430084500 PDT","0.051138000","0.000063300","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"20","May 24, 2022 23:00:53.430085900 PDT","0.051139400","0.000001400","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"21","May 24, 2022 23:00:53.430087200 PDT","0.051140700","0.000001300","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"22","May 24, 2022 23:00:53.430142100 PDT","0.051195600","0.000054900","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"23","May 24, 2022 23:00:53.430157200 PDT","0.051210700","0.000015100","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"24","May 24, 2022 23:00:53.430212400 PDT","0.051265900","0.000055200","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"25","May 24, 2022 23:00:53.430220700 PDT","0.051274200","0.000008300","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"26","May 24, 2022 23:00:53.430221700 PDT","0.051275200","0.000001000","172.217.14.99","172.17.0.2","17","1194","eth:ethertype:ip:udp:data","1152"
"27","May 24, 2022 23:00:53.430277400 PDT","0.051330900","0.000055700","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"28","May 24, 2022 23:00:53.430349100 PDT","0.051402600","0.000071700","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"29","May 24, 2022 23:00:53.431588300 PDT","0.052641800","0.001239200","172.17.0.2","142.250.217.150","17","207","eth:ethertype:ip:udp:data","165"
"30","May 24, 2022 23:00:53.448456200 PDT","0.069509700","0.016867900","142.250.72.238","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29"
