frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 26, 2022 00:03:11.438112500 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","142.250.189.3","17","144","eth:ethertype:ip:udp:data","102",
"2","May 26, 2022 00:03:11.462682000 Pacific Daylight Time","0.024569500","0.024569500","172.17.0.2","142.250.176.22","17","119","eth:ethertype:ip:udp:data","77",
"3","May 26, 2022 00:03:11.464142700 Pacific Daylight Time","0.026030200","0.001460700","172.17.0.2","142.250.72.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls",,"quic"
"4","May 26, 2022 00:03:11.464744900 Pacific Daylight Time","0.026632400","0.000602200","172.17.0.2","172.217.14.78","17","1206","eth:ethertype:ip:udp:data","1164",
"5","May 26, 2022 00:03:11.464999700 Pacific Daylight Time","0.026887200","0.000254800","172.17.0.2","172.217.14.78","17","474","eth:ethertype:ip:udp:data","432",
"6","May 26, 2022 00:03:11.465180100 Pacific Daylight Time","0.027067600","0.000180400","172.17.0.2","172.217.14.78","17","811","eth:ethertype:ip:udp:data","769",
"7","May 26, 2022 00:03:11.475388100 Pacific Daylight Time","0.037275600","0.010208000","172.17.0.2","142.250.176.22","17","207","eth:ethertype:ip:udp:data","165",
"8","May 26, 2022 00:03:11.485788800 Pacific Daylight Time","0.047676300","0.010400700","142.250.189.3","172.17.0.2","17","187","eth:ethertype:ip:udp:data","145",
"9","May 26, 2022 00:03:11.486041600 Pacific Daylight Time","0.047929100","0.000252800","172.17.0.2","142.250.189.3","17","77","eth:ethertype:ip:udp:data","35",
"10","May 26, 2022 00:03:11.486752600 Pacific Daylight Time","0.048640100","0.000711000","142.250.189.3","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"11","May 26, 2022 00:03:11.486753700 Pacific Daylight Time","0.048641200","0.000001100","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 26, 2022 00:03:11.486754400 Pacific Daylight Time","0.048641900","0.000000700","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 26, 2022 00:03:11.486755000 Pacific Daylight Time","0.048642500","0.000000600","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 26, 2022 00:03:11.486755700 Pacific Daylight Time","0.048643200","0.000000700","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 26, 2022 00:03:11.486770900 Pacific Daylight Time","0.048658400","0.000015200","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 26, 2022 00:03:11.486771600 Pacific Daylight Time","0.048659100","0.000000700","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 26, 2022 00:03:11.487061800 Pacific Daylight Time","0.048949300","0.000290200","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"18","May 26, 2022 00:03:11.487117000 Pacific Daylight Time","0.049004500","0.000055200","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"19","May 26, 2022 00:03:11.487261300 Pacific Daylight Time","0.049148800","0.000144300","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"20","May 26, 2022 00:03:11.489397000 Pacific Daylight Time","0.051284500","0.002135700","172.17.0.2","172.217.14.78","17","1069","eth:ethertype:ip:udp:data","1027",
"21","May 26, 2022 00:03:11.506315200 Pacific Daylight Time","0.068202700","0.016918200","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 26, 2022 00:03:11.506393600 Pacific Daylight Time","0.068281100","0.000078400","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 26, 2022 00:03:11.506395000 Pacific Daylight Time","0.068282500","0.000001400","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 26, 2022 00:03:11.506430700 Pacific Daylight Time","0.068318200","0.000035700","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 26, 2022 00:03:11.506512600 Pacific Daylight Time","0.068400100","0.000081900","142.250.189.3","172.17.0.2","17","1194","eth:ethertype:ip:udp:data","1152",
"26","May 26, 2022 00:03:11.506513500 Pacific Daylight Time","0.068401000","0.000000900","172.217.14.78","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"27","May 26, 2022 00:03:11.506514200 Pacific Daylight Time","0.068401700","0.000000700","172.217.14.78","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"28","May 26, 2022 00:03:11.506586300 Pacific Daylight Time","0.068473800","0.000072100","172.217.14.78","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"29","May 26, 2022 00:03:11.506587200 Pacific Daylight Time","0.068474700","0.000000900","172.217.14.78","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"30","May 26, 2022 00:03:11.506661700 Pacific Daylight Time","0.068549200","0.000074500","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"31","May 26, 2022 00:03:11.506731700 Pacific Daylight Time","0.068619200","0.000070000","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"32","May 26, 2022 00:03:11.506771400 Pacific Daylight Time","0.068658900","0.000039700","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"33","May 26, 2022 00:03:11.506807700 Pacific Daylight Time","0.068695200","0.000036300","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"34","May 26, 2022 00:03:11.507182900 Pacific Daylight Time","0.069070400","0.000375200","142.250.176.22","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"35","May 26, 2022 00:03:11.514668300 Pacific Daylight Time","0.076555800","0.007485400","172.17.0.2","172.217.14.78","17","76","eth:ethertype:ip:udp:data","34",
"36","May 26, 2022 00:03:11.516698500 Pacific Daylight Time","0.078586000","0.002030200","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic:tls",,"quic"
"37","May 26, 2022 00:03:11.518180900 Pacific Daylight Time","0.080068400","0.001482400","172.17.0.2","142.250.72.129","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"38","May 26, 2022 00:03:11.522651500 Pacific Daylight Time","0.084539000","0.004470600","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"39","May 26, 2022 00:03:11.522652500 Pacific Daylight Time","0.084540000","0.000001000","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"40","May 26, 2022 00:03:11.522900000 Pacific Daylight Time","0.084787500","0.000247500","172.17.0.2","142.250.72.129","17","83","eth:ethertype:ip:udp:quic",,"quic"
"41","May 26, 2022 00:03:11.525645100 Pacific Daylight Time","0.087532600","0.002745100","172.217.14.78","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"42","May 26, 2022 00:03:11.525650400 Pacific Daylight Time","0.087537900","0.000005300","142.250.176.22","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"43","May 26, 2022 00:03:11.525894300 Pacific Daylight Time","0.087781800","0.000243900","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"44","May 26, 2022 00:03:11.526369000 Pacific Daylight Time","0.088256500","0.000474700","142.250.176.22","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"45","May 26, 2022 00:03:11.526684800 Pacific Daylight Time","0.088572300","0.000315800","172.17.0.2","142.250.176.22","17","77","eth:ethertype:ip:udp:data","35",
"46","May 26, 2022 00:03:11.526687500 Pacific Daylight Time","0.088575000","0.000002700","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"47","May 26, 2022 00:03:11.526688500 Pacific Daylight Time","0.088576000","0.000001000","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"48","May 26, 2022 00:03:11.526689200 Pacific Daylight Time","0.088576700","0.000000700","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"49","May 26, 2022 00:03:11.526689900 Pacific Daylight Time","0.088577400","0.000000700","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"50","May 26, 2022 00:03:11.526690500 Pacific Daylight Time","0.088578000","0.000000600","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"51","May 26, 2022 00:03:11.526691100 Pacific Daylight Time","0.088578600","0.000000600","142.250.176.22","172.17.0.2","17","1024","eth:ethertype:ip:udp:data","982",
"52","May 26, 2022 00:03:11.526771500 Pacific Daylight Time","0.088659000","0.000080400","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"53","May 26, 2022 00:03:11.526811500 Pacific Daylight Time","0.088699000","0.000040000","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"54","May 26, 2022 00:03:11.526859000 Pacific Daylight Time","0.088746500","0.000047500","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"55","May 26, 2022 00:03:11.527610700 Pacific Daylight Time","0.089498200","0.000751700","172.217.14.78","172.17.0.2","17","263","eth:ethertype:ip:udp:data","221",
"56","May 26, 2022 00:03:11.528045300 Pacific Daylight Time","0.089932800","0.000434600","172.17.0.2","172.217.14.78","17","79","eth:ethertype:ip:udp:data","37",
"57","May 26, 2022 00:03:11.528281400 Pacific Daylight Time","0.090168900","0.000236100","172.217.14.78","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"58","May 26, 2022 00:03:11.529359500 Pacific Daylight Time","0.091247000","0.001078100","172.217.14.78","172.17.0.2","17","83","eth:ethertype:ip:udp:data","41",
"59","May 26, 2022 00:03:11.529361100 Pacific Daylight Time","0.091248600","0.000001600","172.217.14.78","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"60","May 26, 2022 00:03:11.529523800 Pacific Daylight Time","0.091411300","0.000162700","172.17.0.2","172.217.14.78","17","79","eth:ethertype:ip:udp:data","37",
"61","May 26, 2022 00:03:11.532177300 Pacific Daylight Time","0.094064800","0.002653500","172.17.0.2","142.250.189.3","17","76","eth:ethertype:ip:udp:data","34",
"62","May 26, 2022 00:03:11.537646600 Pacific Daylight Time","0.099534100","0.005469300","172.17.0.2","172.217.14.78","17","76","eth:ethertype:ip:udp:data","34",
"63","May 26, 2022 00:03:11.552141700 Pacific Daylight Time","0.114029200","0.014495100","142.250.189.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"64","May 26, 2022 00:03:11.552142800 Pacific Daylight Time","0.114030300","0.000001100","142.250.189.3","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"65","May 26, 2022 00:03:11.552143500 Pacific Daylight Time","0.114031000","0.000000700","172.217.14.78","172.17.0.2","17","120","eth:ethertype:ip:udp:data","78",
"66","May 26, 2022 00:03:11.552376500 Pacific Daylight Time","0.114264000","0.000233000","172.17.0.2","142.250.189.3","17","75","eth:ethertype:ip:udp:data","33",
"67","May 26, 2022 00:03:11.552472300 Pacific Daylight Time","0.114359800","0.000095800","172.17.0.2","172.217.14.78","17","79","eth:ethertype:ip:udp:data","37",
"68","May 26, 2022 00:03:11.552630800 Pacific Daylight Time","0.114518300","0.000158500","172.217.14.78","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"69","May 26, 2022 00:03:11.553277100 Pacific Daylight Time","0.115164600","0.000646300","172.217.14.78","172.17.0.2","17","131","eth:ethertype:ip:udp:data","89",
"70","May 26, 2022 00:03:11.553817800 Pacific Daylight Time","0.115705300","0.000540700","172.217.14.78","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"71","May 26, 2022 00:03:11.554199700 Pacific Daylight Time","0.116087200","0.000381900","172.17.0.2","172.217.14.78","17","79","eth:ethertype:ip:udp:data","37",
"72","May 26, 2022 00:03:11.562532000 Pacific Daylight Time","0.124419500","0.008332300","172.17.0.2","172.217.14.78","17","76","eth:ethertype:ip:udp:data","34",
"73","May 26, 2022 00:03:11.566658600 Pacific Daylight Time","0.128546100","0.004126600","142.250.72.129","172.17.0.2","17","1292","eth:ethertype:ip:udp:quic",,"quic"
"74","May 26, 2022 00:03:11.566659700 Pacific Daylight Time","0.128547200","0.000001100","142.250.72.129","172.17.0.2","17","644","eth:ethertype:ip:udp:quic",,"quic"
"75","May 26, 2022 00:03:11.567387100 Pacific Daylight Time","0.129274600","0.000727400","172.17.0.2","142.250.72.129","17","206","eth:ethertype:ip:udp:quic",,"quic"
"76","May 26, 2022 00:03:11.567528600 Pacific Daylight Time","0.129416100","0.000141500","172.17.0.2","142.250.72.129","17","441","eth:ethertype:ip:udp:quic",,"quic"
"77","May 26, 2022 00:03:11.567610800 Pacific Daylight Time","0.129498300","0.000082200","172.17.0.2","142.250.72.129","17","199","eth:ethertype:ip:udp:quic",,"quic"
"78","May 26, 2022 00:03:11.575764500 Pacific Daylight Time","0.137652000","0.008153700","172.217.14.78","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"79","May 26, 2022 00:03:11.591475400 Pacific Daylight Time","0.153362900","0.015710900","172.217.14.78","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"80","May 26, 2022 00:03:11.592518400 Pacific Daylight Time","0.154405900","0.001043000","142.250.176.22","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"81","May 26, 2022 00:03:11.592694000 Pacific Daylight Time","0.154581500","0.000175600","172.17.0.2","142.250.176.22","17","77","eth:ethertype:ip:udp:data","35",
"82","May 26, 2022 00:03:11.593228600 Pacific Daylight Time","0.155116100","0.000534600","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"83","May 26, 2022 00:03:11.593230700 Pacific Daylight Time","0.155118200","0.000002100","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"84","May 26, 2022 00:03:11.593231900 Pacific Daylight Time","0.155119400","0.000001200","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"85","May 26, 2022 00:03:11.593232900 Pacific Daylight Time","0.155120400","0.000001000","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"86","May 26, 2022 00:03:11.593234000 Pacific Daylight Time","0.155121500","0.000001100","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"87","May 26, 2022 00:03:11.593235100 Pacific Daylight Time","0.155122600","0.000001100","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"88","May 26, 2022 00:03:11.593236300 Pacific Daylight Time","0.155123800","0.000001200","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"89","May 26, 2022 00:03:11.593260400 Pacific Daylight Time","0.155147900","0.000024100","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"90","May 26, 2022 00:03:11.593261600 Pacific Daylight Time","0.155149100","0.000001200","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"91","May 26, 2022 00:03:11.593262500 Pacific Daylight Time","0.155150000","0.000000900","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"92","May 26, 2022 00:03:11.593317400 Pacific Daylight Time","0.155204900","0.000054900","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"93","May 26, 2022 00:03:11.593818000 Pacific Daylight Time","0.155705500","0.000500600","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"94","May 26, 2022 00:03:11.593897500 Pacific Daylight Time","0.155785000","0.000079500","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"95","May 26, 2022 00:03:11.593940800 Pacific Daylight Time","0.155828300","0.000043300","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
