frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 23:27:10.098973700 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","172.217.14.86","17","206","eth:ethertype:ip:udp:data","164",
"2","May 25, 2022 23:27:10.150293900 Pacific Daylight Time","0.051320200","0.051320200","172.217.14.86","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"3","May 25, 2022 23:27:10.162774200 Pacific Daylight Time","0.063800500","0.012480300","172.17.0.2","172.217.14.86","17","75","eth:ethertype:ip:udp:data","33",
"4","May 25, 2022 23:27:10.314907900 Pacific Daylight Time","0.215934200","0.152133700","172.217.14.86","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"5","May 25, 2022 23:27:10.314909000 Pacific Daylight Time","0.215935300","0.000001100","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 25, 2022 23:27:10.314909600 Pacific Daylight Time","0.215935900","0.000000600","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 25, 2022 23:27:10.314910200 Pacific Daylight Time","0.215936500","0.000000600","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 25, 2022 23:27:10.315183200 Pacific Daylight Time","0.216209500","0.000273000","172.17.0.2","172.217.14.86","17","78","eth:ethertype:ip:udp:data","36",
"9","May 25, 2022 23:27:10.325776800 Pacific Daylight Time","0.226803100","0.010593600","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 25, 2022 23:27:10.325778000 Pacific Daylight Time","0.226804300","0.000001200","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 25, 2022 23:27:10.325778700 Pacific Daylight Time","0.226805000","0.000000700","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 25, 2022 23:27:10.325779300 Pacific Daylight Time","0.226805600","0.000000600","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 25, 2022 23:27:10.325780000 Pacific Daylight Time","0.226806300","0.000000700","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
