frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 26, 2022 00:19:04.029791200 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.8.136","6","66","eth:ethertype:ip:tcp",,
"2","May 26, 2022 00:19:05.064752300 Pacific Daylight Time","1.034961100","1.034961100","172.17.0.2","142.250.217.150","17","206","eth:ethertype:ip:udp:data","164",
"3","May 26, 2022 00:19:05.115330500 Pacific Daylight Time","1.085539300","0.050578200","142.250.217.150","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"4","May 26, 2022 00:19:05.140958400 Pacific Daylight Time","1.111167200","0.025627900","172.17.0.2","142.250.217.150","17","75","eth:ethertype:ip:udp:data","33",
"5","May 26, 2022 00:19:05.149286800 Pacific Daylight Time","1.119495600","0.008328400","142.250.217.150","172.17.0.2","6","74","eth:ethertype:ip:tcp",,
"6","May 26, 2022 00:19:05.149298100 Pacific Daylight Time","1.119506900","0.000011300","172.17.0.2","142.250.217.150","6","54","eth:ethertype:ip:tcp",,
"7","May 26, 2022 00:19:05.154416000 Pacific Daylight Time","1.124624800","0.005117900","142.250.217.150","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"8","May 26, 2022 00:19:05.154417200 Pacific Daylight Time","1.124626000","0.000001200","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 26, 2022 00:19:05.154417800 Pacific Daylight Time","1.124626600","0.000000600","142.250.217.150","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 26, 2022 00:19:05.154690500 Pacific Daylight Time","1.124899300","0.000272700","172.17.0.2","142.250.217.150","17","77","eth:ethertype:ip:udp:data","35",
"11","May 26, 2022 00:19:05.154771900 Pacific Daylight Time","1.124980700","0.000081400","172.17.0.2","142.250.217.150","17","75","eth:ethertype:ip:udp:data","33",
