frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 18:35:48.063707700 Pacific Daylight Time","0.000000000","0.000000000","173.194.12.135","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"2","May 27, 2022 18:35:48.064147200 Pacific Daylight Time","0.000439500","0.000439500","173.194.12.135","172.17.0.2","17","165","eth:ethertype:ip:udp:data","123",
"3","May 27, 2022 18:35:48.064442200 Pacific Daylight Time","0.000734500","0.000295000","172.17.0.2","173.194.12.135","17","78","eth:ethertype:ip:udp:data","36",
"4","May 27, 2022 18:35:48.064499000 Pacific Daylight Time","0.000791300","0.000056800","173.194.12.135","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"5","May 27, 2022 18:35:48.065612400 Pacific Daylight Time","0.001904700","0.001113400","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 27, 2022 18:35:48.065613800 Pacific Daylight Time","0.001906100","0.000001400","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 27, 2022 18:35:48.065614400 Pacific Daylight Time","0.001906700","0.000000600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 27, 2022 18:35:48.065615100 Pacific Daylight Time","0.001907400","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 27, 2022 18:35:48.065615800 Pacific Daylight Time","0.001908100","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 27, 2022 18:35:48.065616500 Pacific Daylight Time","0.001908800","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 27, 2022 18:35:48.065617200 Pacific Daylight Time","0.001909500","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 18:35:48.065617800 Pacific Daylight Time","0.001910100","0.000000600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 27, 2022 18:35:48.065643000 Pacific Daylight Time","0.001935300","0.000025200","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 27, 2022 18:35:48.065643800 Pacific Daylight Time","0.001936100","0.000000800","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 27, 2022 18:35:48.065721700 Pacific Daylight Time","0.002014000","0.000077900","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 27, 2022 18:35:48.065722700 Pacific Daylight Time","0.002015000","0.000001000","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 27, 2022 18:35:48.065723400 Pacific Daylight Time","0.002015700","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 27, 2022 18:35:48.065724100 Pacific Daylight Time","0.002016400","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 27, 2022 18:35:48.065738300 Pacific Daylight Time","0.002030600","0.000014200","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 27, 2022 18:35:48.065870100 Pacific Daylight Time","0.002162400","0.000131800","172.17.0.2","173.194.12.135","17","75","eth:ethertype:ip:udp:data","33",
"21","May 27, 2022 18:35:48.066389600 Pacific Daylight Time","0.002681900","0.000519500","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 27, 2022 18:35:48.066390700 Pacific Daylight Time","0.002683000","0.000001100","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 27, 2022 18:35:48.066391300 Pacific Daylight Time","0.002683600","0.000000600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 27, 2022 18:35:48.066410900 Pacific Daylight Time","0.002703200","0.000019600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 27, 2022 18:35:48.066411700 Pacific Daylight Time","0.002704000","0.000000800","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 27, 2022 18:35:48.066637900 Pacific Daylight Time","0.002930200","0.000226200","172.17.0.2","173.194.12.135","17","75","eth:ethertype:ip:udp:data","33",
"27","May 27, 2022 18:35:48.067124800 Pacific Daylight Time","0.003417100","0.000486900","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 27, 2022 18:35:48.067126000 Pacific Daylight Time","0.003418300","0.000001200","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"29","May 27, 2022 18:35:48.067126700 Pacific Daylight Time","0.003419000","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 27, 2022 18:35:48.067127300 Pacific Daylight Time","0.003419600","0.000000600","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"31","May 27, 2022 18:35:48.067128000 Pacific Daylight Time","0.003420300","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"32","May 27, 2022 18:35:48.067128700 Pacific Daylight Time","0.003421000","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"33","May 27, 2022 18:35:48.067129400 Pacific Daylight Time","0.003421700","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"34","May 27, 2022 18:35:48.067835200 Pacific Daylight Time","0.004127500","0.000705800","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"35","May 27, 2022 18:35:48.067836300 Pacific Daylight Time","0.004128600","0.000001100","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"36","May 27, 2022 18:35:48.067837000 Pacific Daylight Time","0.004129300","0.000000700","173.194.12.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"37","May 27, 2022 18:35:48.068022300 Pacific Daylight Time","0.004314600","0.000185300","172.17.0.2","173.194.12.135","17","75","eth:ethertype:ip:udp:data","33",
