frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 28, 2022 17:20:30.180477500 Pacific Daylight Time","0.000000000","0.000000000","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"2","May 28, 2022 17:20:30.183492200 Pacific Daylight Time","0.003014700","0.003014700","172.17.0.2","173.194.8.40","17","81","eth:ethertype:ip:udp:data","39",
"3","May 28, 2022 17:20:30.193407000 Pacific Daylight Time","0.012929500","0.009914800","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"4","May 28, 2022 17:20:30.193408800 Pacific Daylight Time","0.012931300","0.000001800","173.194.8.40","172.17.0.2","17","74","eth:ethertype:ip:udp:data","32",
"5","May 28, 2022 17:20:30.197469100 Pacific Daylight Time","0.016991600","0.004060300","172.17.0.2","173.194.8.40","17","1085","eth:ethertype:ip:udp:data","1043",
"6","May 28, 2022 17:20:30.226073300 Pacific Daylight Time","0.045595800","0.028604200",,,,"42","eth:ethertype:arp",,
"7","May 28, 2022 17:20:30.226096700 Pacific Daylight Time","0.045619200","0.000023400",,,,"42","eth:ethertype:arp",,
"8","May 28, 2022 17:20:30.227611800 Pacific Daylight Time","0.047134300","0.001515100","173.194.8.40","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"9","May 28, 2022 17:20:30.229778700 Pacific Daylight Time","0.049301200","0.002166900","173.194.8.40","172.17.0.2","17","97","eth:ethertype:ip:udp:data","55",
"10","May 28, 2022 17:20:30.230084400 Pacific Daylight Time","0.049606900","0.000305700","172.17.0.2","173.194.8.40","17","78","eth:ethertype:ip:udp:data","36",
"11","May 28, 2022 17:20:30.230795800 Pacific Daylight Time","0.050318300","0.000711400","173.194.8.40","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"12","May 28, 2022 17:20:30.230834000 Pacific Daylight Time","0.050356500","0.000038200","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 28, 2022 17:20:30.230834900 Pacific Daylight Time","0.050357400","0.000000900","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 28, 2022 17:20:30.230835700 Pacific Daylight Time","0.050358200","0.000000800","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 28, 2022 17:20:30.230841600 Pacific Daylight Time","0.050364100","0.000005900","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 28, 2022 17:20:30.230844400 Pacific Daylight Time","0.050366900","0.000002800","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 28, 2022 17:20:30.230880300 Pacific Daylight Time","0.050402800","0.000035900","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 28, 2022 17:20:30.230881200 Pacific Daylight Time","0.050403700","0.000000900","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 28, 2022 17:20:30.230881900 Pacific Daylight Time","0.050404400","0.000000700","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 28, 2022 17:20:30.230886900 Pacific Daylight Time","0.050409400","0.000005000","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 28, 2022 17:20:30.231090200 Pacific Daylight Time","0.050612700","0.000203300","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 28, 2022 17:20:30.231091400 Pacific Daylight Time","0.050613900","0.000001200","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 28, 2022 17:20:30.231092100 Pacific Daylight Time","0.050614600","0.000000700","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 28, 2022 17:20:30.231092800 Pacific Daylight Time","0.050615300","0.000000700","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
