frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 19:58:22.792941400 Pacific Daylight Time","0.000000000","0.000000000","173.194.8.40","172.17.0.2","17","85","eth:ethertype:ip:udp:data","43",
"2","May 27, 2022 19:58:22.792942600 Pacific Daylight Time","0.000001200","0.000001200","173.194.8.40","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"3","May 27, 2022 19:58:22.794371900 Pacific Daylight Time","0.001430500","0.001429300","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"4","May 27, 2022 19:58:22.794373900 Pacific Daylight Time","0.001432500","0.000002000","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"5","May 27, 2022 19:58:22.794375000 Pacific Daylight Time","0.001433600","0.000001100","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 27, 2022 19:58:22.794376000 Pacific Daylight Time","0.001434600","0.000001000","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 27, 2022 19:58:22.794377000 Pacific Daylight Time","0.001435600","0.000001000","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 27, 2022 19:58:22.794397000 Pacific Daylight Time","0.001455600","0.000020000","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 27, 2022 19:58:22.794398200 Pacific Daylight Time","0.001456800","0.000001200","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 27, 2022 19:58:22.794399200 Pacific Daylight Time","0.001457800","0.000001000","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 27, 2022 19:58:22.794417400 Pacific Daylight Time","0.001476000","0.000018200","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 19:58:22.794516300 Pacific Daylight Time","0.001574900","0.000098900","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 27, 2022 19:58:22.794554700 Pacific Daylight Time","0.001613300","0.000038400","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 27, 2022 19:58:22.794578500 Pacific Daylight Time","0.001637100","0.000023800","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 27, 2022 19:58:22.794593800 Pacific Daylight Time","0.001652400","0.000015300","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 27, 2022 19:58:22.794612000 Pacific Daylight Time","0.001670600","0.000018200","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 27, 2022 19:58:22.794653100 Pacific Daylight Time","0.001711700","0.000041100","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 27, 2022 19:58:22.794759500 Pacific Daylight Time","0.001818100","0.000106400","172.17.0.2","173.194.8.40","17","75","eth:ethertype:ip:udp:data","33",
"19","May 27, 2022 19:58:22.796688000 Pacific Daylight Time","0.003746600","0.001928500","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 27, 2022 19:58:22.796689400 Pacific Daylight Time","0.003748000","0.000001400","173.194.8.40","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
