frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 18:30:21.947447200 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","142.250.72.163","17","144","eth:ethertype:ip:udp:data","102",
"2","May 27, 2022 18:30:21.971703800 Pacific Daylight Time","0.024256600","0.024256600","172.17.0.2","142.250.176.22","17","119","eth:ethertype:ip:udp:data","77",
"3","May 27, 2022 18:30:21.973178400 Pacific Daylight Time","0.025731200","0.001474600","172.17.0.2","172.217.14.97","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls",,"quic"
"4","May 27, 2022 18:30:21.973912300 Pacific Daylight Time","0.026465100","0.000733900","172.17.0.2","142.250.72.142","17","1164","eth:ethertype:ip:udp:data","1122",
"5","May 27, 2022 18:30:21.974106900 Pacific Daylight Time","0.026659700","0.000194600","172.17.0.2","142.250.72.142","17","488","eth:ethertype:ip:udp:data","446",
"6","May 27, 2022 18:30:21.974265200 Pacific Daylight Time","0.026818000","0.000158300","172.17.0.2","142.250.72.142","17","817","eth:ethertype:ip:udp:data","775",
"7","May 27, 2022 18:30:21.978963300 Pacific Daylight Time","0.031516100","0.004698100","142.250.72.163","172.17.0.2","17","187","eth:ethertype:ip:udp:data","145",
"8","May 27, 2022 18:30:21.979236200 Pacific Daylight Time","0.031789000","0.000272900","172.17.0.2","142.250.72.163","17","77","eth:ethertype:ip:udp:data","35",
"9","May 27, 2022 18:30:21.982033500 Pacific Daylight Time","0.034586300","0.002797300","142.250.72.163","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"10","May 27, 2022 18:30:21.982518000 Pacific Daylight Time","0.035070800","0.000484500","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 27, 2022 18:30:21.982519800 Pacific Daylight Time","0.035072600","0.000001800","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 18:30:21.982520800 Pacific Daylight Time","0.035073600","0.000001000","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 27, 2022 18:30:21.982521700 Pacific Daylight Time","0.035074500","0.000000900","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 27, 2022 18:30:21.982522800 Pacific Daylight Time","0.035075600","0.000001100","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 27, 2022 18:30:21.982523900 Pacific Daylight Time","0.035076700","0.000001100","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 27, 2022 18:30:21.982525000 Pacific Daylight Time","0.035077800","0.000001100","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 27, 2022 18:30:21.982526100 Pacific Daylight Time","0.035078900","0.000001100","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 27, 2022 18:30:21.982532800 Pacific Daylight Time","0.035085600","0.000006700","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 27, 2022 18:30:21.982533900 Pacific Daylight Time","0.035086700","0.000001100","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 27, 2022 18:30:21.982585200 Pacific Daylight Time","0.035138000","0.000051300","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 27, 2022 18:30:21.982659900 Pacific Daylight Time","0.035212700","0.000074700","142.250.72.163","172.17.0.2","17","1194","eth:ethertype:ip:udp:data","1152",
"22","May 27, 2022 18:30:21.982777400 Pacific Daylight Time","0.035330200","0.000117500","172.17.0.2","142.250.72.163","17","75","eth:ethertype:ip:udp:data","33",
"23","May 27, 2022 18:30:21.982835400 Pacific Daylight Time","0.035388200","0.000058000","172.17.0.2","142.250.72.163","17","75","eth:ethertype:ip:udp:data","33",
"24","May 27, 2022 18:30:21.982873900 Pacific Daylight Time","0.035426700","0.000038500","172.17.0.2","142.250.72.163","17","75","eth:ethertype:ip:udp:data","33",
"25","May 27, 2022 18:30:21.982912400 Pacific Daylight Time","0.035465200","0.000038500","172.17.0.2","142.250.72.163","17","75","eth:ethertype:ip:udp:data","33",
"26","May 27, 2022 18:30:21.982950500 Pacific Daylight Time","0.035503300","0.000038100","172.17.0.2","142.250.72.163","17","75","eth:ethertype:ip:udp:data","33",
"27","May 27, 2022 18:30:21.983006200 Pacific Daylight Time","0.035559000","0.000055700","172.17.0.2","142.250.72.163","17","75","eth:ethertype:ip:udp:data","33",
"28","May 27, 2022 18:30:21.985788500 Pacific Daylight Time","0.038341300","0.002782300","172.17.0.2","142.250.176.22","17","206","eth:ethertype:ip:udp:data","164",
"29","May 27, 2022 18:30:22.000529900 Pacific Daylight Time","0.053082700","0.014741400","172.17.0.2","142.250.72.142","17","1035","eth:ethertype:ip:udp:data","993",
"30","May 27, 2022 18:30:22.007766600 Pacific Daylight Time","0.060319400","0.007236700","142.250.72.142","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"31","May 27, 2022 18:30:22.007768400 Pacific Daylight Time","0.060321200","0.000001800","142.250.72.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"32","May 27, 2022 18:30:22.007769600 Pacific Daylight Time","0.060322400","0.000001200","142.250.72.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"33","May 27, 2022 18:30:22.008145700 Pacific Daylight Time","0.060698500","0.000376100","142.250.72.142","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"34","May 27, 2022 18:30:22.008313000 Pacific Daylight Time","0.060865800","0.000167300","172.17.0.2","142.250.72.163","17","75","eth:ethertype:ip:udp:data","33",
"35","May 27, 2022 18:30:22.015469000 Pacific Daylight Time","0.068021800","0.007156000","172.17.0.2","142.250.72.142","17","75","eth:ethertype:ip:udp:data","33",
"36","May 27, 2022 18:30:22.017572300 Pacific Daylight Time","0.070125100","0.002103300","142.250.176.22","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
