frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 28, 2022 17:09:40.763097900 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","142.250.217.131","17","144","eth:ethertype:ip:udp:data","102",
"2","May 28, 2022 17:09:40.786223800 Pacific Daylight Time","0.023125900","0.023125900","172.17.0.2","142.250.217.150","17","119","eth:ethertype:ip:udp:data","77",
"3","May 28, 2022 17:09:40.787532400 Pacific Daylight Time","0.024434500","0.001308600","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls",,"quic"
"4","May 28, 2022 17:09:40.788253200 Pacific Daylight Time","0.025155300","0.000720800","172.17.0.2","172.217.14.110","17","1169","eth:ethertype:ip:udp:data","1127",
"5","May 28, 2022 17:09:40.788440200 Pacific Daylight Time","0.025342300","0.000187000","172.17.0.2","172.217.14.110","17","480","eth:ethertype:ip:udp:data","438",
"6","May 28, 2022 17:09:40.788606200 Pacific Daylight Time","0.025508300","0.000166000","172.17.0.2","172.217.14.110","17","824","eth:ethertype:ip:udp:data","782",
"7","May 28, 2022 17:09:40.796747200 Pacific Daylight Time","0.033649300","0.008141000","142.250.217.131","172.17.0.2","17","187","eth:ethertype:ip:udp:data","145",
"8","May 28, 2022 17:09:40.796749200 Pacific Daylight Time","0.033651300","0.000002000","142.250.217.131","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"9","May 28, 2022 17:09:40.796833600 Pacific Daylight Time","0.033735700","0.000084400","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 28, 2022 17:09:40.796834400 Pacific Daylight Time","0.033736500","0.000000800","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 28, 2022 17:09:40.796835100 Pacific Daylight Time","0.033737200","0.000000700","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 28, 2022 17:09:40.796835700 Pacific Daylight Time","0.033737800","0.000000600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 28, 2022 17:09:40.796842300 Pacific Daylight Time","0.033744400","0.000006600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 28, 2022 17:09:40.796863700 Pacific Daylight Time","0.033765800","0.000021400","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 28, 2022 17:09:40.796864400 Pacific Daylight Time","0.033766500","0.000000700","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 28, 2022 17:09:40.796869600 Pacific Daylight Time","0.033771700","0.000005200","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 28, 2022 17:09:40.796939100 Pacific Daylight Time","0.033841200","0.000069500","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 28, 2022 17:09:40.796943400 Pacific Daylight Time","0.033845500","0.000004300","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 28, 2022 17:09:40.797072900 Pacific Daylight Time","0.033975000","0.000129500","172.17.0.2","142.250.217.131","17","77","eth:ethertype:ip:udp:data","35",
"20","May 28, 2022 17:09:40.797147300 Pacific Daylight Time","0.034049400","0.000074400","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"21","May 28, 2022 17:09:40.797206900 Pacific Daylight Time","0.034109000","0.000059600","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"22","May 28, 2022 17:09:40.797246600 Pacific Daylight Time","0.034148700","0.000039700","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"23","May 28, 2022 17:09:40.797291100 Pacific Daylight Time","0.034193200","0.000044500","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"24","May 28, 2022 17:09:40.797341500 Pacific Daylight Time","0.034243600","0.000050400","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"25","May 28, 2022 17:09:40.798338200 Pacific Daylight Time","0.035240300","0.000996700","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
