frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 20:13:55.312830600 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","142.250.68.35","17","144","eth:ethertype:ip:udp:data","102",
"2","May 27, 2022 20:13:55.337124000 Pacific Daylight Time","0.024293400","0.024293400","172.17.0.2","142.250.176.22","17","119","eth:ethertype:ip:udp:data","77",
"3","May 27, 2022 20:13:55.338897700 Pacific Daylight Time","0.026067100","0.001773700","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls",,"quic"
"4","May 27, 2022 20:13:55.339541800 Pacific Daylight Time","0.026711200","0.000644100","172.17.0.2","142.251.40.46","17","1168","eth:ethertype:ip:udp:data","1126",
"5","May 27, 2022 20:13:55.339726500 Pacific Daylight Time","0.026895900","0.000184700","172.17.0.2","142.251.40.46","17","487","eth:ethertype:ip:udp:data","445",
"6","May 27, 2022 20:13:55.339904000 Pacific Daylight Time","0.027073400","0.000177500","172.17.0.2","142.251.40.46","17","815","eth:ethertype:ip:udp:data","773",
"7","May 27, 2022 20:13:55.342524400 Pacific Daylight Time","0.029693800","0.002620400","142.250.68.35","172.17.0.2","17","187","eth:ethertype:ip:udp:data","145",
"8","May 27, 2022 20:13:55.342823200 Pacific Daylight Time","0.029992600","0.000298800","172.17.0.2","142.250.68.35","17","77","eth:ethertype:ip:udp:data","35",
"9","May 27, 2022 20:13:55.342904800 Pacific Daylight Time","0.030074200","0.000081600","142.250.68.35","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"10","May 27, 2022 20:13:55.342905700 Pacific Daylight Time","0.030075100","0.000000900","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 27, 2022 20:13:55.342906400 Pacific Daylight Time","0.030075800","0.000000700","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 20:13:55.342907000 Pacific Daylight Time","0.030076400","0.000000600","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 27, 2022 20:13:55.342914000 Pacific Daylight Time","0.030083400","0.000007000","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 27, 2022 20:13:55.342916700 Pacific Daylight Time","0.030086100","0.000002700","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 27, 2022 20:13:55.343011300 Pacific Daylight Time","0.030180700","0.000094600","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 27, 2022 20:13:55.343012300 Pacific Daylight Time","0.030181700","0.000001000","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
