frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 22:53:09.303016000 PDT","0.000000000","0.000000000","142.250.189.14","172.17.0.2","6","66","eth:ethertype:ip:tcp",
"2","May 24, 2022 22:53:09.308970000 PDT","0.005954000","0.005954000","142.250.189.14","172.17.0.2","6","2902","eth:ethertype:ip:tcp:tls",
"3","May 24, 2022 22:53:09.308980300 PDT","0.005964300","0.000010300","172.17.0.2","142.250.189.14","6","66","eth:ethertype:ip:tcp",
"4","May 24, 2022 22:53:09.308971000 PDT","0.005955000","-0.000009300","142.250.189.14","172.17.0.2","6","2902","eth:ethertype:ip:tcp",
"5","May 24, 2022 22:53:09.309036100 PDT","0.006020100","0.000065100","172.17.0.2","142.250.189.14","6","66","eth:ethertype:ip:tcp",
"6","May 24, 2022 22:53:09.309274700 PDT","0.006258700","0.000238600","142.250.189.14","172.17.0.2","6","1063","eth:ethertype:ip:tcp:tls",
"7","May 24, 2022 22:53:09.309301600 PDT","0.006285600","0.000026900","172.17.0.2","142.250.189.14","6","66","eth:ethertype:ip:tcp",
"8","May 24, 2022 22:53:09.311830600 PDT","0.008814600","0.002529000","172.17.0.2","142.250.189.14","6","130","eth:ethertype:ip:tcp:tls",
"9","May 24, 2022 22:53:09.311955400 PDT","0.008939400","0.000124800","172.17.0.2","142.250.189.14","6","158","eth:ethertype:ip:tcp:tls",
"10","May 24, 2022 22:53:09.312061600 PDT","0.009045600","0.000106200","172.17.0.2","142.250.189.14","6","390","eth:ethertype:ip:tcp:tls",
"11","May 24, 2022 22:53:09.359680100 PDT","0.056664100","0.047618500","142.250.189.14","172.17.0.2","6","674","eth:ethertype:ip:tcp:tls",
"12","May 24, 2022 22:53:09.359713200 PDT","0.056697200","0.000033100","172.17.0.2","142.250.189.14","6","66","eth:ethertype:ip:tcp",
"13","May 24, 2022 22:53:09.359973700 PDT","0.056957700","0.000260500","142.250.189.14","172.17.0.2","6","97","eth:ethertype:ip:tcp:tls",
"14","May 24, 2022 22:53:09.359981700 PDT","0.056965700","0.000008000","172.17.0.2","142.250.189.14","6","66","eth:ethertype:ip:tcp",
"15","May 24, 2022 22:53:09.360048700 PDT","0.057032700","0.000067000","172.17.0.2","142.250.189.14","6","97","eth:ethertype:ip:tcp:tls",
"16","May 24, 2022 22:53:09.371083700 PDT","0.068067700","0.011035000","142.250.189.14","172.17.0.2","6","66","eth:ethertype:ip:tcp",
"17","May 24, 2022 22:53:09.420189000 PDT","0.117173000","0.049105300","142.250.189.14","172.17.0.2","6","781","eth:ethertype:ip:tcp:tls",
"18","May 24, 2022 22:53:09.420198900 PDT","0.117182900","0.000009900","172.17.0.2","142.250.189.14","6","66","eth:ethertype:ip:tcp",
"19","May 24, 2022 22:53:09.420190000 PDT","0.117174000","-0.000008900","142.250.189.14","172.17.0.2","6","97","eth:ethertype:ip:tcp:tls",
"20","May 24, 2022 22:53:09.420230600 PDT","0.117214600","0.000040600","172.17.0.2","142.250.189.14","6","66","eth:ethertype:ip:tcp",
"21","May 24, 2022 22:53:09.420190600 PDT","0.117174600","-0.000040000","142.250.189.14","172.17.0.2","6","105","eth:ethertype:ip:tcp:tls",
"22","May 24, 2022 22:53:09.420251400 PDT","0.117235400","0.000060800","172.17.0.2","142.250.189.14","6","66","eth:ethertype:ip:tcp",
"23","May 24, 2022 22:53:09.421089900 PDT","0.118073900","0.000838500","172.17.0.2","142.250.189.14","6","105","eth:ethertype:ip:tcp:tls",
"24","May 24, 2022 22:53:09.421142800 PDT","0.118126800","0.000052900","172.17.0.2","142.250.189.14","6","101","eth:ethertype:ip:tcp:tls",
"25","May 24, 2022 22:53:09.423319800 PDT","0.120303800","0.002177000","142.250.189.14","172.17.0.2","6","66","eth:ethertype:ip:tcp",
"26","May 24, 2022 22:53:09.489824300 PDT","0.186808300","0.066504500","142.250.189.14","172.17.0.2","6","66","eth:ethertype:ip:tcp",
"27","May 24, 2022 22:53:10.813177500 PDT","1.510161500","1.323353200","172.17.0.2","173.194.8.40","6","66","eth:ethertype:ip:tcp",
"28","May 24, 2022 22:53:10.813184100 PDT","1.510168100","0.000006600","172.17.0.2","173.194.8.40","6","66","eth:ethertype:ip:tcp",
"29","May 24, 2022 22:53:11.081155200 PDT","1.778139200","0.267971100","172.17.0.2","172.217.14.99","17","144","eth:ethertype:ip:udp:data","102"
"30","May 24, 2022 22:53:11.106284600 PDT","1.803268600","0.025129400","172.17.0.2","142.250.189.22","17","119","eth:ethertype:ip:udp:data","77"
"31","May 24, 2022 22:53:11.107682000 PDT","1.804666000","0.001397400","172.17.0.2","142.251.40.33","17","1292","eth:ethertype:ip:udp:data","1250"
"32","May 24, 2022 22:53:11.108198300 PDT","1.805182300","0.000516300","172.17.0.2","142.250.189.14","17","1015","eth:ethertype:ip:udp:data","973"
"33","May 24, 2022 22:53:11.108369800 PDT","1.805353800","0.000171500","172.17.0.2","142.250.189.14","17","488","eth:ethertype:ip:udp:data","446"
"34","May 24, 2022 22:53:11.108519800 PDT","1.805503800","0.000150000","172.17.0.2","142.250.189.14","17","813","eth:ethertype:ip:udp:data","771"
"35","May 24, 2022 22:53:11.136975400 PDT","1.833959400","0.028455600","142.250.189.22","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"36","May 24, 2022 22:53:11.141914100 PDT","1.838898100","0.004938700","172.217.14.99","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"37","May 24, 2022 22:53:11.142991000 PDT","1.839975000","0.001076900","172.17.0.2","74.125.103.167","6","66","eth:ethertype:ip:tcp",
"38","May 24, 2022 22:53:11.142998800 PDT","1.839982800","0.000007800","172.17.0.2","74.125.103.167","6","66","eth:ethertype:ip:tcp",
"39","May 24, 2022 22:53:11.144102000 PDT","1.841086000","0.001103200","172.217.14.99","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"40","May 24, 2022 22:53:11.144103000 PDT","1.841087000","0.000001000","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"41","May 24, 2022 22:53:11.144103600 PDT","1.841087600","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"42","May 24, 2022 22:53:11.144104200 PDT","1.841088200","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"43","May 24, 2022 22:53:11.144104900 PDT","1.841088900","0.000000700","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"44","May 24, 2022 22:53:11.144105500 PDT","1.841089500","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"45","May 24, 2022 22:53:11.144106100 PDT","1.841090100","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"46","May 24, 2022 22:53:11.144106700 PDT","1.841090700","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"47","May 24, 2022 22:53:11.144337400 PDT","1.841321400","0.000230700","172.17.0.2","172.217.14.99","17","77","eth:ethertype:ip:udp:data","35"
"48","May 24, 2022 22:53:11.144399000 PDT","1.841383000","0.000061600","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"49","May 24, 2022 22:53:11.144525500 PDT","1.841509500","0.000126500","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"50","May 24, 2022 22:53:11.144611400 PDT","1.841595400","0.000085900","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"51","May 24, 2022 22:53:11.146154600 PDT","1.843138600","0.001543200","142.251.40.33","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"52","May 24, 2022 22:53:11.146154600 PDT","1.843138600","0.000000000","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"53","May 24, 2022 22:53:11.146155700 PDT","1.843139700","0.000001100","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"54","May 24, 2022 22:53:11.146156300 PDT","1.843140300","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"55","May 24, 2022 22:53:11.146323400 PDT","1.843307400","0.000167100","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"56","May 24, 2022 22:53:11.146457100 PDT","1.843441100","0.000133700","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"57","May 24, 2022 22:53:11.147110100 PDT","1.844094100","0.000653000","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"58","May 24, 2022 22:53:11.147111100 PDT","1.844095100","0.000001000","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
