frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 22:46:27.489178500 PDT","0.000000000","0.000000000","172.217.14.68","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"2","May 24, 2022 22:46:27.501909700 PDT","0.012731200","0.012731200","142.250.72.174","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29"
"3","May 24, 2022 22:46:27.509650000 PDT","0.020471500","0.007740300","172.17.0.2","142.250.72.174","17","75","eth:ethertype:ip:udp:data","33"
"4","May 24, 2022 22:46:27.510836100 PDT","0.021657600","0.001186100","172.17.0.2","142.250.72.174","17","180","eth:ethertype:ip:udp:data","138"
"5","May 24, 2022 22:46:27.606937500 PDT","0.117759000","0.096101400","172.17.0.2","142.250.72.174","17","180","eth:ethertype:ip:udp:data","138"
"6","May 24, 2022 22:46:27.606987700 PDT","0.117809200","0.000050200","172.17.0.2","172.20.176.1","17","71","eth:ethertype:ip:udp:dns",
"7","May 24, 2022 22:46:27.667386900 PDT","0.178208400","0.060399200","142.250.72.174","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"8","May 24, 2022 22:46:27.667719500 PDT","0.178541000","0.000332600","142.250.72.174","172.17.0.2","17","79","eth:ethertype:ip:udp:data","37"
"9","May 24, 2022 22:46:27.667720500 PDT","0.178542000","0.000001000","142.250.72.174","172.17.0.2","17","715","eth:ethertype:ip:udp:data","673"
"10","May 24, 2022 22:46:27.667721200 PDT","0.178542700","0.000000700","142.250.72.174","172.17.0.2","17","223","eth:ethertype:ip:udp:data","181"
"11","May 24, 2022 22:46:27.667873000 PDT","0.178694500","0.000151800","172.17.0.2","142.250.72.174","17","78","eth:ethertype:ip:udp:data","36"
"12","May 24, 2022 22:46:27.667948900 PDT","0.178770400","0.000075900","172.17.0.2","142.250.72.174","17","78","eth:ethertype:ip:udp:data","36"
"13","May 24, 2022 22:46:27.676534800 PDT","0.187356300","0.008585900","172.17.0.2","142.250.72.174","17","75","eth:ethertype:ip:udp:data","33"
"14","May 24, 2022 22:46:27.689812100 PDT","0.200633600","0.013277300","142.250.72.174","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
