frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 26, 2022 00:12:06.029798700 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.167.137","6","66","eth:ethertype:ip:tcp",,
"2","May 26, 2022 00:12:06.349853500 Pacific Daylight Time","0.320054800","0.320054800","172.17.0.2","173.194.167.137","6","66","eth:ethertype:ip:tcp",,
"3","May 26, 2022 00:12:06.669911400 Pacific Daylight Time","0.640112700","0.320057900","172.17.0.2","74.125.170.58","6","66","eth:ethertype:ip:tcp",,
"4","May 26, 2022 00:12:06.669920900 Pacific Daylight Time","0.640122200","0.000009500","172.17.0.2","74.125.170.58","6","66","eth:ethertype:ip:tcp",,
"5","May 26, 2022 00:12:07.337418200 Pacific Daylight Time","1.307619500","0.667497300","172.17.0.2","142.250.72.182","17","119","eth:ethertype:ip:udp:data","77",
"6","May 26, 2022 00:12:07.340428400 Pacific Daylight Time","1.310629700","0.003010200","172.17.0.2","172.20.176.1","17","90","eth:ethertype:ip:udp:dns",,
"7","May 26, 2022 00:12:07.340901600 Pacific Daylight Time","1.311102900","0.000473200","172.17.0.2","172.20.176.1","17","89","eth:ethertype:ip:udp:dns",,
"8","May 26, 2022 00:12:07.341029000 Pacific Daylight Time","1.311230300","0.000127400","172.17.0.2","172.20.176.1","17","84","eth:ethertype:ip:udp:dns",,
"9","May 26, 2022 00:12:07.341405100 Pacific Daylight Time","1.311606400","0.000376100","172.17.0.2","172.20.176.1","17","78","eth:ethertype:ip:udp:dns",,
"10","May 26, 2022 00:12:07.341540200 Pacific Daylight Time","1.311741500","0.000135100","172.17.0.2","142.250.72.142","17","535","eth:ethertype:ip:udp:data","493",
"11","May 26, 2022 00:12:07.341744800 Pacific Daylight Time","1.311946100","0.000204600","172.17.0.2","142.250.72.142","17","490","eth:ethertype:ip:udp:data","448",
"12","May 26, 2022 00:12:07.348843900 Pacific Daylight Time","1.319045200","0.007099100","172.17.0.2","142.250.72.182","17","207","eth:ethertype:ip:udp:data","165",
"13","May 26, 2022 00:12:07.354789600 Pacific Daylight Time","1.324990900","0.005945700","142.250.72.182","172.17.0.2","17","72","eth:ethertype:ip:udp:data","30",
"14","May 26, 2022 00:12:07.355025700 Pacific Daylight Time","1.325227000","0.000236100","142.250.72.182","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"15","May 26, 2022 00:12:07.355034100 Pacific Daylight Time","1.325235400","0.000008400","172.17.0.2","142.250.72.182","17","75","eth:ethertype:ip:udp:data","33",
"16","May 26, 2022 00:12:07.355185800 Pacific Daylight Time","1.325387100","0.000151700","172.17.0.2","142.250.72.182","17","79","eth:ethertype:ip:udp:data","37",
"17","May 26, 2022 00:12:07.355231700 Pacific Daylight Time","1.325433000","0.000045900","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 26, 2022 00:12:07.355232500 Pacific Daylight Time","1.325433800","0.000000800","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 26, 2022 00:12:07.355233200 Pacific Daylight Time","1.325434500","0.000000700","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 26, 2022 00:12:07.355233800 Pacific Daylight Time","1.325435100","0.000000600","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 26, 2022 00:12:07.356348600 Pacific Daylight Time","1.326549900","0.001114800","172.17.0.2","142.250.72.182","17","75","eth:ethertype:ip:udp:data","33",
"22","May 26, 2022 00:12:07.356438500 Pacific Daylight Time","1.326639800","0.000089900","172.17.0.2","142.250.72.182","17","75","eth:ethertype:ip:udp:data","33",
"23","May 26, 2022 00:12:07.361702000 Pacific Daylight Time","1.331903300","0.005263500","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 26, 2022 00:12:07.361912900 Pacific Daylight Time","1.332114200","0.000210900","172.17.0.2","142.250.72.182","17","75","eth:ethertype:ip:udp:data","33",
"25","May 26, 2022 00:12:07.375521900 Pacific Daylight Time","1.345723200","0.013609000","142.250.72.142","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"26","May 26, 2022 00:12:07.375521900 Pacific Daylight Time","1.345723200","0.000000000","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 26, 2022 00:12:07.375523100 Pacific Daylight Time","1.345724400","0.000001200","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 26, 2022 00:12:07.375523300 Pacific Daylight Time","1.345724600","0.000000200","142.250.72.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"29","May 26, 2022 00:12:07.375524000 Pacific Daylight Time","1.345725300","0.000000700","142.250.72.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"30","May 26, 2022 00:12:07.375523800 Pacific Daylight Time","1.345725100","-0.000000200","142.250.72.182","172.17.0.2","17","843","eth:ethertype:ip:udp:data","801",
"31","May 26, 2022 00:12:07.375524400 Pacific Daylight Time","1.345725700","0.000000600","142.250.72.182","172.17.0.2","17","72","eth:ethertype:ip:udp:data","30",
"32","May 26, 2022 00:12:07.375525200 Pacific Daylight Time","1.345726500","0.000000800","142.250.72.182","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"33","May 26, 2022 00:12:07.375525900 Pacific Daylight Time","1.345727200","0.000000700","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"34","May 26, 2022 00:12:07.375526600 Pacific Daylight Time","1.345727900","0.000000700","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"35","May 26, 2022 00:12:07.375599000 Pacific Daylight Time","1.345800300","0.000072400","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"36","May 26, 2022 00:12:07.375694800 Pacific Daylight Time","1.345896100","0.000095800","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"37","May 26, 2022 00:12:07.375695900 Pacific Daylight Time","1.345897200","0.000001100","142.250.72.182","172.17.0.2","17","605","eth:ethertype:ip:udp:data","563",
"38","May 26, 2022 00:12:07.375759900 Pacific Daylight Time","1.345961200","0.000064000","172.17.0.2","142.250.72.182","17","78","eth:ethertype:ip:udp:data","36",
"39","May 26, 2022 00:12:07.375835000 Pacific Daylight Time","1.346036300","0.000075100","172.17.0.2","142.250.72.182","17","78","eth:ethertype:ip:udp:data","36",
"40","May 26, 2022 00:12:07.375877200 Pacific Daylight Time","1.346078500","0.000042200","172.17.0.2","142.250.72.182","17","78","eth:ethertype:ip:udp:data","36",
"41","May 26, 2022 00:12:07.375952700 Pacific Daylight Time","1.346154000","0.000075500","172.17.0.2","142.250.72.182","17","78","eth:ethertype:ip:udp:data","36",
"42","May 26, 2022 00:12:07.376080200 Pacific Daylight Time","1.346281500","0.000127500","172.17.0.2","142.250.72.182","17","82","eth:ethertype:ip:udp:data","40",
"43","May 26, 2022 00:12:07.376142300 Pacific Daylight Time","1.346343600","0.000062100","172.17.0.2","142.250.72.182","17","78","eth:ethertype:ip:udp:data","36",
"44","May 26, 2022 00:12:07.376181600 Pacific Daylight Time","1.346382900","0.000039300","172.17.0.2","142.250.72.182","17","78","eth:ethertype:ip:udp:data","36",
"45","May 26, 2022 00:12:07.380114500 Pacific Daylight Time","1.350315800","0.003932900","172.17.0.2","142.250.72.142","17","76","eth:ethertype:ip:udp:data","34",
"46","May 26, 2022 00:12:07.387656400 Pacific Daylight Time","1.357857700","0.007541900","142.250.72.142","172.17.0.2","17","112","eth:ethertype:ip:udp:data","70",
"47","May 26, 2022 00:12:07.387657600 Pacific Daylight Time","1.357858900","0.000001200","142.250.72.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"48","May 26, 2022 00:12:07.387915700 Pacific Daylight Time","1.358117000","0.000258100","172.17.0.2","142.250.72.142","17","79","eth:ethertype:ip:udp:data","37",
"49","May 26, 2022 00:12:07.392801500 Pacific Daylight Time","1.363002800","0.004885800","172.17.0.2","142.250.72.142","17","76","eth:ethertype:ip:udp:data","34",
"50","May 26, 2022 00:12:07.392985600 Pacific Daylight Time","1.363186900","0.000184100","142.250.72.142","172.17.0.2","17","220","eth:ethertype:ip:udp:data","178",
"51","May 26, 2022 00:12:07.392986600 Pacific Daylight Time","1.363187900","0.000001000","142.250.72.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"52","May 26, 2022 00:12:07.393222100 Pacific Daylight Time","1.363423400","0.000235500","172.17.0.2","142.250.72.142","17","79","eth:ethertype:ip:udp:data","37",
"53","May 26, 2022 00:12:07.393898000 Pacific Daylight Time","1.364099300","0.000675900","142.250.72.182","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"54","May 26, 2022 00:12:07.393899000 Pacific Daylight Time","1.364100300","0.000001000","142.250.72.182","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"55","May 26, 2022 00:12:07.394590300 Pacific Daylight Time","1.364791600","0.000691300","172.17.0.2","142.250.72.182","17","75","eth:ethertype:ip:udp:data","33",
