frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 18:42:43.423201000 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","142.250.217.131","17","144","eth:ethertype:ip:udp:data","102",
"2","May 27, 2022 18:42:43.444513600 Pacific Daylight Time","0.021312600","0.021312600","142.250.217.131","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"3","May 27, 2022 18:42:43.447905400 Pacific Daylight Time","0.024704400","0.003391800","172.17.0.2","142.250.68.86","17","119","eth:ethertype:ip:udp:data","77",
"4","May 27, 2022 18:42:43.449517500 Pacific Daylight Time","0.026316500","0.001612100","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls",,"quic"
"5","May 27, 2022 18:42:43.449800700 Pacific Daylight Time","0.026599700","0.000283200","142.250.217.131","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"6","May 27, 2022 18:42:43.449802500 Pacific Daylight Time","0.026601500","0.000001800","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 27, 2022 18:42:43.449803500 Pacific Daylight Time","0.026602500","0.000001000","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 27, 2022 18:42:43.449804400 Pacific Daylight Time","0.026603400","0.000000900","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 27, 2022 18:42:43.449821000 Pacific Daylight Time","0.026620000","0.000016600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 27, 2022 18:42:43.449822300 Pacific Daylight Time","0.026621300","0.000001300","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 27, 2022 18:42:43.449890900 Pacific Daylight Time","0.026689900","0.000068600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 18:42:43.449983400 Pacific Daylight Time","0.026782400","0.000092500","172.17.0.2","142.250.217.131","17","77","eth:ethertype:ip:udp:data","35",
"13","May 27, 2022 18:42:43.450056400 Pacific Daylight Time","0.026855400","0.000073000","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"14","May 27, 2022 18:42:43.450098100 Pacific Daylight Time","0.026897100","0.000041700","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"15","May 27, 2022 18:42:43.450143400 Pacific Daylight Time","0.026942400","0.000045300","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"16","May 27, 2022 18:42:43.450689300 Pacific Daylight Time","0.027488300","0.000545900","172.17.0.2","172.217.14.78","17","1205","eth:ethertype:ip:udp:data","1163",
"17","May 27, 2022 18:42:43.452142500 Pacific Daylight Time","0.028941500","0.001453200","172.17.0.2","172.217.14.78","17","489","eth:ethertype:ip:udp:data","447",
"18","May 27, 2022 18:42:43.452371600 Pacific Daylight Time","0.029170600","0.000229100","172.17.0.2","172.217.14.78","17","815","eth:ethertype:ip:udp:data","773",
"19","May 27, 2022 18:42:43.461054000 Pacific Daylight Time","0.037853000","0.008682400","172.17.0.2","142.250.68.86","17","207","eth:ethertype:ip:udp:data","165",
