frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 28, 2022 17:19:45.093062900 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","142.250.68.35","17","144","eth:ethertype:ip:udp:data","102",
"2","May 28, 2022 17:19:45.118073000 Pacific Daylight Time","0.025010100","0.025010100","172.17.0.2","172.217.14.118","17","119","eth:ethertype:ip:udp:data","77",
"3","May 28, 2022 17:19:45.119763300 Pacific Daylight Time","0.026700400","0.001690300","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls",,"quic"
"4","May 28, 2022 17:19:45.120458100 Pacific Daylight Time","0.027395200","0.000694800","172.17.0.2","142.250.68.78","17","1207","eth:ethertype:ip:udp:data","1165",
"5","May 28, 2022 17:19:45.120705800 Pacific Daylight Time","0.027642900","0.000247700","172.17.0.2","142.250.68.78","17","482","eth:ethertype:ip:udp:data","440",
"6","May 28, 2022 17:19:45.120962400 Pacific Daylight Time","0.027899500","0.000256600","172.17.0.2","142.250.68.78","17","815","eth:ethertype:ip:udp:data","773",
"7","May 28, 2022 17:19:45.130495400 Pacific Daylight Time","0.037432500","0.009533000","172.17.0.2","172.217.14.118","17","208","eth:ethertype:ip:udp:data","166",
"8","May 28, 2022 17:19:45.130749800 Pacific Daylight Time","0.037686900","0.000254400","142.250.68.35","172.17.0.2","17","187","eth:ethertype:ip:udp:data","145",
"9","May 28, 2022 17:19:45.130792400 Pacific Daylight Time","0.037729500","0.000042600","142.250.68.35","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"10","May 28, 2022 17:19:45.130793900 Pacific Daylight Time","0.037731000","0.000001500","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 28, 2022 17:19:45.130975400 Pacific Daylight Time","0.037912500","0.000181500","172.17.0.2","142.250.68.35","17","77","eth:ethertype:ip:udp:data","35",
"12","May 28, 2022 17:19:45.131051800 Pacific Daylight Time","0.037988900","0.000076400","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"13","May 28, 2022 17:19:45.131109300 Pacific Daylight Time","0.038046400","0.000057500","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 28, 2022 17:19:45.131110300 Pacific Daylight Time","0.038047400","0.000001000","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 28, 2022 17:19:45.131111000 Pacific Daylight Time","0.038048100","0.000000700","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 28, 2022 17:19:45.131111600 Pacific Daylight Time","0.038048700","0.000000600","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 28, 2022 17:19:45.131112300 Pacific Daylight Time","0.038049400","0.000000700","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 28, 2022 17:19:45.131112900 Pacific Daylight Time","0.038050000","0.000000600","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 28, 2022 17:19:45.131113600 Pacific Daylight Time","0.038050700","0.000000700","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 28, 2022 17:19:45.131114200 Pacific Daylight Time","0.038051300","0.000000600","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 28, 2022 17:19:45.131117700 Pacific Daylight Time","0.038054800","0.000003500","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 28, 2022 17:19:45.132211900 Pacific Daylight Time","0.039149000","0.001094200","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"23","May 28, 2022 17:19:45.132323900 Pacific Daylight Time","0.039261000","0.000112000","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"24","May 28, 2022 17:19:45.132387500 Pacific Daylight Time","0.039324600","0.000063600","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"25","May 28, 2022 17:19:45.132452700 Pacific Daylight Time","0.039389800","0.000065200","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"26","May 28, 2022 17:19:45.132635500 Pacific Daylight Time","0.039572600","0.000182800","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 28, 2022 17:19:45.132637100 Pacific Daylight Time","0.039574200","0.000001600","142.250.68.35","172.17.0.2","17","1194","eth:ethertype:ip:udp:data","1152",
"28","May 28, 2022 17:19:45.132688800 Pacific Daylight Time","0.039625900","0.000051700","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"29","May 28, 2022 17:19:45.145197800 Pacific Daylight Time","0.052134900","0.012509000","172.17.0.2","142.250.68.78","17","1081","eth:ethertype:ip:udp:data","1039",
"30","May 28, 2022 17:19:45.148450800 Pacific Daylight Time","0.055387900","0.003253000","172.217.14.118","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"31","May 28, 2022 17:19:45.158023400 Pacific Daylight Time","0.064960500","0.009572600","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"32","May 28, 2022 17:19:45.160780600 Pacific Daylight Time","0.067717700","0.002757200","172.217.14.118","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"33","May 28, 2022 17:19:45.160990500 Pacific Daylight Time","0.067927600","0.000209900","172.17.0.2","172.217.14.118","17","75","eth:ethertype:ip:udp:data","33",
"34","May 28, 2022 17:19:45.163428300 Pacific Daylight Time","0.070365400","0.002437800","172.217.14.118","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"35","May 28, 2022 17:19:45.163429400 Pacific Daylight Time","0.070366500","0.000001100","172.217.14.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"36","May 28, 2022 17:19:45.163430100 Pacific Daylight Time","0.070367200","0.000000700","172.217.14.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"37","May 28, 2022 17:19:45.163430800 Pacific Daylight Time","0.070367900","0.000000700","172.217.14.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"38","May 28, 2022 17:19:45.163468300 Pacific Daylight Time","0.070405400","0.000037500","172.217.14.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"39","May 28, 2022 17:19:45.163469000 Pacific Daylight Time","0.070406100","0.000000700","172.217.14.118","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"40","May 28, 2022 17:19:45.163469700 Pacific Daylight Time","0.070406800","0.000000700","172.217.14.118","172.17.0.2","17","862","eth:ethertype:ip:udp:data","820",
"41","May 28, 2022 17:19:45.164157600 Pacific Daylight Time","0.071094700","0.000687900","172.17.0.2","172.217.14.118","17","77","eth:ethertype:ip:udp:data","35",
"42","May 28, 2022 17:19:45.164241800 Pacific Daylight Time","0.071178900","0.000084200","172.17.0.2","172.217.14.118","17","75","eth:ethertype:ip:udp:data","33",
"43","May 28, 2022 17:19:45.164282200 Pacific Daylight Time","0.071219300","0.000040400","172.17.0.2","172.217.14.118","17","75","eth:ethertype:ip:udp:data","33",
"44","May 28, 2022 17:19:45.164322000 Pacific Daylight Time","0.071259100","0.000039800","172.17.0.2","172.217.14.118","17","75","eth:ethertype:ip:udp:data","33",
