frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 20:08:33.362591700 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.166.171","6","66","eth:ethertype:ip:tcp",,
"2","May 27, 2022 20:08:33.513606600 Pacific Daylight Time","0.151014900","0.151014900","172.17.0.2","142.250.68.3","17","144","eth:ethertype:ip:udp:data","102",
"3","May 27, 2022 20:08:33.541155700 Pacific Daylight Time","0.178564000","0.027549100","172.17.0.2","142.250.68.22","17","119","eth:ethertype:ip:udp:data","77",
"4","May 27, 2022 20:08:33.542635500 Pacific Daylight Time","0.180043800","0.001479800","172.17.0.2","172.217.14.97","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls:tls",,"quic"
"5","May 27, 2022 20:08:33.543223500 Pacific Daylight Time","0.180631800","0.000588000","172.17.0.2","142.250.176.14","17","1197","eth:ethertype:ip:udp:data","1155",
"6","May 27, 2022 20:08:33.543414400 Pacific Daylight Time","0.180822700","0.000190900","172.17.0.2","142.250.176.14","17","481","eth:ethertype:ip:udp:data","439",
"7","May 27, 2022 20:08:33.543595600 Pacific Daylight Time","0.181003900","0.000181200","172.17.0.2","142.250.176.14","17","814","eth:ethertype:ip:udp:data","772",
"8","May 27, 2022 20:08:33.553124000 Pacific Daylight Time","0.190532300","0.009528400","142.250.68.3","172.17.0.2","17","187","eth:ethertype:ip:udp:data","145",
"9","May 27, 2022 20:08:33.553187100 Pacific Daylight Time","0.190595400","0.000063100","142.250.68.3","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"10","May 27, 2022 20:08:33.553188500 Pacific Daylight Time","0.190596800","0.000001400","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 27, 2022 20:08:33.553201600 Pacific Daylight Time","0.190609900","0.000013100","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 20:08:33.553207800 Pacific Daylight Time","0.190616100","0.000006200","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 27, 2022 20:08:33.553221700 Pacific Daylight Time","0.190630000","0.000013900","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 27, 2022 20:08:33.553341900 Pacific Daylight Time","0.190750200","0.000120200","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 27, 2022 20:08:33.553343200 Pacific Daylight Time","0.190751500","0.000001300","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 27, 2022 20:08:33.553344200 Pacific Daylight Time","0.190752500","0.000001000","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 27, 2022 20:08:33.553968800 Pacific Daylight Time","0.191377100","0.000624600","172.17.0.2","142.250.68.3","17","77","eth:ethertype:ip:udp:data","35",
"18","May 27, 2022 20:08:33.554061700 Pacific Daylight Time","0.191470000","0.000092900","172.17.0.2","142.250.68.3","17","75","eth:ethertype:ip:udp:data","33",
"19","May 27, 2022 20:08:33.554104400 Pacific Daylight Time","0.191512700","0.000042700","172.17.0.2","142.250.68.3","17","75","eth:ethertype:ip:udp:data","33",
"20","May 27, 2022 20:08:33.554143100 Pacific Daylight Time","0.191551400","0.000038700","172.17.0.2","142.250.68.3","17","75","eth:ethertype:ip:udp:data","33",
"21","May 27, 2022 20:08:33.554182600 Pacific Daylight Time","0.191590900","0.000039500","172.17.0.2","142.250.68.3","17","75","eth:ethertype:ip:udp:data","33",
"22","May 27, 2022 20:08:33.554403100 Pacific Daylight Time","0.191811400","0.000220500","172.17.0.2","142.250.68.22","17","205","eth:ethertype:ip:udp:data","163",
"23","May 27, 2022 20:08:33.555875800 Pacific Daylight Time","0.193284100","0.001472700","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 27, 2022 20:08:33.555877400 Pacific Daylight Time","0.193285700","0.000001600","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 27, 2022 20:08:33.555878000 Pacific Daylight Time","0.193286300","0.000000600","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 27, 2022 20:08:33.556045000 Pacific Daylight Time","0.193453300","0.000167000","172.17.0.2","142.250.68.3","17","75","eth:ethertype:ip:udp:data","33",
"27","May 27, 2022 20:08:33.559032800 Pacific Daylight Time","0.196441100","0.002987800","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 27, 2022 20:08:33.559105500 Pacific Daylight Time","0.196513800","0.000072700","142.250.68.3","172.17.0.2","17","1194","eth:ethertype:ip:udp:data","1152",
"29","May 27, 2022 20:08:33.559261300 Pacific Daylight Time","0.196669600","0.000155800","172.17.0.2","142.250.68.3","17","75","eth:ethertype:ip:udp:data","33",
"30","May 27, 2022 20:08:33.559373400 Pacific Daylight Time","0.196781700","0.000112100","142.250.68.22","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"31","May 27, 2022 20:08:33.559848400 Pacific Daylight Time","0.197256700","0.000475000","142.250.68.22","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"32","May 27, 2022 20:08:33.559849500 Pacific Daylight Time","0.197257800","0.000001100","142.250.68.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"33","May 27, 2022 20:08:33.559850200 Pacific Daylight Time","0.197258500","0.000000700","142.250.68.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"34","May 27, 2022 20:08:33.560090800 Pacific Daylight Time","0.197499100","0.000240600","172.17.0.2","142.250.68.22","17","77","eth:ethertype:ip:udp:data","35",
"35","May 27, 2022 20:08:33.560151800 Pacific Daylight Time","0.197560100","0.000061000","172.17.0.2","142.250.68.22","17","75","eth:ethertype:ip:udp:data","33",
"36","May 27, 2022 20:08:33.560320800 Pacific Daylight Time","0.197729100","0.000169000","142.250.68.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"37","May 27, 2022 20:08:33.560322200 Pacific Daylight Time","0.197730500","0.000001400","142.250.68.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"38","May 27, 2022 20:08:33.560323200 Pacific Daylight Time","0.197731500","0.000001000","142.250.68.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"39","May 27, 2022 20:08:33.560324300 Pacific Daylight Time","0.197732600","0.000001100","142.250.68.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"40","May 27, 2022 20:08:33.560325300 Pacific Daylight Time","0.197733600","0.000001000","142.250.68.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
