frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 20:15:05.060101100 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","74.125.157.70","6","66","eth:ethertype:ip:tcp",,
"2","May 25, 2022 20:15:05.060110800 Pacific Daylight Time","0.000009700","0.000009700","172.17.0.2","173.194.8.103","6","66","eth:ethertype:ip:tcp",,
"3","May 25, 2022 20:15:05.069278200 Pacific Daylight Time","0.009177100","0.009167400","172.17.0.2","142.250.72.131","17","144","eth:ethertype:ip:udp:data","102",
"4","May 25, 2022 20:15:05.094908200 Pacific Daylight Time","0.034807100","0.025630000","172.17.0.2","142.251.40.54","17","118","eth:ethertype:ip:udp:data","76",
"5","May 25, 2022 20:15:05.096520200 Pacific Daylight Time","0.036419100","0.001612000","172.17.0.2","142.250.72.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls",,"quic"
"6","May 25, 2022 20:15:05.097157700 Pacific Daylight Time","0.037056600","0.000637500","172.17.0.2","142.250.72.174","17","1224","eth:ethertype:ip:udp:data","1182",
"7","May 25, 2022 20:15:05.097370100 Pacific Daylight Time","0.037269000","0.000212400","172.17.0.2","142.250.72.174","17","490","eth:ethertype:ip:udp:data","448",
"8","May 25, 2022 20:15:05.097561400 Pacific Daylight Time","0.037460300","0.000191300","172.17.0.2","142.250.72.174","17","819","eth:ethertype:ip:udp:data","777",
"9","May 25, 2022 20:15:05.107278600 Pacific Daylight Time","0.047177500","0.009717200","172.17.0.2","142.251.40.54","17","206","eth:ethertype:ip:udp:data","164",
"10","May 25, 2022 20:15:05.120472200 Pacific Daylight Time","0.060371100","0.013193600","142.250.72.131","172.17.0.2","17","186","eth:ethertype:ip:udp:data","144",
"11","May 25, 2022 20:15:05.120776300 Pacific Daylight Time","0.060675200","0.000304100","172.17.0.2","142.250.72.131","17","77","eth:ethertype:ip:udp:data","35",
