frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 18:30:53.230575300 Pacific Daylight Time","0.000000000","0.000000000","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"2","May 27, 2022 18:30:53.230576100 Pacific Daylight Time","0.000000800","0.000000800","173.194.8.137","172.17.0.2","17","74","eth:ethertype:ip:udp:data","32",
"3","May 27, 2022 18:30:53.232522900 Pacific Daylight Time","0.001947600","0.001946800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"4","May 27, 2022 18:30:53.235439900 Pacific Daylight Time","0.004864600","0.002917000","172.17.0.2","173.194.8.137","17","1040","eth:ethertype:ip:udp:data","998",
"5","May 27, 2022 18:30:53.267020900 Pacific Daylight Time","0.036445600","0.031581000","173.194.8.137","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"6","May 27, 2022 18:30:53.268173300 Pacific Daylight Time","0.037598000","0.001152400","173.194.8.137","172.17.0.2","17","85","eth:ethertype:ip:udp:data","43",
"7","May 27, 2022 18:30:53.268413400 Pacific Daylight Time","0.037838100","0.000240100","172.17.0.2","173.194.8.137","17","78","eth:ethertype:ip:udp:data","36",
"8","May 27, 2022 18:30:53.269001800 Pacific Daylight Time","0.038426500","0.000588400","173.194.8.137","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"9","May 27, 2022 18:30:53.270280500 Pacific Daylight Time","0.039705200","0.001278700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 27, 2022 18:30:53.277446100 Pacific Daylight Time","0.046870800","0.007165600","172.17.0.2","173.194.8.137","17","75","eth:ethertype:ip:udp:data","33",
"11","May 27, 2022 18:30:53.288543700 Pacific Daylight Time","0.057968400","0.011097600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 18:30:53.288545000 Pacific Daylight Time","0.057969700","0.000001300","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 27, 2022 18:30:53.288545700 Pacific Daylight Time","0.057970400","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 27, 2022 18:30:53.288546300 Pacific Daylight Time","0.057971000","0.000000600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 27, 2022 18:30:53.288547100 Pacific Daylight Time","0.057971800","0.000000800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 27, 2022 18:30:53.288547700 Pacific Daylight Time","0.057972400","0.000000600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 27, 2022 18:30:53.288548400 Pacific Daylight Time","0.057973100","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 27, 2022 18:30:53.288549100 Pacific Daylight Time","0.057973800","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 27, 2022 18:30:53.288556700 Pacific Daylight Time","0.057981400","0.000007600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 27, 2022 18:30:53.288557500 Pacific Daylight Time","0.057982200","0.000000800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 27, 2022 18:30:53.288680000 Pacific Daylight Time","0.058104700","0.000122500","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 27, 2022 18:30:53.288681100 Pacific Daylight Time","0.058105800","0.000001100","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 27, 2022 18:30:53.288681800 Pacific Daylight Time","0.058106500","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 27, 2022 18:30:53.288682400 Pacific Daylight Time","0.058107100","0.000000600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 27, 2022 18:30:53.288683200 Pacific Daylight Time","0.058107900","0.000000800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 27, 2022 18:30:53.288694000 Pacific Daylight Time","0.058118700","0.000010800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 27, 2022 18:30:53.288840800 Pacific Daylight Time","0.058265500","0.000146800","172.17.0.2","173.194.8.137","17","76","eth:ethertype:ip:udp:data","34",
"28","May 27, 2022 18:30:53.288936700 Pacific Daylight Time","0.058361400","0.000095900","172.17.0.2","173.194.8.137","17","76","eth:ethertype:ip:udp:data","34",
"29","May 27, 2022 18:30:53.288954100 Pacific Daylight Time","0.058378800","0.000017400","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 27, 2022 18:30:53.288955400 Pacific Daylight Time","0.058380100","0.000001300","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"31","May 27, 2022 18:30:53.288956100 Pacific Daylight Time","0.058380800","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"32","May 27, 2022 18:30:53.288956800 Pacific Daylight Time","0.058381500","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"33","May 27, 2022 18:30:53.288957500 Pacific Daylight Time","0.058382200","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"34","May 27, 2022 18:30:53.288958300 Pacific Daylight Time","0.058383000","0.000000800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"35","May 27, 2022 18:30:53.288959000 Pacific Daylight Time","0.058383700","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"36","May 27, 2022 18:30:53.288959800 Pacific Daylight Time","0.058384500","0.000000800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"37","May 27, 2022 18:30:53.288969600 Pacific Daylight Time","0.058394300","0.000009800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"38","May 27, 2022 18:30:53.288970400 Pacific Daylight Time","0.058395100","0.000000800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
