frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 19:06:19.474709400 Pacific Daylight Time","0.000000000","0.000000000","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"2","May 27, 2022 19:06:19.474710500 Pacific Daylight Time","0.000001100","0.000001100","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"3","May 27, 2022 19:06:19.474711200 Pacific Daylight Time","0.000001800","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"4","May 27, 2022 19:06:19.474711800 Pacific Daylight Time","0.000002400","0.000000600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"5","May 27, 2022 19:06:19.474712400 Pacific Daylight Time","0.000003000","0.000000600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 27, 2022 19:06:19.474732000 Pacific Daylight Time","0.000022600","0.000019600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 27, 2022 19:06:19.474732700 Pacific Daylight Time","0.000023300","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 27, 2022 19:06:19.474752300 Pacific Daylight Time","0.000042900","0.000019600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 27, 2022 19:06:19.474752900 Pacific Daylight Time","0.000043500","0.000000600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 27, 2022 19:06:19.474753600 Pacific Daylight Time","0.000044200","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 27, 2022 19:06:19.474870200 Pacific Daylight Time","0.000160800","0.000116600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 19:06:19.474871000 Pacific Daylight Time","0.000161600","0.000000800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 27, 2022 19:06:19.474875600 Pacific Daylight Time","0.000166200","0.000004600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 27, 2022 19:06:19.474904700 Pacific Daylight Time","0.000195300","0.000029100","172.17.0.2","173.194.8.137","17","76","eth:ethertype:ip:udp:data","34",
"15","May 27, 2022 19:06:19.474940200 Pacific Daylight Time","0.000230800","0.000035500","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 27, 2022 19:06:19.474940900 Pacific Daylight Time","0.000231500","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 27, 2022 19:06:19.474941500 Pacific Daylight Time","0.000232100","0.000000600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 27, 2022 19:06:19.474942200 Pacific Daylight Time","0.000232800","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 27, 2022 19:06:19.474965700 Pacific Daylight Time","0.000256300","0.000023500","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 27, 2022 19:06:19.474981900 Pacific Daylight Time","0.000272500","0.000016200","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 27, 2022 19:06:19.475058500 Pacific Daylight Time","0.000349100","0.000076600","172.17.0.2","173.194.8.137","17","76","eth:ethertype:ip:udp:data","34",
"22","May 27, 2022 19:06:19.475109100 Pacific Daylight Time","0.000399700","0.000050600","172.17.0.2","173.194.8.137","17","76","eth:ethertype:ip:udp:data","34",
"23","May 27, 2022 19:06:19.475153900 Pacific Daylight Time","0.000444500","0.000044800","172.17.0.2","173.194.8.137","17","76","eth:ethertype:ip:udp:data","34",
"24","May 27, 2022 19:06:19.475326300 Pacific Daylight Time","0.000616900","0.000172400","172.17.0.2","173.194.8.137","17","76","eth:ethertype:ip:udp:data","34",
"25","May 27, 2022 19:06:19.480827100 Pacific Daylight Time","0.006117700","0.005500800","172.17.0.2","173.194.8.137","17","77","eth:ethertype:ip:udp:data","35",
"26","May 27, 2022 19:06:19.482730900 Pacific Daylight Time","0.008021500","0.001903800","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 27, 2022 19:06:19.482732400 Pacific Daylight Time","0.008023000","0.000001500","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 27, 2022 19:06:19.482733100 Pacific Daylight Time","0.008023700","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
