frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 28, 2022 17:11:21.306345800 Pacific Daylight Time","0.000000000","0.000000000","173.194.8.42","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"2","May 28, 2022 17:11:21.306346800 Pacific Daylight Time","0.000001000","0.000001000","173.194.8.42","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"3","May 28, 2022 17:11:21.306347400 Pacific Daylight Time","0.000001600","0.000000600","173.194.8.42","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"4","May 28, 2022 17:11:21.306359300 Pacific Daylight Time","0.000013500","0.000011900","172.17.0.2","173.194.8.42","17","75","eth:ethertype:ip:udp:data","33",
"5","May 28, 2022 17:11:21.306666900 Pacific Daylight Time","0.000321100","0.000307600","172.17.0.2","173.194.8.42","17","75","eth:ethertype:ip:udp:data","33",
"6","May 28, 2022 17:11:21.307595200 Pacific Daylight Time","0.001249400","0.000928300","173.194.8.42","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 28, 2022 17:11:21.307596300 Pacific Daylight Time","0.001250500","0.000001100","173.194.8.42","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 28, 2022 17:11:21.307597000 Pacific Daylight Time","0.001251200","0.000000700","173.194.8.42","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 28, 2022 17:11:21.307597600 Pacific Daylight Time","0.001251800","0.000000600","173.194.8.42","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 28, 2022 17:11:21.307598300 Pacific Daylight Time","0.001252500","0.000000700","173.194.8.42","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 28, 2022 17:11:21.307598900 Pacific Daylight Time","0.001253100","0.000000600","173.194.8.42","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
