frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 22:40:30.319292700 PDT","0.000000000","0.000000000","172.17.0.2","142.250.72.227","17","144","eth:ethertype:ip:udp:data","102"
"2","May 24, 2022 22:40:30.333054100 PDT","0.013761400","0.013761400","172.17.0.2","74.125.170.56","6","66","eth:ethertype:ip:tcp",
"3","May 24, 2022 22:40:30.343723100 PDT","0.024430400","0.010669000","172.17.0.2","172.217.14.86","17","119","eth:ethertype:ip:udp:data","77"
"4","May 24, 2022 22:40:30.345184400 PDT","0.025891700","0.001461300","172.17.0.2","142.251.40.33","17","1292","eth:ethertype:ip:udp:data","1250"
"5","May 24, 2022 22:40:30.345785000 PDT","0.026492300","0.000600600","172.17.0.2","142.250.72.238","17","1065","eth:ethertype:ip:udp:data","1023"
"6","May 24, 2022 22:40:30.346055600 PDT","0.026762900","0.000270600","172.17.0.2","142.250.72.238","17","483","eth:ethertype:ip:udp:data","441"
"7","May 24, 2022 22:40:30.346256300 PDT","0.026963600","0.000200700","172.17.0.2","142.250.72.238","17","819","eth:ethertype:ip:udp:data","777"
"8","May 24, 2022 22:40:30.356094700 PDT","0.036802000","0.009838400","142.250.72.227","172.17.0.2","17","187","eth:ethertype:ip:udp:data","145"
"9","May 24, 2022 22:40:30.356387500 PDT","0.037094800","0.000292800","172.17.0.2","142.250.72.227","17","77","eth:ethertype:ip:udp:data","35"
"10","May 24, 2022 22:40:30.357878300 PDT","0.038585600","0.001490800","142.250.72.227","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"11","May 24, 2022 22:40:30.357891000 PDT","0.038598300","0.000012700","142.250.72.227","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"12","May 24, 2022 22:40:30.357895000 PDT","0.038602300","0.000004000","142.250.72.227","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"13","May 24, 2022 22:40:30.357930500 PDT","0.038637800","0.000035500","142.250.72.227","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"14","May 24, 2022 22:40:30.357931600 PDT","0.038638900","0.000001100","142.250.72.227","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"15","May 24, 2022 22:40:30.357932600 PDT","0.038639900","0.000001000","142.250.72.227","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"16","May 24, 2022 22:40:30.357944100 PDT","0.038651400","0.000011500","142.250.72.227","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"17","May 24, 2022 22:40:30.357945400 PDT","0.038652700","0.000001300","142.250.72.227","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
