frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 28, 2022 17:16:10.866058800 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.8.42","6","66","eth:ethertype:ip:tcp",,
"2","May 28, 2022 17:16:11.185963600 Pacific Daylight Time","0.319904800","0.319904800","172.17.0.2","74.125.103.199","6","66","eth:ethertype:ip:tcp",,
"3","May 28, 2022 17:16:11.185970800 Pacific Daylight Time","0.319912000","0.000007200","172.17.0.2","74.125.103.199","6","66","eth:ethertype:ip:tcp",,
"4","May 28, 2022 17:16:11.185972100 Pacific Daylight Time","0.319913300","0.000001300","172.17.0.2","173.194.8.42","6","66","eth:ethertype:ip:tcp",,
"5","May 28, 2022 17:16:12.068350200 Pacific Daylight Time","1.202291400","0.882378100","172.17.0.2","142.250.68.86","17","206","eth:ethertype:ip:udp:data","164",
"6","May 28, 2022 17:16:12.098200300 Pacific Daylight Time","1.232141500","0.029850100","142.250.68.86","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"7","May 28, 2022 17:16:12.123625500 Pacific Daylight Time","1.257566700","0.025425200","172.17.0.2","142.250.68.86","17","75","eth:ethertype:ip:udp:data","33",
"8","May 28, 2022 17:16:12.141516600 Pacific Daylight Time","1.275457800","0.017891100","142.250.68.86","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"9","May 28, 2022 17:16:12.141518800 Pacific Daylight Time","1.275460000","0.000002200","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 28, 2022 17:16:12.141519800 Pacific Daylight Time","1.275461000","0.000001000","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 28, 2022 17:16:12.141520800 Pacific Daylight Time","1.275462000","0.000001000","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 28, 2022 17:16:12.141521800 Pacific Daylight Time","1.275463000","0.000001000","142.250.68.86","172.17.0.2","17","123","eth:ethertype:ip:udp:data","81",
"13","May 28, 2022 17:16:12.141786600 Pacific Daylight Time","1.275727800","0.000264800","172.17.0.2","142.250.68.86","17","77","eth:ethertype:ip:udp:data","35",
"14","May 28, 2022 17:16:12.141861700 Pacific Daylight Time","1.275802900","0.000075100","172.17.0.2","142.250.68.86","17","75","eth:ethertype:ip:udp:data","33",
"15","May 28, 2022 17:16:12.141902400 Pacific Daylight Time","1.275843600","0.000040700","172.17.0.2","142.250.68.86","17","75","eth:ethertype:ip:udp:data","33",
"16","May 28, 2022 17:16:12.199423700 Pacific Daylight Time","1.333364900","0.057521300","142.250.68.86","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"17","May 28, 2022 17:16:12.315751700 Pacific Daylight Time","1.449692900","0.116328000","172.17.0.2","142.251.40.46","17","753","eth:ethertype:ip:udp:data","711",
"18","May 28, 2022 17:16:12.318363600 Pacific Daylight Time","1.452304800","0.002611900","172.17.0.2","142.251.40.46","17","275","eth:ethertype:ip:udp:data","233",
"19","May 28, 2022 17:16:12.361608600 Pacific Daylight Time","1.495549800","0.043245000","142.251.40.46","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"20","May 28, 2022 17:16:12.366124400 Pacific Daylight Time","1.500065600","0.004515800","142.251.40.46","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"21","May 28, 2022 17:16:12.373599200 Pacific Daylight Time","1.507540400","0.007474800","172.17.0.2","142.251.40.46","17","75","eth:ethertype:ip:udp:data","33",
"22","May 28, 2022 17:16:12.450523200 Pacific Daylight Time","1.584464400","0.076924000","142.251.40.46","172.17.0.2","17","112","eth:ethertype:ip:udp:data","70",
"23","May 28, 2022 17:16:12.450524300 Pacific Daylight Time","1.584465500","0.000001100","142.251.40.46","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"24","May 28, 2022 17:16:12.450524800 Pacific Daylight Time","1.584466000","0.000000500","142.251.40.46","172.17.0.2","17","83","eth:ethertype:ip:udp:data","41",
"25","May 28, 2022 17:16:12.450525400 Pacific Daylight Time","1.584466600","0.000000600","142.251.40.46","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"26","May 28, 2022 17:16:12.450799400 Pacific Daylight Time","1.584740600","0.000274000","172.17.0.2","142.251.40.46","17","78","eth:ethertype:ip:udp:data","36",
"27","May 28, 2022 17:16:12.450916700 Pacific Daylight Time","1.584857900","0.000117300","172.17.0.2","142.251.40.46","17","78","eth:ethertype:ip:udp:data","36",
"28","May 28, 2022 17:16:12.462808500 Pacific Daylight Time","1.596749700","0.011891800","172.17.0.2","142.251.40.46","17","75","eth:ethertype:ip:udp:data","33",
"29","May 28, 2022 17:16:12.465723300 Pacific Daylight Time","1.599664500","0.002914800","142.251.40.46","172.17.0.2","17","112","eth:ethertype:ip:udp:data","70",
"30","May 28, 2022 17:16:12.465922000 Pacific Daylight Time","1.599863200","0.000198700","172.17.0.2","142.251.40.46","17","76","eth:ethertype:ip:udp:data","34",
"31","May 28, 2022 17:16:12.508627100 Pacific Daylight Time","1.642568300","0.042705100","142.251.40.46","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"32","May 28, 2022 17:16:13.310547200 Pacific Daylight Time","2.444488400","0.801920100","172.17.0.2","74.125.103.201","17","1052","eth:ethertype:ip:udp:data","1010",
"33","May 28, 2022 17:16:13.358811500 Pacific Daylight Time","2.492752700","0.048264300","74.125.103.201","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"34","May 28, 2022 17:16:13.359160800 Pacific Daylight Time","2.493102000","0.000349300","74.125.103.201","172.17.0.2","17","164","eth:ethertype:ip:udp:data","122",
"35","May 28, 2022 17:16:13.359371000 Pacific Daylight Time","2.493312200","0.000210200","172.17.0.2","74.125.103.201","17","78","eth:ethertype:ip:udp:data","36",
"36","May 28, 2022 17:16:13.359647000 Pacific Daylight Time","2.493588200","0.000276000","74.125.103.201","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"37","May 28, 2022 17:16:13.360517400 Pacific Daylight Time","2.494458600","0.000870400","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"38","May 28, 2022 17:16:13.360518400 Pacific Daylight Time","2.494459600","0.000001000","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"39","May 28, 2022 17:16:13.360519200 Pacific Daylight Time","2.494460400","0.000000800","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"40","May 28, 2022 17:16:13.360519900 Pacific Daylight Time","2.494461100","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"41","May 28, 2022 17:16:13.360520600 Pacific Daylight Time","2.494461800","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"42","May 28, 2022 17:16:13.360521300 Pacific Daylight Time","2.494462500","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"43","May 28, 2022 17:16:13.360522000 Pacific Daylight Time","2.494463200","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"44","May 28, 2022 17:16:13.360522700 Pacific Daylight Time","2.494463900","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"45","May 28, 2022 17:16:13.360540200 Pacific Daylight Time","2.494481400","0.000017500","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"46","May 28, 2022 17:16:13.360540900 Pacific Daylight Time","2.494482100","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"47","May 28, 2022 17:16:13.360654900 Pacific Daylight Time","2.494596100","0.000114000","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"48","May 28, 2022 17:16:13.360655800 Pacific Daylight Time","2.494597000","0.000000900","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"49","May 28, 2022 17:16:13.360656600 Pacific Daylight Time","2.494597800","0.000000800","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"50","May 28, 2022 17:16:13.360657300 Pacific Daylight Time","2.494598500","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"51","May 28, 2022 17:16:13.360671300 Pacific Daylight Time","2.494612500","0.000014000","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"52","May 28, 2022 17:16:13.360804200 Pacific Daylight Time","2.494745400","0.000132900","172.17.0.2","74.125.103.201","17","75","eth:ethertype:ip:udp:data","33",
"53","May 28, 2022 17:16:13.361272500 Pacific Daylight Time","2.495213700","0.000468300","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"54","May 28, 2022 17:16:13.361273400 Pacific Daylight Time","2.495214600","0.000000900","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"55","May 28, 2022 17:16:13.361964000 Pacific Daylight Time","2.495905200","0.000690600","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"56","May 28, 2022 17:16:13.361965000 Pacific Daylight Time","2.495906200","0.000001000","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"57","May 28, 2022 17:16:13.361965600 Pacific Daylight Time","2.495906800","0.000000600","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"58","May 28, 2022 17:16:13.361966200 Pacific Daylight Time","2.495907400","0.000000600","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"59","May 28, 2022 17:16:13.361966900 Pacific Daylight Time","2.495908100","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"60","May 28, 2022 17:16:13.361967500 Pacific Daylight Time","2.495908700","0.000000600","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"61","May 28, 2022 17:16:13.362137400 Pacific Daylight Time","2.496078600","0.000169900","172.17.0.2","74.125.103.201","17","75","eth:ethertype:ip:udp:data","33",
"62","May 28, 2022 17:16:13.364276700 Pacific Daylight Time","2.498217900","0.002139300","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"63","May 28, 2022 17:16:13.364278100 Pacific Daylight Time","2.498219300","0.000001400","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"64","May 28, 2022 17:16:13.364327600 Pacific Daylight Time","2.498268800","0.000049500","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"65","May 28, 2022 17:16:13.364328500 Pacific Daylight Time","2.498269700","0.000000900","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"66","May 28, 2022 17:16:13.364408200 Pacific Daylight Time","2.498349400","0.000079700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"67","May 28, 2022 17:16:13.364409100 Pacific Daylight Time","2.498350300","0.000000900","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"68","May 28, 2022 17:16:13.364409900 Pacific Daylight Time","2.498351100","0.000000800","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"69","May 28, 2022 17:16:13.364410500 Pacific Daylight Time","2.498351700","0.000000600","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"70","May 28, 2022 17:16:13.364684600 Pacific Daylight Time","2.498625800","0.000274100","172.17.0.2","74.125.103.201","17","75","eth:ethertype:ip:udp:data","33",
"71","May 28, 2022 17:16:13.364917500 Pacific Daylight Time","2.498858700","0.000232900","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"72","May 28, 2022 17:16:13.364918500 Pacific Daylight Time","2.498859700","0.000001000","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"73","May 28, 2022 17:16:13.364919200 Pacific Daylight Time","2.498860400","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"74","May 28, 2022 17:16:13.364919900 Pacific Daylight Time","2.498861100","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"75","May 28, 2022 17:16:13.365860600 Pacific Daylight Time","2.499801800","0.000940700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"76","May 28, 2022 17:16:13.365861700 Pacific Daylight Time","2.499802900","0.000001100","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"77","May 28, 2022 17:16:13.365862400 Pacific Daylight Time","2.499803600","0.000000700","74.125.103.201","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
