frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 20:56:19.735962100 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","142.251.40.54","17","206","eth:ethertype:ip:udp:data","164",
"2","May 27, 2022 20:56:19.769655200 Pacific Daylight Time","0.033693100","0.033693100","142.251.40.54","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"3","May 27, 2022 20:56:19.771267100 Pacific Daylight Time","0.035305000","0.001611900","142.251.40.54","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"4","May 27, 2022 20:56:19.771352900 Pacific Daylight Time","0.035390800","0.000085800","142.251.40.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"5","May 27, 2022 20:56:19.771354400 Pacific Daylight Time","0.035392300","0.000001500","142.251.40.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 27, 2022 20:56:19.771590300 Pacific Daylight Time","0.035628200","0.000235900","172.17.0.2","142.251.40.54","17","77","eth:ethertype:ip:udp:data","35",
"7","May 27, 2022 20:56:19.771678900 Pacific Daylight Time","0.035716800","0.000088600","172.17.0.2","142.251.40.54","17","75","eth:ethertype:ip:udp:data","33",
"8","May 27, 2022 20:56:19.772752100 Pacific Daylight Time","0.036790000","0.001073200","142.251.40.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 27, 2022 20:56:19.772753200 Pacific Daylight Time","0.036791100","0.000001100","142.251.40.54","172.17.0.2","17","128","eth:ethertype:ip:udp:data","86",
"10","May 27, 2022 20:56:19.772919100 Pacific Daylight Time","0.036957000","0.000165900","172.17.0.2","142.251.40.54","17","75","eth:ethertype:ip:udp:data","33",
"11","May 27, 2022 20:56:19.849718000 Pacific Daylight Time","0.113755900","0.076798900","142.251.40.54","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"12","May 27, 2022 20:56:20.013947700 Pacific Daylight Time","0.277985600","0.164229700","172.17.0.2","142.250.72.238","17","746","eth:ethertype:ip:udp:data","704",
"13","May 27, 2022 20:56:20.016670900 Pacific Daylight Time","0.280708800","0.002723200","172.17.0.2","142.250.72.238","17","274","eth:ethertype:ip:udp:data","232",
"14","May 27, 2022 20:56:20.046145500 Pacific Daylight Time","0.310183400","0.029474600","142.250.72.238","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"15","May 27, 2022 20:56:20.051197800 Pacific Daylight Time","0.315235700","0.005052300","142.250.72.238","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"16","May 27, 2022 20:56:20.055560000 Pacific Daylight Time","0.319597900","0.004362200","172.17.0.2","142.250.72.238","17","75","eth:ethertype:ip:udp:data","33",
"17","May 27, 2022 20:56:20.071935800 Pacific Daylight Time","0.335973700","0.016375800","142.250.72.238","172.17.0.2","17","112","eth:ethertype:ip:udp:data","70",
"18","May 27, 2022 20:56:20.071936900 Pacific Daylight Time","0.335974800","0.000001100","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"19","May 27, 2022 20:56:20.072144500 Pacific Daylight Time","0.336182400","0.000207600","172.17.0.2","142.250.72.238","17","78","eth:ethertype:ip:udp:data","36",
"20","May 27, 2022 20:56:20.075626700 Pacific Daylight Time","0.339664600","0.003482200","142.250.72.238","172.17.0.2","17","83","eth:ethertype:ip:udp:data","41",
"21","May 27, 2022 20:56:20.075874000 Pacific Daylight Time","0.339911900","0.000247300","172.17.0.2","142.250.72.238","17","78","eth:ethertype:ip:udp:data","36",
"22","May 27, 2022 20:56:20.076078400 Pacific Daylight Time","0.340116300","0.000204400","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"23","May 27, 2022 20:56:20.086071400 Pacific Daylight Time","0.350109300","0.009993000","172.17.0.2","142.250.72.238","17","75","eth:ethertype:ip:udp:data","33",
"24","May 27, 2022 20:56:20.109574900 Pacific Daylight Time","0.373612800","0.023503500","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
