frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 18:42:11.442517700 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.8.138","6","66","eth:ethertype:ip:tcp",,
"2","May 27, 2022 18:42:11.627690500 Pacific Daylight Time","0.185172800","0.185172800","172.17.0.2","142.250.217.131","17","144","eth:ethertype:ip:udp:data","102",
"3","May 27, 2022 18:42:11.653498300 Pacific Daylight Time","0.210980600","0.025807800","172.17.0.2","142.250.68.86","17","119","eth:ethertype:ip:udp:data","77",
"4","May 27, 2022 18:42:11.653906300 Pacific Daylight Time","0.211388600","0.000408000","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls:tls",,"quic"
"5","May 27, 2022 18:42:11.654520400 Pacific Daylight Time","0.212002700","0.000614100","172.17.0.2","172.217.14.78","17","1083","eth:ethertype:ip:udp:data","1041",
"6","May 27, 2022 18:42:11.654778400 Pacific Daylight Time","0.212260700","0.000258000","172.17.0.2","172.217.14.78","17","487","eth:ethertype:ip:udp:data","445",
"7","May 27, 2022 18:42:11.655009600 Pacific Daylight Time","0.212491900","0.000231200","172.17.0.2","172.217.14.78","17","816","eth:ethertype:ip:udp:data","774",
"8","May 27, 2022 18:42:11.665935500 Pacific Daylight Time","0.223417800","0.010925900","172.17.0.2","142.250.68.86","17","207","eth:ethertype:ip:udp:data","165",
"9","May 27, 2022 18:42:11.666524500 Pacific Daylight Time","0.224006800","0.000589000","142.250.217.131","172.17.0.2","17","188","eth:ethertype:ip:udp:data","146",
"10","May 27, 2022 18:42:11.666810300 Pacific Daylight Time","0.224292600","0.000285800","172.17.0.2","142.250.217.131","17","77","eth:ethertype:ip:udp:data","35",
"11","May 27, 2022 18:42:11.667192600 Pacific Daylight Time","0.224674900","0.000382300","142.250.217.131","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"12","May 27, 2022 18:42:11.667193800 Pacific Daylight Time","0.224676100","0.000001200","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 27, 2022 18:42:11.667202600 Pacific Daylight Time","0.224684900","0.000008800","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 27, 2022 18:42:11.667203300 Pacific Daylight Time","0.224685600","0.000000700","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 27, 2022 18:42:11.667209600 Pacific Daylight Time","0.224691900","0.000006300","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 27, 2022 18:42:11.667217500 Pacific Daylight Time","0.224699800","0.000007900","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 27, 2022 18:42:11.667246300 Pacific Daylight Time","0.224728600","0.000028800","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 27, 2022 18:42:11.667247400 Pacific Daylight Time","0.224729700","0.000001100","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 27, 2022 18:42:11.667248400 Pacific Daylight Time","0.224730700","0.000001000","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 27, 2022 18:42:11.667254800 Pacific Daylight Time","0.224737100","0.000006400","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 27, 2022 18:42:11.667312600 Pacific Daylight Time","0.224794900","0.000057800","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 27, 2022 18:42:11.667898500 Pacific Daylight Time","0.225380800","0.000585900","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"23","May 27, 2022 18:42:11.668037900 Pacific Daylight Time","0.225520200","0.000139400","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"24","May 27, 2022 18:42:11.668110500 Pacific Daylight Time","0.225592800","0.000072600","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"25","May 27, 2022 18:42:11.668209600 Pacific Daylight Time","0.225691900","0.000099100","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"26","May 27, 2022 18:42:11.668254300 Pacific Daylight Time","0.225736600","0.000044700","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"27","May 27, 2022 18:42:11.669233900 Pacific Daylight Time","0.226716200","0.000979600","142.250.217.131","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 27, 2022 18:42:11.669235100 Pacific Daylight Time","0.226717400","0.000001200","142.250.217.131","172.17.0.2","17","1207","eth:ethertype:ip:udp:data","1165",
"29","May 27, 2022 18:42:11.669427100 Pacific Daylight Time","0.226909400","0.000192000","172.17.0.2","142.250.217.131","17","75","eth:ethertype:ip:udp:data","33",
"30","May 27, 2022 18:42:11.681518400 Pacific Daylight Time","0.239000700","0.012091300","172.17.0.2","172.217.14.78","17","1067","eth:ethertype:ip:udp:data","1025",
"31","May 27, 2022 18:42:11.683769500 Pacific Daylight Time","0.241251800","0.002251100","142.250.68.86","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"32","May 27, 2022 18:42:11.690543800 Pacific Daylight Time","0.248026100","0.006774300","172.217.14.78","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"33","May 27, 2022 18:42:11.692746700 Pacific Daylight Time","0.250229000","0.002202900","172.217.14.78","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"34","May 27, 2022 18:42:11.692749100 Pacific Daylight Time","0.250231400","0.000002400","172.217.14.78","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"35","May 27, 2022 18:42:11.692750200 Pacific Daylight Time","0.250232500","0.000001100","172.217.14.78","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"36","May 27, 2022 18:42:11.694876200 Pacific Daylight Time","0.252358500","0.002126000","142.250.68.86","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"37","May 27, 2022 18:42:11.694878300 Pacific Daylight Time","0.252360600","0.000002100","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"38","May 27, 2022 18:42:11.694879300 Pacific Daylight Time","0.252361600","0.000001000","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"39","May 27, 2022 18:42:11.694899200 Pacific Daylight Time","0.252381500","0.000019900","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"40","May 27, 2022 18:42:11.695140800 Pacific Daylight Time","0.252623100","0.000241600","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"41","May 27, 2022 18:42:11.695151700 Pacific Daylight Time","0.252634000","0.000010900","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"42","May 27, 2022 18:42:11.695153000 Pacific Daylight Time","0.252635300","0.000001300","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"43","May 27, 2022 18:42:11.695183500 Pacific Daylight Time","0.252665800","0.000030500","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"44","May 27, 2022 18:42:11.695212700 Pacific Daylight Time","0.252695000","0.000029200","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"45","May 27, 2022 18:42:11.695213800 Pacific Daylight Time","0.252696100","0.000001100","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"46","May 27, 2022 18:42:11.695287400 Pacific Daylight Time","0.252769700","0.000073600","142.250.68.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"47","May 27, 2022 18:42:11.695338800 Pacific Daylight Time","0.252821100","0.000051400","172.17.0.2","142.250.68.86","17","77","eth:ethertype:ip:udp:data","35",
"48","May 27, 2022 18:42:11.695440300 Pacific Daylight Time","0.252922600","0.000101500","172.17.0.2","142.250.68.86","17","75","eth:ethertype:ip:udp:data","33",
"49","May 27, 2022 18:42:11.695501400 Pacific Daylight Time","0.252983700","0.000061100","172.17.0.2","142.250.68.86","17","75","eth:ethertype:ip:udp:data","33",
