frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 28, 2022 17:30:35.746068500 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.8.105","6","66","eth:ethertype:ip:tcp",,
"2","May 28, 2022 17:30:35.746076500 Pacific Daylight Time","0.000008000","0.000008000","172.17.0.2","173.194.8.105","6","66","eth:ethertype:ip:tcp",,
"3","May 28, 2022 17:30:35.746078000 Pacific Daylight Time","0.000009500","0.000001500","172.17.0.2","173.194.8.105","6","66","eth:ethertype:ip:tcp",,
"4","May 28, 2022 17:30:36.066073200 Pacific Daylight Time","0.320004700","0.319995200","172.17.0.2","173.194.8.105","6","66","eth:ethertype:ip:tcp",,
"5","May 28, 2022 17:30:37.446534300 Pacific Daylight Time","1.700465800","1.380461100","172.17.0.2","142.250.72.163","17","144","eth:ethertype:ip:udp:data","102",
"6","May 28, 2022 17:30:37.470294100 Pacific Daylight Time","1.724225600","0.023759800","172.17.0.2","142.250.189.22","17","119","eth:ethertype:ip:udp:data","77",
"7","May 28, 2022 17:30:37.473039900 Pacific Daylight Time","1.726971400","0.002745800","172.17.0.2","172.217.14.97","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls:tls:tls:tls:tls",,"quic"
"8","May 28, 2022 17:30:37.473475100 Pacific Daylight Time","1.727406600","0.000435200","172.17.0.2","172.20.176.1","17","78","eth:ethertype:ip:udp:dns",,
"9","May 28, 2022 17:30:37.474150800 Pacific Daylight Time","1.728082300","0.000675700","172.17.0.2","172.20.176.1","17","85","eth:ethertype:ip:udp:dns",,
"10","May 28, 2022 17:30:37.474441900 Pacific Daylight Time","1.728373400","0.000291100","172.17.0.2","142.250.68.14","17","1203","eth:ethertype:ip:udp:data","1161",
"11","May 28, 2022 17:30:37.474707400 Pacific Daylight Time","1.728638900","0.000265500","172.17.0.2","142.250.68.14","17","488","eth:ethertype:ip:udp:data","446",
"12","May 28, 2022 17:30:37.474974700 Pacific Daylight Time","1.728906200","0.000267300","172.17.0.2","142.250.68.14","17","817","eth:ethertype:ip:udp:data","775",
"13","May 28, 2022 17:30:37.475199200 Pacific Daylight Time","1.729130700","0.000224500","172.17.0.2","142.250.68.2","17","738","eth:ethertype:ip:udp:data","696",
"14","May 28, 2022 17:30:37.479463600 Pacific Daylight Time","1.733395100","0.004264400","142.250.72.163","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"15","May 28, 2022 17:30:37.480892000 Pacific Daylight Time","1.734823500","0.001428400","142.250.72.163","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"16","May 28, 2022 17:30:37.480893800 Pacific Daylight Time","1.734825300","0.000001800","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 28, 2022 17:30:37.480894800 Pacific Daylight Time","1.734826300","0.000001000","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 28, 2022 17:30:37.480895600 Pacific Daylight Time","1.734827100","0.000000800","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 28, 2022 17:30:37.480896500 Pacific Daylight Time","1.734828000","0.000000900","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 28, 2022 17:30:37.480897500 Pacific Daylight Time","1.734829000","0.000001000","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 28, 2022 17:30:37.480898500 Pacific Daylight Time","1.734830000","0.000001000","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 28, 2022 17:30:37.480899600 Pacific Daylight Time","1.734831100","0.000001100","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 28, 2022 17:30:37.480906800 Pacific Daylight Time","1.734838300","0.000007200","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 28, 2022 17:30:37.480907900 Pacific Daylight Time","1.734839400","0.000001100","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 28, 2022 17:30:37.480986700 Pacific Daylight Time","1.734918200","0.000078800","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 28, 2022 17:30:37.480988100 Pacific Daylight Time","1.734919600","0.000001400","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 28, 2022 17:30:37.480989100 Pacific Daylight Time","1.734920600","0.000001000","142.250.72.163","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
