frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 20:20:06.562676700 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.8.39","6","66","eth:ethertype:ip:tcp",,
"2","May 27, 2022 20:20:06.851044300 Pacific Daylight Time","0.288367600","0.288367600","142.250.217.129","172.17.0.2","6","74","eth:ethertype:ip:tcp",,
"3","May 27, 2022 20:20:06.851054800 Pacific Daylight Time","0.288378100","0.000010500","172.17.0.2","142.250.217.129","6","54","eth:ethertype:ip:tcp",,
"4","May 27, 2022 20:20:08.224337600 Pacific Daylight Time","1.661660900","1.373282800","172.17.0.2","142.250.68.35","17","144","eth:ethertype:ip:udp:data","102",
"5","May 27, 2022 20:20:08.239294300 Pacific Daylight Time","1.676617600","0.014956700","142.250.68.35","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"6","May 27, 2022 20:20:08.249915100 Pacific Daylight Time","1.687238400","0.010620800","172.17.0.2","142.250.217.150","17","119","eth:ethertype:ip:udp:data","77",
"7","May 27, 2022 20:20:08.252837000 Pacific Daylight Time","1.690160300","0.002921900","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls",,"quic"
"8","May 27, 2022 20:20:08.253391300 Pacific Daylight Time","1.690714600","0.000554300","172.17.0.2","172.20.176.1","17","78","eth:ethertype:ip:udp:dns",,
"9","May 27, 2022 20:20:08.253875300 Pacific Daylight Time","1.691198600","0.000484000","172.17.0.2","172.20.176.1","17","85","eth:ethertype:ip:udp:dns",,
"10","May 27, 2022 20:20:08.254069900 Pacific Daylight Time","1.691393200","0.000194600","172.17.0.2","142.250.188.238","17","1200","eth:ethertype:ip:udp:data","1158",
"11","May 27, 2022 20:20:08.254352200 Pacific Daylight Time","1.691675500","0.000282300","172.17.0.2","142.250.188.238","17","481","eth:ethertype:ip:udp:data","439",
"12","May 27, 2022 20:20:08.254620300 Pacific Daylight Time","1.691943600","0.000268100","172.17.0.2","142.250.188.238","17","807","eth:ethertype:ip:udp:data","765",
"13","May 27, 2022 20:20:08.254793300 Pacific Daylight Time","1.692116600","0.000173000","172.17.0.2","142.250.68.66","17","737","eth:ethertype:ip:udp:data","695",
"14","May 27, 2022 20:20:08.261010300 Pacific Daylight Time","1.698333600","0.006217000","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 27, 2022 20:20:08.261011500 Pacific Daylight Time","1.698334800","0.000001200","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 27, 2022 20:20:08.261012100 Pacific Daylight Time","1.698335400","0.000000600","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 27, 2022 20:20:08.261012800 Pacific Daylight Time","1.698336100","0.000000700","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 27, 2022 20:20:08.261074600 Pacific Daylight Time","1.698397900","0.000061800","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 27, 2022 20:20:08.261075500 Pacific Daylight Time","1.698398800","0.000000900","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 27, 2022 20:20:08.261114300 Pacific Daylight Time","1.698437600","0.000038800","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 27, 2022 20:20:08.261145500 Pacific Daylight Time","1.698468800","0.000031200","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 27, 2022 20:20:08.261178800 Pacific Daylight Time","1.698502100","0.000033300","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 27, 2022 20:20:08.261184100 Pacific Daylight Time","1.698507400","0.000005300","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 27, 2022 20:20:08.261184900 Pacific Daylight Time","1.698508200","0.000000800","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"25","May 27, 2022 20:20:08.261253200 Pacific Daylight Time","1.698576500","0.000068300","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"26","May 27, 2022 20:20:08.261279700 Pacific Daylight Time","1.698603000","0.000026500","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"27","May 27, 2022 20:20:08.261304400 Pacific Daylight Time","1.698627700","0.000024700","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"28","May 27, 2022 20:20:08.261384900 Pacific Daylight Time","1.698708200","0.000080500","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"29","May 27, 2022 20:20:08.261385400 Pacific Daylight Time","1.698708700","0.000000500","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 27, 2022 20:20:08.261386400 Pacific Daylight Time","1.698709700","0.000001000","142.250.68.35","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"31","May 27, 2022 20:20:08.261387000 Pacific Daylight Time","1.698710300","0.000000600","142.250.68.35","172.17.0.2","17","80","eth:ethertype:ip:udp:data","38",
"32","May 27, 2022 20:20:08.261421200 Pacific Daylight Time","1.698744500","0.000034200","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"33","May 27, 2022 20:20:08.261468700 Pacific Daylight Time","1.698792000","0.000047500","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"34","May 27, 2022 20:20:08.261503100 Pacific Daylight Time","1.698826400","0.000034400","172.17.0.2","142.250.68.35","17","75","eth:ethertype:ip:udp:data","33",
"35","May 27, 2022 20:20:08.265458200 Pacific Daylight Time","1.702781500","0.003955100","172.17.0.2","142.250.217.150","17","207","eth:ethertype:ip:udp:data","165",
"36","May 27, 2022 20:20:08.280358500 Pacific Daylight Time","1.717681800","0.014900300","172.17.0.2","142.250.188.238","17","1063","eth:ethertype:ip:udp:data","1021",
