frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 23:32:34.378372100 Pacific Daylight Time","0.000000000","0.000000000","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"2","May 25, 2022 23:32:34.378373200 Pacific Daylight Time","0.000001100","0.000001100","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"3","May 25, 2022 23:32:34.378373900 Pacific Daylight Time","0.000001800","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"4","May 25, 2022 23:32:34.378374500 Pacific Daylight Time","0.000002400","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"5","May 25, 2022 23:32:34.378375200 Pacific Daylight Time","0.000003100","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 25, 2022 23:32:34.378375800 Pacific Daylight Time","0.000003700","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 25, 2022 23:32:34.378376500 Pacific Daylight Time","0.000004400","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 25, 2022 23:32:34.378377100 Pacific Daylight Time","0.000005000","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 25, 2022 23:32:34.378383500 Pacific Daylight Time","0.000011400","0.000006400","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 25, 2022 23:32:34.378384100 Pacific Daylight Time","0.000012000","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 25, 2022 23:32:34.378384700 Pacific Daylight Time","0.000012600","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 25, 2022 23:32:34.378385400 Pacific Daylight Time","0.000013300","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 25, 2022 23:32:34.378438500 Pacific Daylight Time","0.000066400","0.000053100","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 25, 2022 23:32:34.378568900 Pacific Daylight Time","0.000196800","0.000130400","172.17.0.2","74.125.157.105","17","76","eth:ethertype:ip:udp:data","34",
"15","May 25, 2022 23:32:34.378614000 Pacific Daylight Time","0.000241900","0.000045100","172.17.0.2","74.125.157.105","17","76","eth:ethertype:ip:udp:data","34",
"16","May 25, 2022 23:32:34.378638500 Pacific Daylight Time","0.000266400","0.000024500","172.17.0.2","74.125.157.105","17","76","eth:ethertype:ip:udp:data","34",
"17","May 25, 2022 23:32:34.378661300 Pacific Daylight Time","0.000289200","0.000022800","172.17.0.2","74.125.157.105","17","76","eth:ethertype:ip:udp:data","34",
"18","May 25, 2022 23:32:34.379226200 Pacific Daylight Time","0.000854100","0.000564900","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 25, 2022 23:32:34.379227000 Pacific Daylight Time","0.000854900","0.000000800","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 25, 2022 23:32:34.379227700 Pacific Daylight Time","0.000855600","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 25, 2022 23:32:34.379228300 Pacific Daylight Time","0.000856200","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 25, 2022 23:32:34.379228900 Pacific Daylight Time","0.000856800","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 25, 2022 23:32:34.379229500 Pacific Daylight Time","0.000857400","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 25, 2022 23:32:34.379230200 Pacific Daylight Time","0.000858100","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 25, 2022 23:32:34.379230800 Pacific Daylight Time","0.000858700","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 25, 2022 23:32:34.379235500 Pacific Daylight Time","0.000863400","0.000004700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 25, 2022 23:32:34.379236100 Pacific Daylight Time","0.000864000","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 25, 2022 23:32:34.379236700 Pacific Daylight Time","0.000864600","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"29","May 25, 2022 23:32:34.379392700 Pacific Daylight Time","0.001020600","0.000156000","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 25, 2022 23:32:34.379393600 Pacific Daylight Time","0.001021500","0.000000900","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"31","May 25, 2022 23:32:34.379394200 Pacific Daylight Time","0.001022100","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"32","May 25, 2022 23:32:34.379402500 Pacific Daylight Time","0.001030400","0.000008300","172.17.0.2","74.125.157.105","17","78","eth:ethertype:ip:udp:data","36",
"33","May 25, 2022 23:32:34.379473800 Pacific Daylight Time","0.001101700","0.000071300","172.17.0.2","74.125.157.105","17","78","eth:ethertype:ip:udp:data","36",
"34","May 25, 2022 23:32:34.379498200 Pacific Daylight Time","0.001126100","0.000024400","172.17.0.2","74.125.157.105","17","78","eth:ethertype:ip:udp:data","36",
"35","May 25, 2022 23:32:34.379521000 Pacific Daylight Time","0.001148900","0.000022800","172.17.0.2","74.125.157.105","17","78","eth:ethertype:ip:udp:data","36",
"36","May 25, 2022 23:32:34.379743800 Pacific Daylight Time","0.001371700","0.000222800","172.17.0.2","74.125.157.105","17","78","eth:ethertype:ip:udp:data","36",
"37","May 25, 2022 23:32:34.384910400 Pacific Daylight Time","0.006538300","0.005166600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"38","May 25, 2022 23:32:34.384912000 Pacific Daylight Time","0.006539900","0.000001600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"39","May 25, 2022 23:32:34.384912700 Pacific Daylight Time","0.006540600","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"40","May 25, 2022 23:32:34.384913400 Pacific Daylight Time","0.006541300","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"41","May 25, 2022 23:32:34.384914100 Pacific Daylight Time","0.006542000","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"42","May 25, 2022 23:32:34.384914700 Pacific Daylight Time","0.006542600","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"43","May 25, 2022 23:32:34.384915600 Pacific Daylight Time","0.006543500","0.000000900","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"44","May 25, 2022 23:32:34.384916300 Pacific Daylight Time","0.006544200","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"45","May 25, 2022 23:32:34.384924700 Pacific Daylight Time","0.006552600","0.000008400","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"46","May 25, 2022 23:32:34.384925400 Pacific Daylight Time","0.006553300","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"47","May 25, 2022 23:32:34.385023300 Pacific Daylight Time","0.006651200","0.000097900","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"48","May 25, 2022 23:32:34.385034000 Pacific Daylight Time","0.006661900","0.000010700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"49","May 25, 2022 23:32:34.385096700 Pacific Daylight Time","0.006724600","0.000062700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"50","May 25, 2022 23:32:34.385098300 Pacific Daylight Time","0.006726200","0.000001600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"51","May 25, 2022 23:32:34.385099100 Pacific Daylight Time","0.006727000","0.000000800","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"52","May 25, 2022 23:32:34.385110200 Pacific Daylight Time","0.006738100","0.000011100","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"53","May 25, 2022 23:32:34.385141200 Pacific Daylight Time","0.006769100","0.000031000","172.17.0.2","74.125.157.105","17","80","eth:ethertype:ip:udp:data","38",
"54","May 25, 2022 23:32:34.385227600 Pacific Daylight Time","0.006855500","0.000086400","172.17.0.2","74.125.157.105","17","80","eth:ethertype:ip:udp:data","38",
"55","May 25, 2022 23:32:34.385287800 Pacific Daylight Time","0.006915700","0.000060200","172.17.0.2","74.125.157.105","17","80","eth:ethertype:ip:udp:data","38",
"56","May 25, 2022 23:32:34.385341300 Pacific Daylight Time","0.006969200","0.000053500","172.17.0.2","74.125.157.105","17","80","eth:ethertype:ip:udp:data","38",
"57","May 25, 2022 23:32:34.385340900 Pacific Daylight Time","0.006968800","-0.000000400","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"58","May 25, 2022 23:32:34.385342200 Pacific Daylight Time","0.006970100","0.000001300","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"59","May 25, 2022 23:32:34.385342900 Pacific Daylight Time","0.006970800","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"60","May 25, 2022 23:32:34.385343600 Pacific Daylight Time","0.006971500","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"61","May 25, 2022 23:32:34.385344700 Pacific Daylight Time","0.006972600","0.000001100","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"62","May 25, 2022 23:32:34.385345400 Pacific Daylight Time","0.006973300","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"63","May 25, 2022 23:32:34.385346100 Pacific Daylight Time","0.006974000","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"64","May 25, 2022 23:32:34.385346800 Pacific Daylight Time","0.006974700","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"65","May 25, 2022 23:32:34.385354400 Pacific Daylight Time","0.006982300","0.000007600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"66","May 25, 2022 23:32:34.385355100 Pacific Daylight Time","0.006983000","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"67","May 25, 2022 23:32:34.385355700 Pacific Daylight Time","0.006983600","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"68","May 25, 2022 23:32:34.385356400 Pacific Daylight Time","0.006984300","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"69","May 25, 2022 23:32:34.385447300 Pacific Daylight Time","0.007075200","0.000090900","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"70","May 25, 2022 23:32:34.385448400 Pacific Daylight Time","0.007076300","0.000001100","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"71","May 25, 2022 23:32:34.385449100 Pacific Daylight Time","0.007077000","0.000000700","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"72","May 25, 2022 23:32:34.385449700 Pacific Daylight Time","0.007077600","0.000000600","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"73","May 25, 2022 23:32:34.385458600 Pacific Daylight Time","0.007086500","0.000008900","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"74","May 25, 2022 23:32:34.385459400 Pacific Daylight Time","0.007087300","0.000000800","74.125.157.105","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
