frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 23:05:26.774219400 PDT","0.000000000","0.000000000","172.17.0.2","172.217.14.99","17","144","eth:ethertype:ip:udp:data","102"
"2","May 24, 2022 23:05:26.798791200 PDT","0.024571800","0.024571800","172.17.0.2","142.250.72.150","17","119","eth:ethertype:ip:udp:data","77"
"3","May 24, 2022 23:05:26.799900000 PDT","0.025680600","0.001108800","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:data","1250"
"4","May 24, 2022 23:05:26.800506200 PDT","0.026286800","0.000606200","172.17.0.2","142.250.176.14","17","1209","eth:ethertype:ip:udp:data","1167"
"5","May 24, 2022 23:05:26.800651900 PDT","0.026432500","0.000145700","172.17.0.2","142.250.176.14","17","489","eth:ethertype:ip:udp:data","447"
"6","May 24, 2022 23:05:26.800778700 PDT","0.026559300","0.000126800","172.17.0.2","142.250.176.14","17","817","eth:ethertype:ip:udp:data","775"
"7","May 24, 2022 23:05:26.805316800 PDT","0.031097400","0.004538100","172.217.14.99","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"8","May 24, 2022 23:05:26.806687900 PDT","0.032468500","0.001371100","172.217.14.99","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"9","May 24, 2022 23:05:26.806965000 PDT","0.032745600","0.000277100","172.17.0.2","172.217.14.99","17","77","eth:ethertype:ip:udp:data","35"
"10","May 24, 2022 23:05:26.807152400 PDT","0.032933000","0.000187400","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"11","May 24, 2022 23:05:26.807153400 PDT","0.032934000","0.000001000","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"12","May 24, 2022 23:05:26.807154000 PDT","0.032934600","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"13","May 24, 2022 23:05:26.807154600 PDT","0.032935200","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"14","May 24, 2022 23:05:26.807155200 PDT","0.032935800","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"15","May 24, 2022 23:05:26.807155900 PDT","0.032936500","0.000000700","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"16","May 24, 2022 23:05:26.807156500 PDT","0.032937100","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"17","May 24, 2022 23:05:26.807157100 PDT","0.032937700","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"18","May 24, 2022 23:05:26.807161300 PDT","0.032941900","0.000004200","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"19","May 24, 2022 23:05:26.807161900 PDT","0.032942500","0.000000600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"20","May 24, 2022 23:05:26.807859500 PDT","0.033640100","0.000697600","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"21","May 24, 2022 23:05:26.807860400 PDT","0.033641000","0.000000900","172.217.14.99","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"22","May 24, 2022 23:05:26.808228200 PDT","0.034008800","0.000367800","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"23","May 24, 2022 23:05:26.808281400 PDT","0.034062000","0.000053200","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"24","May 24, 2022 23:05:26.808321000 PDT","0.034101600","0.000039600","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"25","May 24, 2022 23:05:26.808358900 PDT","0.034139500","0.000037900","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"26","May 24, 2022 23:05:26.808396900 PDT","0.034177500","0.000038000","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"27","May 24, 2022 23:05:26.808434800 PDT","0.034215400","0.000037900","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"28","May 24, 2022 23:05:26.809052800 PDT","0.034833400","0.000618000","172.217.14.99","172.17.0.2","17","94","eth:ethertype:ip:udp:data","52"
"29","May 24, 2022 23:05:26.817790600 PDT","0.043571200","0.008737800","172.17.0.2","142.250.72.150","17","206","eth:ethertype:ip:udp:data","164"
"30","May 24, 2022 23:05:26.829396200 PDT","0.055176800","0.011605600","142.250.72.150","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"31","May 24, 2022 23:05:26.832540000 PDT","0.058320600","0.003143800","172.17.0.2","142.250.176.14","17","1074","eth:ethertype:ip:udp:data","1032"
"32","May 24, 2022 23:05:26.834905900 PDT","0.060686500","0.002365900","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"33","May 24, 2022 23:05:26.855152700 PDT","0.080933300","0.020246800","172.17.0.2","142.250.72.150","17","75","eth:ethertype:ip:udp:data","33"
"34","May 24, 2022 23:05:26.886824500 PDT","0.112605100","0.031671800","172.17.0.2","142.250.176.14","17","1209","eth:ethertype:ip:udp:data","1167"
"35","May 24, 2022 23:05:26.890104500 PDT","0.115885100","0.003280000","172.17.0.2","172.217.14.99","17","75","eth:ethertype:ip:udp:data","33"
"36","May 24, 2022 23:05:26.903367300 PDT","0.129147900","0.013262800","172.17.0.2","142.250.72.150","17","206","eth:ethertype:ip:udp:data","164"
"37","May 24, 2022 23:05:26.919051700 PDT","0.144832300","0.015684400","142.250.176.14","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29"
"38","May 24, 2022 23:05:26.919884100 PDT","0.145664700","0.000832400","142.250.72.150","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27"
"39","May 24, 2022 23:05:26.919885500 PDT","0.145666100","0.000001400","142.250.72.150","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"40","May 24, 2022 23:05:26.919882800 PDT","0.145663400","-0.000002700","142.250.176.14","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"41","May 24, 2022 23:05:26.919884600 PDT","0.145665200","0.000001800","142.250.176.14","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
