frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 26, 2022 00:00:08.386407900 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","142.250.176.22","17","207","eth:ethertype:ip:udp:data","165",
"2","May 26, 2022 00:00:08.419056000 Pacific Daylight Time","0.032648100","0.032648100","142.250.176.22","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"3","May 26, 2022 00:00:08.444614300 Pacific Daylight Time","0.058206400","0.025558300","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"4","May 26, 2022 00:00:08.451577500 Pacific Daylight Time","0.065169600","0.006963200","142.250.176.22","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"5","May 26, 2022 00:00:08.451578600 Pacific Daylight Time","0.065170700","0.000001100","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 26, 2022 00:00:08.451843500 Pacific Daylight Time","0.065435600","0.000264900","172.17.0.2","142.250.176.22","17","77","eth:ethertype:ip:udp:data","35",
"7","May 26, 2022 00:00:08.452442600 Pacific Daylight Time","0.066034700","0.000599100","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 26, 2022 00:00:08.452462300 Pacific Daylight Time","0.066054400","0.000019700","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 26, 2022 00:00:08.452462900 Pacific Daylight Time","0.066055000","0.000000600","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 26, 2022 00:00:08.452463600 Pacific Daylight Time","0.066055700","0.000000700","142.250.176.22","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 26, 2022 00:00:08.452475800 Pacific Daylight Time","0.066067900","0.000012200","142.250.176.22","172.17.0.2","17","1028","eth:ethertype:ip:udp:data","986",
"12","May 26, 2022 00:00:08.452476500 Pacific Daylight Time","0.066068600","0.000000700","142.250.176.22","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"13","May 26, 2022 00:00:08.453105900 Pacific Daylight Time","0.066698000","0.000629400","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"14","May 26, 2022 00:00:08.453178200 Pacific Daylight Time","0.066770300","0.000072300","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"15","May 26, 2022 00:00:08.453218800 Pacific Daylight Time","0.066810900","0.000040600","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"16","May 26, 2022 00:00:08.478629400 Pacific Daylight Time","0.092221500","0.025410600","172.17.0.2","142.250.176.22","17","75","eth:ethertype:ip:udp:data","33",
"17","May 26, 2022 00:00:08.516476500 Pacific Daylight Time","0.130068600","0.037847100","142.250.176.22","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"18","May 26, 2022 00:00:08.665957300 Pacific Daylight Time","0.279549400","0.149480800","172.17.0.2","142.250.72.238","17","738","eth:ethertype:ip:udp:data","696",
"19","May 26, 2022 00:00:08.668504500 Pacific Daylight Time","0.282096600","0.002547200","172.17.0.2","142.250.72.238","17","281","eth:ethertype:ip:udp:data","239",
"20","May 26, 2022 00:00:08.697409900 Pacific Daylight Time","0.311002000","0.028905400","142.250.72.238","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"21","May 26, 2022 00:00:08.702293400 Pacific Daylight Time","0.315885500","0.004883500","172.17.0.2","142.250.72.238","17","75","eth:ethertype:ip:udp:data","33",
"22","May 26, 2022 00:00:08.715005200 Pacific Daylight Time","0.328597300","0.012711800","142.250.72.238","172.17.0.2","17","112","eth:ethertype:ip:udp:data","70",
"23","May 26, 2022 00:00:08.715006300 Pacific Daylight Time","0.328598400","0.000001100","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"24","May 26, 2022 00:00:08.715242600 Pacific Daylight Time","0.328834700","0.000236300","172.17.0.2","142.250.72.238","17","78","eth:ethertype:ip:udp:data","36",
"25","May 26, 2022 00:00:08.719941600 Pacific Daylight Time","0.333533700","0.004699000","172.17.0.2","142.250.72.238","17","75","eth:ethertype:ip:udp:data","33",
"26","May 26, 2022 00:00:08.720939400 Pacific Daylight Time","0.334531500","0.000997800","142.250.72.238","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"27","May 26, 2022 00:00:08.726243400 Pacific Daylight Time","0.339835500","0.005304000","172.17.0.2","142.250.72.238","17","75","eth:ethertype:ip:udp:data","33",
"28","May 26, 2022 00:00:08.736819700 Pacific Daylight Time","0.350411800","0.010576300","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"29","May 26, 2022 00:00:08.746214100 Pacific Daylight Time","0.359806200","0.009394400","142.250.72.238","172.17.0.2","17","83","eth:ethertype:ip:udp:data","41",
"30","May 26, 2022 00:00:08.746439600 Pacific Daylight Time","0.360031700","0.000225500","172.17.0.2","142.250.72.238","17","78","eth:ethertype:ip:udp:data","36",
"31","May 26, 2022 00:00:08.746498100 Pacific Daylight Time","0.360090200","0.000058500","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"32","May 26, 2022 00:00:08.751988300 Pacific Daylight Time","0.365580400","0.005490200","172.17.0.2","142.250.72.238","17","75","eth:ethertype:ip:udp:data","33",
"33","May 26, 2022 00:00:08.768284500 Pacific Daylight Time","0.381876600","0.016296200","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"34","May 26, 2022 00:00:08.910014500 Pacific Daylight Time","0.523606600","0.141730000","172.17.0.2","142.250.72.238","17","687","eth:ethertype:ip:udp:data","645",
"35","May 26, 2022 00:00:08.926414200 Pacific Daylight Time","0.540006300","0.016399700","142.250.72.238","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"36","May 26, 2022 00:00:08.931864000 Pacific Daylight Time","0.545456100","0.005449800","172.17.0.2","142.250.72.238","17","75","eth:ethertype:ip:udp:data","33",
"37","May 26, 2022 00:00:08.952437300 Pacific Daylight Time","0.566029400","0.020573300","142.250.72.238","172.17.0.2","17","85","eth:ethertype:ip:udp:data","43",
"38","May 26, 2022 00:00:08.952687400 Pacific Daylight Time","0.566279500","0.000250100","172.17.0.2","142.250.72.238","17","78","eth:ethertype:ip:udp:data","36",
"39","May 26, 2022 00:00:08.953377500 Pacific Daylight Time","0.566969600","0.000690100","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"40","May 26, 2022 00:00:08.958541000 Pacific Daylight Time","0.572133100","0.005163500","172.17.0.2","142.250.72.238","17","75","eth:ethertype:ip:udp:data","33",
"41","May 26, 2022 00:00:08.971567600 Pacific Daylight Time","0.585159700","0.013026600","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"42","May 26, 2022 00:00:09.028638900 Pacific Daylight Time","0.642231000","0.057071300","172.17.0.2","173.194.166.92","17","1042","eth:ethertype:ip:udp:data","1000",
"43","May 26, 2022 00:00:09.084270500 Pacific Daylight Time","0.697862600","0.055631600","173.194.166.92","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"44","May 26, 2022 00:00:09.088867700 Pacific Daylight Time","0.702459800","0.004597200","172.17.0.2","173.194.166.92","17","75","eth:ethertype:ip:udp:data","33",
"45","May 26, 2022 00:00:09.257914400 Pacific Daylight Time","0.871506500","0.169046700","173.194.166.92","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"46","May 26, 2022 00:00:09.257916100 Pacific Daylight Time","0.871508200","0.000001700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"47","May 26, 2022 00:00:09.257916800 Pacific Daylight Time","0.871508900","0.000000700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"48","May 26, 2022 00:00:09.257917800 Pacific Daylight Time","0.871509900","0.000001000","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"49","May 26, 2022 00:00:09.257919000 Pacific Daylight Time","0.871511100","0.000001200","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"50","May 26, 2022 00:00:09.257919800 Pacific Daylight Time","0.871511900","0.000000800","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"51","May 26, 2022 00:00:09.257920700 Pacific Daylight Time","0.871512800","0.000000900","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"52","May 26, 2022 00:00:09.257921500 Pacific Daylight Time","0.871513600","0.000000800","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"53","May 26, 2022 00:00:09.257928900 Pacific Daylight Time","0.871521000","0.000007400","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"54","May 26, 2022 00:00:09.257929700 Pacific Daylight Time","0.871521800","0.000000800","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"55","May 26, 2022 00:00:09.258068200 Pacific Daylight Time","0.871660300","0.000138500","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"56","May 26, 2022 00:00:09.258069500 Pacific Daylight Time","0.871661600","0.000001300","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"57","May 26, 2022 00:00:09.258079000 Pacific Daylight Time","0.871671100","0.000009500","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"58","May 26, 2022 00:00:09.258164200 Pacific Daylight Time","0.871756300","0.000085200","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"59","May 26, 2022 00:00:09.258165100 Pacific Daylight Time","0.871757200","0.000000900","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"60","May 26, 2022 00:00:09.258165800 Pacific Daylight Time","0.871757900","0.000000700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"61","May 26, 2022 00:00:09.258231100 Pacific Daylight Time","0.871823200","0.000065300","172.17.0.2","173.194.166.92","17","76","eth:ethertype:ip:udp:data","34",
"62","May 26, 2022 00:00:09.258308300 Pacific Daylight Time","0.871900400","0.000077200","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"63","May 26, 2022 00:00:09.258309500 Pacific Daylight Time","0.871901600","0.000001200","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"64","May 26, 2022 00:00:09.258310600 Pacific Daylight Time","0.871902700","0.000001100","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"65","May 26, 2022 00:00:09.258311500 Pacific Daylight Time","0.871903600","0.000000900","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"66","May 26, 2022 00:00:09.258312300 Pacific Daylight Time","0.871904400","0.000000800","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"67","May 26, 2022 00:00:09.258313400 Pacific Daylight Time","0.871905500","0.000001100","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"68","May 26, 2022 00:00:09.258330200 Pacific Daylight Time","0.871922300","0.000016800","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"69","May 26, 2022 00:00:09.258331000 Pacific Daylight Time","0.871923100","0.000000800","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"70","May 26, 2022 00:00:09.258337100 Pacific Daylight Time","0.871929200","0.000006100","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"71","May 26, 2022 00:00:09.258359500 Pacific Daylight Time","0.871951600","0.000022400","172.17.0.2","173.194.166.92","17","76","eth:ethertype:ip:udp:data","34",
"72","May 26, 2022 00:00:09.258385300 Pacific Daylight Time","0.871977400","0.000025800","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"73","May 26, 2022 00:00:09.258386200 Pacific Daylight Time","0.871978300","0.000000900","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"74","May 26, 2022 00:00:09.258394600 Pacific Daylight Time","0.871986700","0.000008400","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"75","May 26, 2022 00:00:09.258432600 Pacific Daylight Time","0.872024700","0.000038000","172.17.0.2","173.194.166.92","17","76","eth:ethertype:ip:udp:data","34",
"76","May 26, 2022 00:00:09.258448300 Pacific Daylight Time","0.872040400","0.000015700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"77","May 26, 2022 00:00:09.258449800 Pacific Daylight Time","0.872041900","0.000001500","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"78","May 26, 2022 00:00:09.258495300 Pacific Daylight Time","0.872087400","0.000045500","172.17.0.2","173.194.166.92","17","76","eth:ethertype:ip:udp:data","34",
"79","May 26, 2022 00:00:09.258503200 Pacific Daylight Time","0.872095300","0.000007900","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"80","May 26, 2022 00:00:09.258504100 Pacific Daylight Time","0.872096200","0.000000900","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"81","May 26, 2022 00:00:09.258504900 Pacific Daylight Time","0.872097000","0.000000800","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"82","May 26, 2022 00:00:09.258626900 Pacific Daylight Time","0.872219000","0.000122000","172.17.0.2","173.194.166.92","17","78","eth:ethertype:ip:udp:data","36",
"83","May 26, 2022 00:00:09.258669500 Pacific Daylight Time","0.872261600","0.000042600","172.17.0.2","173.194.166.92","17","78","eth:ethertype:ip:udp:data","36",
"84","May 26, 2022 00:00:09.258693600 Pacific Daylight Time","0.872285700","0.000024100","172.17.0.2","173.194.166.92","17","78","eth:ethertype:ip:udp:data","36",
"85","May 26, 2022 00:00:09.258717100 Pacific Daylight Time","0.872309200","0.000023500","172.17.0.2","173.194.166.92","17","78","eth:ethertype:ip:udp:data","36",
"86","May 26, 2022 00:00:09.258829200 Pacific Daylight Time","0.872421300","0.000112100","172.17.0.2","173.194.166.92","17","78","eth:ethertype:ip:udp:data","36",
"87","May 26, 2022 00:00:09.258946500 Pacific Daylight Time","0.872538600","0.000117300","172.17.0.2","173.194.166.92","17","78","eth:ethertype:ip:udp:data","36",
"88","May 26, 2022 00:00:09.259531300 Pacific Daylight Time","0.873123400","0.000584800","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"89","May 26, 2022 00:00:09.259532300 Pacific Daylight Time","0.873124400","0.000001000","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"90","May 26, 2022 00:00:09.259532900 Pacific Daylight Time","0.873125000","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"91","May 26, 2022 00:00:09.259533500 Pacific Daylight Time","0.873125600","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"92","May 26, 2022 00:00:09.259534200 Pacific Daylight Time","0.873126300","0.000000700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"93","May 26, 2022 00:00:09.259534800 Pacific Daylight Time","0.873126900","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"94","May 26, 2022 00:00:09.259535400 Pacific Daylight Time","0.873127500","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"95","May 26, 2022 00:00:09.259536000 Pacific Daylight Time","0.873128100","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"96","May 26, 2022 00:00:09.259559400 Pacific Daylight Time","0.873151500","0.000023400","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"97","May 26, 2022 00:00:09.259560200 Pacific Daylight Time","0.873152300","0.000000800","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"98","May 26, 2022 00:00:09.259560800 Pacific Daylight Time","0.873152900","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"99","May 26, 2022 00:00:09.259602200 Pacific Daylight Time","0.873194300","0.000041400","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"100","May 26, 2022 00:00:09.259616100 Pacific Daylight Time","0.873208200","0.000013900","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"101","May 26, 2022 00:00:09.259847000 Pacific Daylight Time","0.873439100","0.000230900","172.17.0.2","173.194.166.92","17","80","eth:ethertype:ip:udp:data","38",
"102","May 26, 2022 00:00:09.259934400 Pacific Daylight Time","0.873526500","0.000087400","172.17.0.2","173.194.166.92","17","80","eth:ethertype:ip:udp:data","38",
"103","May 26, 2022 00:00:09.259999800 Pacific Daylight Time","0.873591900","0.000065400","172.17.0.2","173.194.166.92","17","80","eth:ethertype:ip:udp:data","38",
"104","May 26, 2022 00:00:09.260024600 Pacific Daylight Time","0.873616700","0.000024800","172.17.0.2","173.194.166.92","17","80","eth:ethertype:ip:udp:data","38",
"105","May 26, 2022 00:00:09.262573600 Pacific Daylight Time","0.876165700","0.002549000","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"106","May 26, 2022 00:00:09.262574600 Pacific Daylight Time","0.876166700","0.000001000","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"107","May 26, 2022 00:00:09.262575300 Pacific Daylight Time","0.876167400","0.000000700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"108","May 26, 2022 00:00:09.262575900 Pacific Daylight Time","0.876168000","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"109","May 26, 2022 00:00:09.262576600 Pacific Daylight Time","0.876168700","0.000000700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"110","May 26, 2022 00:00:09.262577200 Pacific Daylight Time","0.876169300","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"111","May 26, 2022 00:00:09.262577800 Pacific Daylight Time","0.876169900","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"112","May 26, 2022 00:00:09.262578500 Pacific Daylight Time","0.876170600","0.000000700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"113","May 26, 2022 00:00:09.262586700 Pacific Daylight Time","0.876178800","0.000008200","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"114","May 26, 2022 00:00:09.262587300 Pacific Daylight Time","0.876179400","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"115","May 26, 2022 00:00:09.262588000 Pacific Daylight Time","0.876180100","0.000000700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"116","May 26, 2022 00:00:09.262588600 Pacific Daylight Time","0.876180700","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"117","May 26, 2022 00:00:09.262716300 Pacific Daylight Time","0.876308400","0.000127700","172.17.0.2","173.194.166.92","17","82","eth:ethertype:ip:udp:data","40",
"118","May 26, 2022 00:00:09.262761400 Pacific Daylight Time","0.876353500","0.000045100","172.17.0.2","173.194.166.92","17","82","eth:ethertype:ip:udp:data","40",
"119","May 26, 2022 00:00:09.262787500 Pacific Daylight Time","0.876379600","0.000026100","172.17.0.2","173.194.166.92","17","82","eth:ethertype:ip:udp:data","40",
"120","May 26, 2022 00:00:09.262811600 Pacific Daylight Time","0.876403700","0.000024100","172.17.0.2","173.194.166.92","17","82","eth:ethertype:ip:udp:data","40",
"121","May 26, 2022 00:00:09.263605300 Pacific Daylight Time","0.877197400","0.000793700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"122","May 26, 2022 00:00:09.263606300 Pacific Daylight Time","0.877198400","0.000001000","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"123","May 26, 2022 00:00:09.263606900 Pacific Daylight Time","0.877199000","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"124","May 26, 2022 00:00:09.263607600 Pacific Daylight Time","0.877199700","0.000000700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"125","May 26, 2022 00:00:09.263608300 Pacific Daylight Time","0.877200400","0.000000700","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"126","May 26, 2022 00:00:09.263608900 Pacific Daylight Time","0.877201000","0.000000600","173.194.166.92","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
