frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 20:05:51.700085600 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","74.125.157.103","6","66","eth:ethertype:ip:tcp",,
"2","May 25, 2022 20:05:51.700090900 Pacific Daylight Time","0.000005300","0.000005300","172.17.0.2","74.125.157.103","6","66","eth:ethertype:ip:tcp",,
"3","May 25, 2022 20:05:52.481500500 Pacific Daylight Time","0.781414900","0.781409600","172.17.0.2","142.250.72.246","17","206","eth:ethertype:ip:udp:data","164",
"4","May 25, 2022 20:05:52.518455000 Pacific Daylight Time","0.818369400","0.036954500","142.250.72.246","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"5","May 25, 2022 20:05:52.540805200 Pacific Daylight Time","0.840719600","0.022350200","142.250.72.246","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"6","May 25, 2022 20:05:52.541018700 Pacific Daylight Time","0.840933100","0.000213500","172.17.0.2","142.250.72.246","17","77","eth:ethertype:ip:udp:data","35",
"7","May 25, 2022 20:05:52.541342500 Pacific Daylight Time","0.841256900","0.000323800","142.250.72.246","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 25, 2022 20:05:52.541344000 Pacific Daylight Time","0.841258400","0.000001500","142.250.72.246","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 25, 2022 20:05:52.541345100 Pacific Daylight Time","0.841259500","0.000001100","142.250.72.246","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 25, 2022 20:05:52.541346000 Pacific Daylight Time","0.841260400","0.000000900","142.250.72.246","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 25, 2022 20:05:52.541373200 Pacific Daylight Time","0.841287600","0.000027200","142.250.72.246","172.17.0.2","17","814","eth:ethertype:ip:udp:data","772",
"12","May 25, 2022 20:05:52.541373900 Pacific Daylight Time","0.841288300","0.000000700","142.250.72.246","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"13","May 25, 2022 20:05:52.542163800 Pacific Daylight Time","0.842078200","0.000789900","172.17.0.2","142.250.72.246","17","75","eth:ethertype:ip:udp:data","33",
"14","May 25, 2022 20:05:52.542235500 Pacific Daylight Time","0.842149900","0.000071700","172.17.0.2","142.250.72.246","17","75","eth:ethertype:ip:udp:data","33",
"15","May 25, 2022 20:05:52.542277000 Pacific Daylight Time","0.842191400","0.000041500","172.17.0.2","142.250.72.246","17","75","eth:ethertype:ip:udp:data","33",
"16","May 25, 2022 20:05:52.607683000 Pacific Daylight Time","0.907597400","0.065406000","142.250.72.246","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"17","May 25, 2022 20:05:52.788229400 Pacific Daylight Time","1.088143800","0.180546400","172.17.0.2","142.250.68.78","17","1100","eth:ethertype:ip:udp:data","1058",
"18","May 25, 2022 20:05:52.791871600 Pacific Daylight Time","1.091786000","0.003642200","172.17.0.2","142.250.68.78","17","272","eth:ethertype:ip:udp:data","230",
"19","May 25, 2022 20:05:52.825710600 Pacific Daylight Time","1.125625000","0.033839000","172.17.0.2","142.250.68.78","17","1287","eth:ethertype:ip:udp:data","1245",
"20","May 25, 2022 20:05:52.825788200 Pacific Daylight Time","1.125702600","0.000077600","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 25, 2022 20:05:52.825801800 Pacific Daylight Time","1.125716200","0.000013600","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 25, 2022 20:05:52.825827400 Pacific Daylight Time","1.125741800","0.000025600","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 25, 2022 20:05:52.825839300 Pacific Daylight Time","1.125753700","0.000011900","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 25, 2022 20:05:52.825852300 Pacific Daylight Time","1.125766700","0.000013000","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 25, 2022 20:05:52.825882400 Pacific Daylight Time","1.125796800","0.000030100","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 25, 2022 20:05:52.825899200 Pacific Daylight Time","1.125813600","0.000016800","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 25, 2022 20:05:52.825915500 Pacific Daylight Time","1.125829900","0.000016300","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 25, 2022 20:05:52.825933100 Pacific Daylight Time","1.125847500","0.000017600","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"29","May 25, 2022 20:05:52.825950800 Pacific Daylight Time","1.125865200","0.000017700","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 25, 2022 20:05:52.825967700 Pacific Daylight Time","1.125882100","0.000016900","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"31","May 25, 2022 20:05:52.828362500 Pacific Daylight Time","1.128276900","0.002394800","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"32","May 25, 2022 20:05:52.828387400 Pacific Daylight Time","1.128301800","0.000024900","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"33","May 25, 2022 20:05:52.828399900 Pacific Daylight Time","1.128314300","0.000012500","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"34","May 25, 2022 20:05:52.828411200 Pacific Daylight Time","1.128325600","0.000011300","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"35","May 25, 2022 20:05:52.830591800 Pacific Daylight Time","1.130506200","0.002180600","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
"36","May 25, 2022 20:05:52.830625100 Pacific Daylight Time","1.130539500","0.000033300","172.17.0.2","142.250.68.78","17","1292","eth:ethertype:ip:udp:data","1250",
