frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 23:55:53.629775500 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.12.137","6","66","eth:ethertype:ip:tcp",,
"2","May 25, 2022 23:55:53.949864700 Pacific Daylight Time","0.320089200","0.320089200","172.17.0.2","173.194.8.136","6","66","eth:ethertype:ip:tcp",,
"3","May 25, 2022 23:55:55.297448200 Pacific Daylight Time","1.667672700","1.347583500","172.17.0.2","142.251.40.54","17","205","eth:ethertype:ip:udp:data","163",
"4","May 25, 2022 23:55:55.326349400 Pacific Daylight Time","1.696573900","0.028901200","142.251.40.54","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"5","May 25, 2022 23:55:55.351958700 Pacific Daylight Time","1.722183200","0.025609300","172.17.0.2","142.251.40.54","17","75","eth:ethertype:ip:udp:data","33",
"6","May 25, 2022 23:55:55.357274900 Pacific Daylight Time","1.727499400","0.005316200","142.251.40.54","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"7","May 25, 2022 23:55:55.357276000 Pacific Daylight Time","1.727500500","0.000001100","142.251.40.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 25, 2022 23:55:55.357276600 Pacific Daylight Time","1.727501100","0.000000600","142.251.40.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 25, 2022 23:55:55.357277300 Pacific Daylight Time","1.727501800","0.000000700","142.251.40.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 25, 2022 23:55:55.357277900 Pacific Daylight Time","1.727502400","0.000000600","142.251.40.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 25, 2022 23:55:55.357506700 Pacific Daylight Time","1.727731200","0.000228800","172.17.0.2","142.251.40.54","17","77","eth:ethertype:ip:udp:data","35",
"12","May 25, 2022 23:55:55.357580600 Pacific Daylight Time","1.727805100","0.000073900","172.17.0.2","142.251.40.54","17","75","eth:ethertype:ip:udp:data","33",
"13","May 25, 2022 23:55:55.357618900 Pacific Daylight Time","1.727843400","0.000038300","172.17.0.2","142.251.40.54","17","75","eth:ethertype:ip:udp:data","33",
"14","May 25, 2022 23:55:55.375219900 Pacific Daylight Time","1.745444400","0.017601000","142.251.40.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 25, 2022 23:55:55.375272200 Pacific Daylight Time","1.745496700","0.000052300","142.251.40.54","172.17.0.2","17","582","eth:ethertype:ip:udp:data","540",
"16","May 25, 2022 23:55:55.375273600 Pacific Daylight Time","1.745498100","0.000001400","142.251.40.54","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25",
"17","May 25, 2022 23:55:55.375380900 Pacific Daylight Time","1.745605400","0.000107300","172.17.0.2","142.251.40.54","17","75","eth:ethertype:ip:udp:data","33",
"18","May 25, 2022 23:55:55.375436700 Pacific Daylight Time","1.745661200","0.000055800","172.17.0.2","142.251.40.54","17","75","eth:ethertype:ip:udp:data","33",
"19","May 25, 2022 23:55:55.375466600 Pacific Daylight Time","1.745691100","0.000029900","172.17.0.2","142.251.40.54","17","75","eth:ethertype:ip:udp:data","33",
"20","May 25, 2022 23:55:55.415773800 Pacific Daylight Time","1.785998300","0.040307200","142.251.40.54","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 25, 2022 23:55:55.415774900 Pacific Daylight Time","1.785999400","0.000001100","142.251.40.54","172.17.0.2","17","69","eth:ethertype:ip:udp:data","27",
"22","May 25, 2022 23:55:55.415983400 Pacific Daylight Time","1.786207900","0.000208500","172.17.0.2","142.251.40.54","17","75","eth:ethertype:ip:udp:data","33",
"23","May 25, 2022 23:55:55.621213700 Pacific Daylight Time","1.991438200","0.205230300","172.17.0.2","142.250.217.142","17","1028","eth:ethertype:ip:udp:data","986",
"24","May 25, 2022 23:55:55.624478600 Pacific Daylight Time","1.994703100","0.003264900","172.17.0.2","142.250.217.142","17","275","eth:ethertype:ip:udp:data","233",
"25","May 25, 2022 23:55:55.681880900 Pacific Daylight Time","2.052105400","0.057402300","142.250.217.142","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"26","May 25, 2022 23:55:55.681881900 Pacific Daylight Time","2.052106400","0.000001000","142.250.217.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"27","May 25, 2022 23:55:55.681967100 Pacific Daylight Time","2.052191600","0.000085200","142.250.217.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"28","May 25, 2022 23:55:55.693303400 Pacific Daylight Time","2.063527900","0.011336300","172.17.0.2","142.250.217.142","17","75","eth:ethertype:ip:udp:data","33",
"29","May 25, 2022 23:55:55.707066100 Pacific Daylight Time","2.077290600","0.013762700","142.250.217.142","172.17.0.2","17","113","eth:ethertype:ip:udp:data","71",
"30","May 25, 2022 23:55:55.707214700 Pacific Daylight Time","2.077439200","0.000148600","172.17.0.2","142.250.217.142","17","78","eth:ethertype:ip:udp:data","36",
"31","May 25, 2022 23:55:55.707502700 Pacific Daylight Time","2.077727200","0.000288000","142.250.217.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"32","May 25, 2022 23:55:55.710024200 Pacific Daylight Time","2.080248700","0.002521500","142.250.217.142","172.17.0.2","17","83","eth:ethertype:ip:udp:data","41",
"33","May 25, 2022 23:55:55.710044100 Pacific Daylight Time","2.080268600","0.000019900","142.250.217.142","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26",
"34","May 25, 2022 23:55:55.710289300 Pacific Daylight Time","2.080513800","0.000245200","172.17.0.2","142.250.217.142","17","78","eth:ethertype:ip:udp:data","36",
"35","May 25, 2022 23:55:55.722102900 Pacific Daylight Time","2.092327400","0.011813600","172.17.0.2","142.250.217.142","17","75","eth:ethertype:ip:udp:data","33",
