frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 22:40:59.423959100 PDT","0.000000000","0.000000000","172.17.0.2","173.194.8.198","17","1082","eth:ethertype:ip:udp:data","1040"
"2","May 24, 2022 22:40:59.441113400 PDT","0.017154300","0.017154300","173.194.8.198","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29"
"3","May 24, 2022 22:40:59.441857100 PDT","0.017898000","0.000743700","173.194.8.198","172.17.0.2","17","98","eth:ethertype:ip:udp:data","56"
"4","May 24, 2022 22:40:59.442180200 PDT","0.018221100","0.000323100","172.17.0.2","173.194.8.198","17","78","eth:ethertype:ip:udp:data","36"
"5","May 24, 2022 22:40:59.442518200 PDT","0.018559100","0.000338000","173.194.8.198","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"6","May 24, 2022 22:40:59.442519200 PDT","0.018560100","0.000001000","173.194.8.198","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"7","May 24, 2022 22:40:59.442519900 PDT","0.018560800","0.000000700","173.194.8.198","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"8","May 24, 2022 22:40:59.442520500 PDT","0.018561400","0.000000600","173.194.8.198","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"9","May 24, 2022 22:40:59.443343200 PDT","0.019384100","0.000822700","173.194.8.198","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"10","May 24, 2022 22:40:59.443344300 PDT","0.019385200","0.000001100","173.194.8.198","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"11","May 24, 2022 22:40:59.443345000 PDT","0.019385900","0.000000700","173.194.8.198","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"12","May 24, 2022 22:40:59.443345600 PDT","0.019386500","0.000000600","173.194.8.198","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"13","May 24, 2022 22:40:59.443346300 PDT","0.019387200","0.000000700","173.194.8.198","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"14","May 24, 2022 22:40:59.443346900 PDT","0.019387800","0.000000600","173.194.8.198","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
