frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"1","May 24, 2022 22:55:02.333821300 PDT","0.000000000","0.000000000","173.194.167.135","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29"
"2","May 24, 2022 22:55:02.346609500 PDT","0.012788200","0.012788200","172.17.0.2","173.194.167.135","17","75","eth:ethertype:ip:udp:data","33"
"3","May 24, 2022 22:55:02.387253600 PDT","0.053432300","0.040644100","173.194.167.135","172.17.0.2","17","96","eth:ethertype:ip:udp:data","54"
"4","May 24, 2022 22:55:02.387556400 PDT","0.053735100","0.000302800","173.194.167.135","172.17.0.2","17","1128","eth:ethertype:ip:udp:data","1086"
"5","May 24, 2022 22:55:02.387557400 PDT","0.053736100","0.000001000","173.194.167.135","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"6","May 24, 2022 22:55:02.387625500 PDT","0.053804200","0.000068100","172.17.0.2","173.194.167.135","17","78","eth:ethertype:ip:udp:data","36"
"7","May 24, 2022 22:55:02.400049700 PDT","0.066228400","0.012424200","172.17.0.2","173.194.167.135","17","75","eth:ethertype:ip:udp:data","33"
"8","May 24, 2022 22:55:02.413100700 PDT","0.079279400","0.013051000","172.17.0.2","173.194.167.138","6","66","eth:ethertype:ip:tcp",
"9","May 24, 2022 22:55:02.455407000 PDT","0.121585700","0.042306300","173.194.167.135","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"10","May 24, 2022 22:55:02.479219400 PDT","0.145398100","0.023812400","173.194.167.135","172.17.0.2","17","97","eth:ethertype:ip:udp:data","55"
"11","May 24, 2022 22:55:02.479495100 PDT","0.145673800","0.000275700","172.17.0.2","173.194.167.135","17","78","eth:ethertype:ip:udp:data","36"
"12","May 24, 2022 22:55:02.479916000 PDT","0.146094700","0.000420900","173.194.167.135","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"13","May 24, 2022 22:55:02.480068000 PDT","0.146246700","0.000152000","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"14","May 24, 2022 22:55:02.480069500 PDT","0.146248200","0.000001500","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"15","May 24, 2022 22:55:02.480070300 PDT","0.146249000","0.000000800","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"16","May 24, 2022 22:55:02.480071100 PDT","0.146249800","0.000000800","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"17","May 24, 2022 22:55:02.480071900 PDT","0.146250600","0.000000800","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"18","May 24, 2022 22:55:02.480072700 PDT","0.146251400","0.000000800","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"19","May 24, 2022 22:55:02.480073500 PDT","0.146252200","0.000000800","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"20","May 24, 2022 22:55:02.480086900 PDT","0.146265600","0.000013400","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"21","May 24, 2022 22:55:02.480088200 PDT","0.146266900","0.000001300","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"22","May 24, 2022 22:55:02.480232100 PDT","0.146410800","0.000143900","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"23","May 24, 2022 22:55:02.480233000 PDT","0.146411700","0.000000900","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"24","May 24, 2022 22:55:02.480233700 PDT","0.146412400","0.000000700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"25","May 24, 2022 22:55:02.480418200 PDT","0.146596900","0.000184500","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"26","May 24, 2022 22:55:02.480419100 PDT","0.146597800","0.000000900","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"27","May 24, 2022 22:55:02.480419700 PDT","0.146598400","0.000000600","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"28","May 24, 2022 22:55:02.480420300 PDT","0.146599000","0.000000600","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"29","May 24, 2022 22:55:02.480536900 PDT","0.146715600","0.000116600","172.17.0.2","173.194.167.135","17","75","eth:ethertype:ip:udp:data","33"
"30","May 24, 2022 22:55:02.482473600 PDT","0.148652300","0.001936700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"31","May 24, 2022 22:55:02.482474500 PDT","0.148653200","0.000000900","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"32","May 24, 2022 22:55:02.482475100 PDT","0.148653800","0.000000600","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"33","May 24, 2022 22:55:02.482475700 PDT","0.148654400","0.000000600","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"34","May 24, 2022 22:55:02.482772200 PDT","0.148950900","0.000296500","172.17.0.2","173.194.167.135","17","75","eth:ethertype:ip:udp:data","33"
"35","May 24, 2022 22:55:02.495320700 PDT","0.161499400","0.012548500","172.17.0.2","173.194.167.135","17","75","eth:ethertype:ip:udp:data","33"
"36","May 24, 2022 22:55:02.502014400 PDT","0.168193100","0.006693700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"37","May 24, 2022 22:55:02.502015500 PDT","0.168194200","0.000001100","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"38","May 24, 2022 22:55:02.502016300 PDT","0.168195000","0.000000800","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"39","May 24, 2022 22:55:02.502017000 PDT","0.168195700","0.000000700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"40","May 24, 2022 22:55:02.502017700 PDT","0.168196400","0.000000700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"41","May 24, 2022 22:55:02.502018400 PDT","0.168197100","0.000000700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"42","May 24, 2022 22:55:02.502019100 PDT","0.168197800","0.000000700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"43","May 24, 2022 22:55:02.502019700 PDT","0.168198400","0.000000600","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"44","May 24, 2022 22:55:02.502027400 PDT","0.168206100","0.000007700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"45","May 24, 2022 22:55:02.502028300 PDT","0.168207000","0.000000900","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"46","May 24, 2022 22:55:02.502176900 PDT","0.168355600","0.000148600","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"47","May 24, 2022 22:55:02.502177900 PDT","0.168356600","0.000001000","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"48","May 24, 2022 22:55:02.502178700 PDT","0.168357400","0.000000800","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"49","May 24, 2022 22:55:02.502179700 PDT","0.168358400","0.000001000","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"50","May 24, 2022 22:55:02.502180600 PDT","0.168359300","0.000000900","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"51","May 24, 2022 22:55:02.502181300 PDT","0.168360000","0.000000700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"52","May 24, 2022 22:55:02.502252300 PDT","0.168431000","0.000071000","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"53","May 24, 2022 22:55:02.502253300 PDT","0.168432000","0.000001000","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"54","May 24, 2022 22:55:02.502254000 PDT","0.168432700","0.000000700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"55","May 24, 2022 22:55:02.502310300 PDT","0.168489000","0.000056300","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"56","May 24, 2022 22:55:02.502311200 PDT","0.168489900","0.000000900","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"57","May 24, 2022 22:55:02.502311900 PDT","0.168490600","0.000000700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"58","May 24, 2022 22:55:02.502319300 PDT","0.168498000","0.000007400","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"59","May 24, 2022 22:55:02.502320100 PDT","0.168498800","0.000000800","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"60","May 24, 2022 22:55:02.502426700 PDT","0.168605400","0.000106600","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"61","May 24, 2022 22:55:02.502428200 PDT","0.168606900","0.000001500","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"62","May 24, 2022 22:55:02.502540500 PDT","0.168719200","0.000112300","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"63","May 24, 2022 22:55:02.502541700 PDT","0.168720400","0.000001200","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"64","May 24, 2022 22:55:02.502542400 PDT","0.168721100","0.000000700","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"65","May 24, 2022 22:55:02.502543200 PDT","0.168721900","0.000000800","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"66","May 24, 2022 22:55:02.502544000 PDT","0.168722700","0.000000800","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"67","May 24, 2022 22:55:02.502553900 PDT","0.168732600","0.000009900","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"68","May 24, 2022 22:55:02.502554900 PDT","0.168733600","0.000001000","173.194.167.135","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
