frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 23:21:00.001625500 Pacific Daylight Time","0.000000000","0.000000000","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"2","May 25, 2022 23:21:00.007309200 Pacific Daylight Time","0.005683700","0.005683700","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"3","May 25, 2022 23:21:00.010790000 Pacific Daylight Time","0.009164500","0.003480800","172.17.0.2","74.125.157.102","17","1038","eth:ethertype:ip:udp:data","996",
"4","May 25, 2022 23:21:00.060698500 Pacific Daylight Time","0.059073000","0.049908500","74.125.157.102","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29",
"5","May 25, 2022 23:21:00.061208700 Pacific Daylight Time","0.059583200","0.000510200","74.125.157.102","172.17.0.2","17","164","eth:ethertype:ip:udp:data","122",
"6","May 25, 2022 23:21:00.061493200 Pacific Daylight Time","0.059867700","0.000284500","172.17.0.2","74.125.157.102","17","78","eth:ethertype:ip:udp:data","36",
"7","May 25, 2022 23:21:00.062103800 Pacific Daylight Time","0.060478300","0.000610600","74.125.157.102","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"8","May 25, 2022 23:21:00.062408300 Pacific Daylight Time","0.060782800","0.000304500","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 25, 2022 23:21:00.062409200 Pacific Daylight Time","0.060783700","0.000000900","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 25, 2022 23:21:00.062409900 Pacific Daylight Time","0.060784400","0.000000700","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 25, 2022 23:21:00.062410500 Pacific Daylight Time","0.060785000","0.000000600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 25, 2022 23:21:00.062411100 Pacific Daylight Time","0.060785600","0.000000600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 25, 2022 23:21:00.074923900 Pacific Daylight Time","0.073298400","0.012512800","172.17.0.2","74.125.157.102","17","75","eth:ethertype:ip:udp:data","33",
"14","May 25, 2022 23:21:00.080640800 Pacific Daylight Time","0.079015300","0.005716900","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 25, 2022 23:21:00.080643000 Pacific Daylight Time","0.079017500","0.000002200","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"16","May 25, 2022 23:21:00.080644000 Pacific Daylight Time","0.079018500","0.000001000","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 25, 2022 23:21:00.080712200 Pacific Daylight Time","0.079086700","0.000068200","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 25, 2022 23:21:00.080713200 Pacific Daylight Time","0.079087700","0.000001000","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 25, 2022 23:21:00.080727100 Pacific Daylight Time","0.079101600","0.000013900","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 25, 2022 23:21:00.080853000 Pacific Daylight Time","0.079227500","0.000125900","172.17.0.2","74.125.157.102","17","76","eth:ethertype:ip:udp:data","34",
"21","May 25, 2022 23:21:00.080904100 Pacific Daylight Time","0.079278600","0.000051100","172.17.0.2","74.125.157.102","17","76","eth:ethertype:ip:udp:data","34",
"22","May 25, 2022 23:21:00.080930400 Pacific Daylight Time","0.079304900","0.000026300","172.17.0.2","74.125.157.102","17","76","eth:ethertype:ip:udp:data","34",
"23","May 25, 2022 23:21:00.080954300 Pacific Daylight Time","0.079328800","0.000023900","172.17.0.2","74.125.157.102","17","76","eth:ethertype:ip:udp:data","34",
"24","May 25, 2022 23:21:00.082888200 Pacific Daylight Time","0.081262700","0.001933900","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 25, 2022 23:21:00.082889300 Pacific Daylight Time","0.081263800","0.000001100","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 25, 2022 23:21:00.082890000 Pacific Daylight Time","0.081264500","0.000000700","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"27","May 25, 2022 23:21:00.082890600 Pacific Daylight Time","0.081265100","0.000000600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"28","May 25, 2022 23:21:00.082891200 Pacific Daylight Time","0.081265700","0.000000600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"29","May 25, 2022 23:21:00.082891800 Pacific Daylight Time","0.081266300","0.000000600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"30","May 25, 2022 23:21:00.082892500 Pacific Daylight Time","0.081267000","0.000000700","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"31","May 25, 2022 23:21:00.082893100 Pacific Daylight Time","0.081267600","0.000000600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"32","May 25, 2022 23:21:00.082899200 Pacific Daylight Time","0.081273700","0.000006100","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"33","May 25, 2022 23:21:00.082900000 Pacific Daylight Time","0.081274500","0.000000800","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"34","May 25, 2022 23:21:00.082900600 Pacific Daylight Time","0.081275100","0.000000600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"35","May 25, 2022 23:21:00.083039200 Pacific Daylight Time","0.081413700","0.000138600","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"36","May 25, 2022 23:21:00.083040500 Pacific Daylight Time","0.081415000","0.000001300","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"37","May 25, 2022 23:21:00.083041200 Pacific Daylight Time","0.081415700","0.000000700","74.125.157.102","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"38","May 25, 2022 23:21:00.083181900 Pacific Daylight Time","0.081556400","0.000140700","172.17.0.2","74.125.157.102","17","78","eth:ethertype:ip:udp:data","36",
"39","May 25, 2022 23:21:00.083232100 Pacific Daylight Time","0.081606600","0.000050200","172.17.0.2","74.125.157.102","17","78","eth:ethertype:ip:udp:data","36",
"40","May 25, 2022 23:21:00.083257200 Pacific Daylight Time","0.081631700","0.000025100","172.17.0.2","74.125.157.102","17","78","eth:ethertype:ip:udp:data","36",
"41","May 25, 2022 23:21:00.083280200 Pacific Daylight Time","0.081654700","0.000023000","172.17.0.2","74.125.157.102","17","78","eth:ethertype:ip:udp:data","36",
"42","May 25, 2022 23:21:00.083381700 Pacific Daylight Time","0.081756200","0.000101500","172.17.0.2","74.125.157.102","17","78","eth:ethertype:ip:udp:data","36",
