frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 25, 2022 23:52:48.345377100 Pacific Daylight Time","0.000000000","0.000000000","173.194.167.137","172.17.0.2","17","70","eth:ethertype:ip:udp:data","28",
"2","May 25, 2022 23:52:48.350230900 Pacific Daylight Time","0.004853800","0.004853800","172.17.0.2","173.194.167.137","17","75","eth:ethertype:ip:udp:data","33",
"3","May 25, 2022 23:52:48.507032900 Pacific Daylight Time","0.161655800","0.156802000","173.194.167.137","172.17.0.2","17","85","eth:ethertype:ip:udp:data","43",
"4","May 25, 2022 23:52:48.507313000 Pacific Daylight Time","0.161935900","0.000280100","172.17.0.2","173.194.167.137","17","78","eth:ethertype:ip:udp:data","36",
"5","May 25, 2022 23:52:48.507883300 Pacific Daylight Time","0.162506200","0.000570300","173.194.167.137","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"6","May 25, 2022 23:52:48.507884300 Pacific Daylight Time","0.162507200","0.000001000","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 25, 2022 23:52:48.507884900 Pacific Daylight Time","0.162507800","0.000000600","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 25, 2022 23:52:48.507885600 Pacific Daylight Time","0.162508500","0.000000700","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 25, 2022 23:52:48.507886200 Pacific Daylight Time","0.162509100","0.000000600","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 25, 2022 23:52:48.507886800 Pacific Daylight Time","0.162509700","0.000000600","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 25, 2022 23:52:48.507887500 Pacific Daylight Time","0.162510400","0.000000700","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 25, 2022 23:52:48.508095800 Pacific Daylight Time","0.162718700","0.000208300","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"13","May 25, 2022 23:52:48.508096800 Pacific Daylight Time","0.162719700","0.000001000","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"14","May 25, 2022 23:52:48.508097400 Pacific Daylight Time","0.162720300","0.000000600","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"15","May 25, 2022 23:52:48.508414000 Pacific Daylight Time","0.163036900","0.000316600","172.17.0.2","173.194.167.137","17","75","eth:ethertype:ip:udp:data","33",
"16","May 25, 2022 23:52:48.526776000 Pacific Daylight Time","0.181398900","0.018362000","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"17","May 25, 2022 23:52:48.526777200 Pacific Daylight Time","0.181400100","0.000001200","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"18","May 25, 2022 23:52:48.526777900 Pacific Daylight Time","0.181400800","0.000000700","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"19","May 25, 2022 23:52:48.526778500 Pacific Daylight Time","0.181401400","0.000000600","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"20","May 25, 2022 23:52:48.526779200 Pacific Daylight Time","0.181402100","0.000000700","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"21","May 25, 2022 23:52:48.526779900 Pacific Daylight Time","0.181402800","0.000000700","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"22","May 25, 2022 23:52:48.526780500 Pacific Daylight Time","0.181403400","0.000000600","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"23","May 25, 2022 23:52:48.526781200 Pacific Daylight Time","0.181404100","0.000000700","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"24","May 25, 2022 23:52:48.526790700 Pacific Daylight Time","0.181413600","0.000009500","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"25","May 25, 2022 23:52:48.526791400 Pacific Daylight Time","0.181414300","0.000000700","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"26","May 25, 2022 23:52:48.526792100 Pacific Daylight Time","0.181415000","0.000000700","173.194.167.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
