frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 21:12:24.244735500 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","142.250.68.3","17","144","eth:ethertype:ip:udp:data","102",
"2","May 27, 2022 21:12:24.267548800 Pacific Daylight Time","0.022813300","0.022813300","172.17.0.2","142.250.68.118","17","118","eth:ethertype:ip:udp:data","76",
"3","May 27, 2022 21:12:24.269051600 Pacific Daylight Time","0.024316100","0.001502800","172.17.0.2","142.250.217.129","17","1292","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls",,"quic"
"4","May 27, 2022 21:12:24.269796200 Pacific Daylight Time","0.025060700","0.000744600","172.17.0.2","142.250.72.174","17","1157","eth:ethertype:ip:udp:data","1115",
"5","May 27, 2022 21:12:24.269956200 Pacific Daylight Time","0.025220700","0.000160000","172.17.0.2","142.250.72.174","17","485","eth:ethertype:ip:udp:data","443",
"6","May 27, 2022 21:12:24.270065700 Pacific Daylight Time","0.025330200","0.000109500","172.17.0.2","142.250.72.174","17","814","eth:ethertype:ip:udp:data","772",
"7","May 27, 2022 21:12:24.285331200 Pacific Daylight Time","0.040595700","0.015265500","172.17.0.2","142.250.68.118","17","206","eth:ethertype:ip:udp:data","164",
"8","May 27, 2022 21:12:24.295744500 Pacific Daylight Time","0.051009000","0.010413300","142.250.68.3","172.17.0.2","17","188","eth:ethertype:ip:udp:data","146",
"9","May 27, 2022 21:12:24.296003200 Pacific Daylight Time","0.051267700","0.000258700","172.17.0.2","142.250.68.3","17","77","eth:ethertype:ip:udp:data","35",
"10","May 27, 2022 21:12:24.296225500 Pacific Daylight Time","0.051490000","0.000222300","142.250.68.3","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246",
"11","May 27, 2022 21:12:24.296226600 Pacific Daylight Time","0.051491100","0.000001100","142.250.68.3","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 21:12:24.297016200 Pacific Daylight Time","0.052280700","0.000789600","172.17.0.2","142.250.68.3","17","75","eth:ethertype:ip:udp:data","33",
