frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len,quic
"1","May 27, 2022 21:32:04.492561600 Pacific Daylight Time","0.000000000","0.000000000","172.17.0.2","173.194.8.137","17","75","eth:ethertype:ip:udp:data","33",
"2","May 27, 2022 21:32:04.493344200 Pacific Daylight Time","0.000782600","0.000782600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"3","May 27, 2022 21:32:04.493345200 Pacific Daylight Time","0.000783600","0.000001000","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"4","May 27, 2022 21:32:04.493345900 Pacific Daylight Time","0.000784300","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"5","May 27, 2022 21:32:04.493346600 Pacific Daylight Time","0.000785000","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"6","May 27, 2022 21:32:04.493347200 Pacific Daylight Time","0.000785600","0.000000600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"7","May 27, 2022 21:32:04.493347900 Pacific Daylight Time","0.000786300","0.000000700","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"8","May 27, 2022 21:32:04.493348500 Pacific Daylight Time","0.000786900","0.000000600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"9","May 27, 2022 21:32:04.493461100 Pacific Daylight Time","0.000899500","0.000112600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"10","May 27, 2022 21:32:04.493462300 Pacific Daylight Time","0.000900700","0.000001200","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"11","May 27, 2022 21:32:04.493462900 Pacific Daylight Time","0.000901300","0.000000600","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
"12","May 27, 2022 21:32:04.493523500 Pacific Daylight Time","0.000961900","0.000060600","172.17.0.2","173.194.8.137","17","75","eth:ethertype:ip:udp:data","33",
"13","May 27, 2022 21:32:04.494923600 Pacific Daylight Time","0.002362000","0.001400100","173.194.8.137","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250",
